"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,38.1704372233461,29.3133738017414,48.6382624378781,35.1179280354404,30.882186454477,32.8426624374361,48.6382624378781,33.9681898104838,40.3049416619384,32.6205408465629,29.3133738017414,43.1280019866839,43.3469084696555,36.9071965694329,44.1697838302637,30.855425203722,41.9187764453159,43.017169733452,43.1408222909544,43.3833537284464,43.488051466269,35.0462624190852,29.48221584387,34.391554151278,42.2369154739599,43.9599394919619,40.0462872760573,32.0541807172875
2021,40.915344748125,31.2484661456618,52.5021987797693,37.5311143267328,33.013796273885,35.0902241034602,52.5021987797693,36.3831620615901,43.5440639235554,34.9269333446065,31.2484661456618,46.420347787827,46.3925534745884,39.4430411231472,47.3326345164006,32.9863711281478,44.9047484249281,46.0150927090437,46.434235894133,46.4299679551663,46.8442302134054,37.4575671798145,31.4177778955559,36.80580544833,45.3838753671396,47.1410990207892,43.0427310089447,34.1915805965016
2022,41.6579906504141,31.6617252839498,53.7053874180199,38.1050692946067,33.5663938248198,35.6709654809372,53.7053874180199,36.9980039897203,44.5476065365818,35.4930674603893,31.6617252839498,47.4003631477639,47.2428693061549,40.1137752089178,48.1585134760022,33.5381402225728,45.6944298345732,46.7489804786774,47.4157214774565,47.2818224622137,47.8366062390097,38.0285952343469,31.8683835976825,37.4627567498576,46.2831666890736,48.0464219523815,43.8726774552589,34.7083234393853
2023,41.2504355037451,31.2056413112157,53.3775528371417,37.6440555061266,33.2108251369657,35.2835704683943,53.3775528371417,36.5889036112932,44.2634201484211,35.080665867292,31.2056413112157,47.0386386386707,46.8300916472022,39.6996548786795,47.6512821160357,33.1820127580606,45.2316274911705,46.1879576764012,47.0554343387694,46.8701095365847,47.4604184586518,37.5654692798156,31.4732503128126,37.0950386496837,45.8774373451565,47.6367629772327,43.4585581375171,34.2925084643333
2024,40.3379936804317,30.3664166310814,52.3884149045234,36.7405801816701,32.4585108475802,34.4678297751845,52.3884149045234,35.7313240512959,43.414883711453,34.2480795182441,30.3664166310814,46.083487032123,45.8656769849236,38.8035610643053,46.5599200298921,32.4294506100515,44.2224447632823,45.0506757193712,46.1016021763951,45.9062104583941,46.4772062802502,36.6608405953473,30.7106308102045,36.2715041951021,44.8904258159322,46.6436693696165,42.493453851692,33.4630426328767
2025,39.1714951474741,29.3431512707697,51.0568191725384,35.6258743602615,31.5127703690945,33.4395463980865,51.0568191725384,34.6446339946864,42.275110662855,33.2092941186523,29.3431512707697,44.8232061463699,44.6262098992501,37.6656513353479,45.1648566906739,31.4837469376017,42.9413858425653,43.617671485002,44.8424649082809,44.6666568238275,45.183091188739,35.5459198148956,29.7700431825554,35.2218960530313,43.6093964071877,45.3518909145305,41.2412939917535,32.4247967182953
2026,37.8702630499089,28.2317201651249,49.5313979240174,34.4064827896279,30.4718243875869,32.3041149401235,49.5313979240174,33.4302397598257,40.9716395000694,32.0643931434147,28.2317201651249,43.3989792483274,43.2429201307794,36.4017514401167,43.6001492707665,30.4431265658309,41.5189378148616,42.0257928818904,43.4191689141902,43.2827818269899,43.7166683987135,34.3271115221442,28.744288296427,34.0544834796823,42.1703735152268,43.8951822889374,39.8249420445065,31.2781059985408
2027,36.502774174836,27.0842792719909,47.8967467915688,33.1431713787734,29.3920622091703,31.1210791239907,47.8967467915688,32.1476661319597,39.5781481431344,30.8706070480584,27.0842792719909,41.8909096221577,41.7933143149419,35.078495421209,41.9457216306932,29.3638380562184,40.0303196523563,40.3554677715019,41.9117367904184,41.8322064366269,42.1582670894869,33.0650141980155,27.6846687233884,32.8298682603667,40.6490038133579,42.3514848452419,38.3159332905629,30.0793443557105
2028,35.1130044614549,25.9340550703104,46.2086481336195,31.8740703453211,28.3086415589427,29.9269494378753,46.2086481336195,30.8355650758888,38.1430628213718,29.6638348888989,25.9340550703104,40.349184847625,40.3276284046514,33.7378706064606,40.2553057546709,28.2810561681821,38.5238809266419,38.6595945925803,40.3706422846661,40.365299120802,40.5604783747879,31.7976311884261,26.6233469336448,31.586679416264,39.0939451729382,40.7708688926389,36.7619622804599,28.864909238704
2029,33.7307889283441,24.8026556189672,44.5066732839841,30.6252429346649,27.2447578160492,28.7454555982254,44.5066732839841,29.5214871334714,36.7003935200471,28.4684807047489,24.8026556189672,38.8068507731307,38.8796766259746,32.4077094908509,38.5670875676504,27.2179107264199,37.0309827369048,36.9749438751821,38.8289239165164,38.9157884315157,38.9592632629905,30.5509322656411,25.5816666687984,30.3502785101494,37.5388575095425,39.1874704561991,35.197077385872,27.6591563951067
