"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,423246559.592209,350877105.224848,499852497.001769,385369367.464061,351299229.138335,409139639.339455,499852497.001769,414088496.184779,463195947.522072,369163282.679382,370098854.856034,496262191.087106,465966061.70042,400513612.280459,397761096.956495,350877105.224848,434993522.939695,379968890.749661,496427129.242128,466473500.647214,453590854.32906,384234798.129658,377038349.128374,411923576.995916,467586875.953746,468055196.35908,451989432.337865,415294481.557617
2021,391329544.818192,317743444.1686,473218345.505904,353302492.567802,318151626.64339,372744910.844164,473218345.505904,379216593.004532,433026957.172185,336740212.404082,332590664.351263,465153943.639745,435417164.977584,368426740.514271,371706209.462882,317743444.1686,404942179.123737,353422985.701811,465331418.587746,435923064.965758,425055941.671656,352196126.469732,339431837.131371,377368232.094421,436650717.900943,437745287.265035,420385313.262462,377346211.023721
2022,388146449.571815,315553398.76861,469766511.491261,350378953.538506,315962615.079356,369755761.107184,469766511.491261,376486123.914662,430934805.562783,334437115.205531,329620644.978198,461845277.674594,432101969.904221,364681753.351747,367508865.846435,315553398.76861,400688087.082414,348461115.91685,462039989.79703,432614710.344714,421698938.978835,349263423.351272,336945250.231103,374882557.494462,432896721.023993,433674393.473777,416749974.443524,374712280.734304
2023,377731260.811823,307550053.544595,457295029.656354,341119310.563508,307954608.695619,360170771.426558,457295029.656354,366963692.077541,420521670.59821,326122851.647409,320467107.147403,449553977.805365,420713168.409193,354462448.287006,356535205.513463,307550053.544595,389072277.021197,337155445.726943,449763044.654542,421223034.369768,409928276.919077,340012408.889784,328743283.761709,365248538.726862,420853449.485703,421560678.941263,405175820.234657,365115366.191857
2024,363962871.261144,296926375.33302,440516875.183435,328987034.768356,297321824.551281,347405250.916618,440516875.183435,354080380.722321,405944073.432734,314902025.679962,308559747.924381,433252178.957183,405684569.210155,341136027.380405,342358789.462182,296926375.33302,374305144.671367,322918091.189293,433472526.846795,406184291.235364,394348830.847386,327901618.478475,317651867.096652,352381881.906284,404927522.992218,405613205.17588,389992903.006872,352298744.559973
2025,384133532.677786,320450810.88118,454933611.788221,350487022.978639,320852699.162663,372232893.366168,454933611.788221,378067662.23777,426087767.144536,338031341.51536,334532255.011449,451790473.749088,423795709.648617,360653951.850761,355580553.965722,320450810.88118,391108591.338152,335425794.37193,452024847.22431,424293922.737399,410380069.009045,349385890.502318,345149863.741586,375834782.263885,422626816.102474,422121571.410119,408785030.396039,378704384.547215
2026,332598697.05789,272834056.874266,401974703.502299,301684396.24992,273202714.530557,318304466.529701,401974703.502299,324167092.074607,371877052.529184,289179244.620762,281845420.602844,395544635.281729,371627182.598459,311143583.226593,310406105.330761,272834056.874266,340991545.35322,291337452.943882,395777752.75014,372090654.986142,358906177.737206,300668198.060899,292384887.15663,323033581.773883,368758816.528785,369535593.478383,354829326.939211,322862784.787181
2027,316575753.587516,260590441.34727,382147094.503465,287813285.104349,260943900.806234,303461766.424825,382147094.503465,308622363.84196,354188841.331516,275956684.703194,268290453.986482,376228600.530899,354316972.964234,295943807.301397,294145209.442299,260590441.34727,324161981.748961,275471132.312019,376465133.663348,354757654.268218,340787398.731517,286838956.253983,279483505.136657,307992082.242441,350307883.439093,351122771.103295,336664587.877011,307691330.623239
2028,300872210.525385,248640629.373866,362650572.096591,274254937.598374,248977963.555198,288919051.330065,362650572.096591,293223576.888199,336723804.54867,262944079.885941,255037672.819384,357271227.95236,337438093.993951,281100083.654487,278247857.993418,248640629.373866,307766351.977826,260061386.373854,357509178.201843,337854184.563153,323032918.344128,273324936.428346,266846145.773937,293209317.883202,332225330.215174,333070252.734455,318738527.848169,292737181.100029
2029,285707709.405148,237148829.964487,343776724.514496,261190782.168962,237470053.413915,274867825.501631,343776724.514496,278204895.053361,319759291.683213,250325258.951298,242254240.427977,338935247.252777,321233272.59994,266804378.742197,262939615.340342,237148829.964487,292015585.031316,245306750.322251,339174101.680474,321623682.290059,305891955.93942,260306575.426025,254650692.654646,278887614.113579,314760425.207786,315629644.023435,301319841.678925,278215451.146196
