"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,16.7009014474294,12.7296309893804,21.4963240848761,15.3043356568626,13.477025609889,14.2371831634369,21.4963240848761,14.8276177337314,17.8443359399839,14.2764969132367,12.7528330938569,18.9518244748213,18.8363678577979,16.0602104628023,19.42916416972,13.4673082202562,18.398354709924,18.9620643975642,18.9563638415668,18.8494123231398,19.1858028455825,15.279449038532,12.7296309893804,14.9226408648588,18.5548230921696,19.2172116026398,17.6366113227645,13.8691437763419
2021,15.3023046192894,11.6779128790599,19.698315559098,14.0113989345815,12.3495041783832,13.0824440531326,19.698315559098,13.5881463508463,16.3597911816342,13.0589639158231,11.6779128790599,17.3854369278152,17.2866876862205,14.7273609322462,17.7334338346192,12.3399685771479,16.8187407902399,17.2717932432679,17.3901192018127,17.2994512606677,17.5757841548546,13.9865347467217,11.6878904444624,13.720741500606,17.0043894434618,17.622369630599,16.1468765040548,12.7335595508788
2022,14.5099640251772,11.0637011995238,18.6886056304827,13.2683353375895,11.7170031595678,12.4222097363803,18.6886056304827,12.8732125493102,15.527617166527,12.357181034488,11.0637011995238,16.4990506228071,16.3977124331884,13.9784888780554,16.7783120430668,11.7070633774807,15.9365465311749,16.3364420819536,16.5041880886725,16.4109440019821,16.6772035744205,13.2420268789304,11.0824652338509,13.0332680943379,16.1368305084114,16.725372744851,15.3104112250607,12.0749084973159
2023,13.9799831036153,10.6482378627051,18.0175132338789,12.7640420579061,11.3002459042367,11.9768679850328,18.0175132338789,12.3881945731255,14.9784773839682,11.8838163183166,10.6482378627051,15.9057090095071,15.796064343449,13.4831021213298,16.1449585549644,11.2897319006537,15.3520230060502,15.7244073267141,15.9114394599358,15.8101782586114,16.0826606954853,12.7359425147452,10.6698954801397,12.5694440159042,15.5605183098082,16.1257849181891,14.7539628270649,11.6263595286602
2024,13.5400436594379,10.2911869626363,17.4753461219642,12.3407311563431,10.9556127959464,11.6026029368971,17.4753461219642,11.989024187921,14.5369338416158,11.4973134054232,10.2911869626363,15.4149165729478,15.2960458145378,13.0696660955932,15.6275499010974,10.9445856249412,14.865774912843,15.2162134665908,15.421278697415,15.3111036639915,15.5882112078435,12.3109290330156,10.3225422899031,12.1796842924855,15.0749645715847,15.6248996482936,14.2932406144388,11.2507336696785
2025,13.1146071747026,9.93907128629547,16.9567013600402,11.9360630962743,10.6218892039838,11.2377532215636,16.9567013600402,11.6091089046067,14.111158558446,11.132517961246,9.93907128629547,14.9365503637408,14.8169528947752,12.6668938400463,15.1317415903915,10.610382224791,14.3960660472412,14.7194161240427,14.9435426442756,14.8327169440799,15.1031967289048,11.9047157301145,9.98860489112621,11.798909261456,14.5986502103308,15.1384710849538,13.8474044650187,10.8867007298193
2026,12.6808683587448,9.57954415477727,16.4257252327202,11.5312874227267,10.2832180336775,10.8652398684402,16.4257252327202,11.2213041973103,13.6720048330907,10.7638327498764,9.57954415477727,14.445081345782,14.3334211328285,12.2543019008217,14.6220036400572,10.2712958850161,13.9199371688524,14.2108699466865,14.4526823299088,14.3497059045928,14.6041682846016,11.4986209603461,9.65151782196607,11.4092663761019,14.1103705521691,14.6428768052446,13.3874698103736,10.5159626106516
2027,12.2367943569659,9.21317065501914,15.8800623958865,11.1219952047291,9.93802703169094,10.4835155129389,15.8800623958865,10.821217444666,13.2188750597714,10.3882110442648,9.21317065501914,13.9392803473324,13.8439369390696,11.8307785398645,14.0979447192985,9.92578019825207,13.4339201720167,13.6882666748135,13.94746412307,13.8605961856363,14.0899110088783,11.0882281550663,9.30984562164835,11.0095740842593,13.6076449513227,14.1338072195363,12.9116428773458,10.1361627577696
2028,11.7861884355786,8.84347521141849,15.3237257901896,10.7106662812863,9.58957536620835,10.0967773333519,15.3237257901896,10.4120061356151,12.7553082112235,10.0082012255578,8.84347521141849,13.4242538286345,13.3522160592443,11.4004407145136,13.5643015780292,9.57708468912562,12.9416151864767,13.1568149524936,13.4329901492889,13.3691268803874,13.5651605892163,10.6760043343154,8.96586918824306,10.6035032765537,13.0953048388674,13.6155377574044,12.4238335758816,9.75091773593742
2029,11.3336748098339,8.47435455246562,14.7617372949854,10.3006308886151,9.24163886499728,9.70929936676292,14.7617372949854,9.99794470059252,12.2859251168974,9.62724426593185,8.47435455246562,12.9057698649359,12.8629422576131,10.9679666153484,13.0264765319722,9.22897771814788,12.4483660675925,12.6222169225756,12.9150234875843,12.8799633492541,13.0355371803759,10.2653580138718,8.62281499343375,10.1954803998482,12.5790746863217,13.0937419658105,11.9291199470434,9.36426519287039
