"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,6.76338646378617,6.47962931770133,7.1275973716546,6.66927501242525,6.53719299881635,6.57881351080337,7.1275973716546,6.64557284216676,6.90054816917766,6.61579017900002,6.48608700089889,6.92688115832777,6.88804397307025,6.69179898711005,6.95424171488608,6.53704214790469,6.85743039279024,6.89808700495706,6.92694664654984,6.88828905181531,6.96745975159303,6.66895163326122,6.47962931770133,6.63727875477321,6.89197439675252,6.91970316872478,6.84127535907843,6.54875105041565
2021,10.6532270763888,9.32150285789076,12.325480792869,10.202186001333,9.62536589823308,9.80343674336979,12.325480792869,10.1038107462313,11.3199011862486,9.979523260805,9.38669284362784,11.4077708472304,11.1822387133607,10.3391570195031,11.5547200557501,9.62464845881968,11.0804877995687,11.3140536321582,11.4080514866251,11.1835152351241,11.6191502742156,10.2005573556159,9.32150285789076,10.0642286402499,11.2456485323502,11.3518118940497,11.0388894608517,9.64784717363831
2022,15.7187359365386,12.9964120487044,19.0864010297962,14.7846009294956,13.6559322487422,13.9964839901827,19.0864010297962,14.6006637839805,17.0962453591772,14.3604837418316,13.1589548185453,17.2254807577648,16.7548274297733,15.1100594432006,17.5999220858672,13.6539932629682,16.5735574785352,17.121354769778,17.2260497126821,16.7583564256882,17.6994139911625,14.7797536142874,12.9964120487044,14.5181178443143,16.9019573148114,17.1204288795536,16.5229716747276,13.6659757778947
2023,20.962719047703,16.7613294625796,26.1124774607359,19.5074558085615,17.8227447609842,18.3162288970746,26.1124774607359,19.2627492838375,23.1240791231555,18.9083425744416,17.0350590332547,23.2312696146623,22.5007279587567,20.0601480651817,23.9406886562589,17.8189947670937,22.2512466902661,23.1897352555775,23.2320579960393,22.507413783662,24.0246522601523,19.4978155117483,16.7613294625796,19.1040765601734,22.7291521671361,23.0929027916591,22.2370915373256,17.7995361722576
2024,25.9658978732621,20.3039248255286,32.8781080099415,23.9972904648856,21.7797837576271,22.4057210593706,32.8781080099415,23.7282730642123,28.9385160330046,23.2662027737169,20.6870838369555,28.9448743922702,27.9559821619097,24.7849016790508,30.0850042335248,21.7737950373372,27.6598767682844,29.0287469532288,28.9460171192865,27.9663762854992,30.0955715363545,23.9817194235872,20.3039248255286,23.4444433621962,28.2513048056181,28.7958146671213,27.737905465181,21.7102091158597
2025,35.4429932747831,28.3920203625988,44.0478328265666,32.9928217875724,30.2767247327762,31.0121925942021,44.0478328265666,32.7355591060539,39.2276403116973,32.1750611611817,28.8783193444843,39.0572657616057,37.8134960282824,34.0038584992069,40.6980339274056,30.2681711032846,37.5002825524239,39.3107519553059,39.0588383695975,37.8279201014961,40.5883765863608,32.9706951806003,28.3920203625988,32.2782411306792,38.165579432319,38.9192780774495,37.7218704020993,30.1540005343282
2026,39.4790031616796,31.1398557472843,49.6785702658157,36.591014878681,33.4180400335444,34.2399021414312,49.6785702658157,36.3778676854139,44.05862331082,35.7309890471234,31.7218410021156,43.6474093494928,42.1468856704887,37.8041434604766,45.8299473737624,33.4068970115257,41.8529728182671,44.0949784530303,43.6493394892233,42.1654634346663,45.5670486950929,36.5620900341306,31.1398557472843,35.704736880462,42.5533692229175,43.5351774847794,42.2595300375532,33.2383855138929
2027,42.9529846762327,33.4419179718935,54.6326228995347,39.6764164794125,36.0940374788364,36.9784925357231,54.6326228995347,39.5348554583366,48.2976258335551,38.815883038951,34.1116129681719,47.5955240975373,45.8314289044192,41.0656897418342,50.3365434712652,36.0803530493748,45.5983842289951,48.2463970159176,47.5979682628867,45.854168327621,49.9000549259118,39.6407323357466,33.4419179718935,38.610052974351,46.2951841102935,47.5162405011742,46.21854604647,35.8538842476033
2028,45.8665779088872,35.3063733697094,58.9022393770173,42.2525691975828,38.3117686384331,39.2335780237925,58.9022393770173,42.2046770891289,51.9373424954639,41.4290205141072,36.0562772394568,50.9070475571468,48.8704747176269,43.7890626758246,54.2052417275836,38.2957147703833,48.742009282898,51.7613872931099,50.9102750252433,48.897239223098,53.5858448713421,42.2103815179097,35.3063733697094,40.9988669002042,49.3968717088325,50.8617419779658,49.5918585813347,38.0065839469836
2029,48.2426903756426,36.7569118081345,62.5068281622501,44.3421599376989,40.0955665706905,41.0275568281357,62.5068281622501,44.4046073515773,54.9949263043427,43.5878531328215,37.5801413390522,53.6093277873707,51.291826490778,45.9948562770258,57.4514651929509,40.0773595552163,51.3109512071259,54.6637966854879,53.6133888244203,51.3222978084106,56.6486138172552,44.2939122715374,36.7569118081345,42.8942557710246,51.8880363912045,53.5950859774773,52.3964256673925,39.7191082316833
2030,54.354278127223,42.0635110556548,69.7208431508524,50.2160579332839,45.7171471465256,46.6304789031573,69.7208431508524,50.4003943748079,61.7401216703379,49.5581375484259,42.9534365943311,59.9807046560323,57.3750281803746,51.9529858452001,64.3443190959098,45.6972036588948,57.5824746454344,61.2310163305764,59.9856009864546,57.4087693721308,63.3651851939122,50.1622967990712,42.0635110556548,48.5673465658354,58.0500234163341,59.991564902066,58.901593718388,45.260711436583
2031,55.7697756774359,42.7890171833614,72.1179250956321,51.4398537351306,46.741043840702,47.6063436191491,72.1179250956321,51.7525929266356,63.74095091366,50.9006212710731,43.7395419326232,61.5947096321788,58.6962543124118,53.2293480618106,66.4519561278761,46.7196810497338,59.128919193899,63.0378691659994,61.6003366498306,58.7327867874748,65.3086089302428,51.3811394786009,42.7890171833614,49.5837654236318,59.4600659924822,61.6224793811106,60.6743558738782,46.1942253567688
