"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,46609251.685407,38226261.0434516,51060494.5603529,44696382.0837258,44336250.9287884,49534460.6493334,47022432.9739239,49224206.7679586,49505918.9698109,45131922.7725533,48336033.8576772,50284501.7646359,46839769.7766347,44704733.4294659,39553487.8206397,44311621.9920501,44585603.0724611,38226261.0434516,50289441.2922819,46859790.224116,45870539.0174287,44634245.2518142,49099323.0547608,48495996.3747123,47933648.2072856,46605385.6592236,48088840.5900876,51060494.5603529
2021,125852409.909178,107067100.101744,146244603.673488,115650698.026734,107170233.017119,123406082.104619,146244603.673488,125056442.263497,139641660.516938,112672444.743592,113946836.571731,145745212.063316,134920459.442964,118538753.309257,116427719.042746,107067100.101744,126714501.126917,110841235.597588,145784165.181291,135041694.638234,134506313.797986,115369640.964554,115245917.189731,123884344.649721,137294404.973165,135815115.688382,134379066.894005,124945602.150138
2022,236984695.452484,194580589.616219,286434398.675874,214845394.880026,194818932.893993,226568331.406192,286434398.675874,230644723.34771,266206451.067214,206794412.251966,205519256.857286,279770991.521641,258577169.97809,222266107.126336,225225730.03425,194580589.616219,242239551.451993,213735322.782241,279871935.006412,258878567.095093,259590346.689787,214181437.535817,207035733.034934,229168341.60657,262923622.085976,261364880.294285,255726093.000711,227649066.071482
2023,363165023.7251,293406157.312297,446896661.02024,327007091.508088,293827345.435179,343124672.917607,446896661.02024,349887717.346381,410382657.604395,313131779.359783,308834634.832356,432175668.937708,399075019.052707,340162388.722183,349884914.872797,293406157.312297,373653793.138546,331619510.196453,432365747.754326,399630933.873835,402441083.419112,325820919.986673,310134976.695364,348192837.261032,405829879.140992,404322985.5304,393957828.560869,343358388.648189
2024,497172152.119935,397867329.355513,618925399.237924,445610535.224875,398509571.569664,466299359.942863,618925399.237924,476377148.923987,564382320.835713,425924439.96937,417711186.819322,594309431.394191,548212090.079744,465322815.070872,483469996.658613,397867329.355513,513290105.522219,457539095.95378,594634651.269607,549097085.611449,554657322.006999,443783116.613875,418610474.499421,473970444.479046,557441946.029961,556363263.785119,541333417.525713,465661254.618526
2025,671326785.51494,540959479.238723,831351896.054439,602959327.672509,541879158.752284,632406942.004169,831351896.054439,646110357.954924,761054476.55764,578529624.289577,568761308.672495,798968746.696897,737073836.241928,629009960.134541,651395354.273019,540959479.238723,690944205.70954,616239359.771078,799466500.249328,738358869.613581,745602828.642291,600331406.723132,570051047.219404,641376786.067661,749381722.630546,747901258.541418,730347992.72714,632707191.435227
2026,810751840.472015,649307642.511093,1012337981.68699,726190496.661255,650510158.36301,759927053.821442,1012337981.68699,778672706.847459,922527740.477537,696667358.990219,680978025.481131,967346671.1868,891718034.535438,759044683.187194,791572607.17919,649307642.511093,836175856.133302,747524571.8706,968038798.570613,893428645.207628,903819658.40886,722727509.396661,682086984.413409,771324304.10856,906284881.097728,906018602.168352,884725221.758228,759839817.737682
2027,949489050.556297,757031533.5198,1193329728.45205,848851142.065217,758537872.805557,886552748.158694,1193329728.45205,911071715.078102,1083812067.97382,814657464.476555,792107219.064783,1134719891.60667,1045433898.90531,888325922.626097,931391408.029909,757031533.5198,980658491.506839,878065516.5013,1135650676.386,1047601909.35527,1061090983.54968,844480176.532397,793220581.775599,900232783.317305,1061960562.3807,1063283226.2721,1038781570.01201,886377173.555667
2028,1086367296.80948,863268861.586551,1372675666.6577,969956718.408685,865094975.339959,1011249241.30297,1372675666.6577,1042165575.04848,1243461258.50722,931535546.397665,901250936.42959,1299661448.48693,1196973370.86797,1015745733.59186,1069496523.30014,863268861.586551,1123197496.29521,1006658951.99919,1300862696.0084,1199622234.8368,1216067327.4292,964617536.553516,902578470.772988,1027087540.41444,1215083925.0217,1218428930.83661,1191124655.35,1011316798.79333
2029,1220568022.08447,967433227.318757,1549222665.11525,1088796955.90498,969590807.626366,1133335705.82751,1549222665.11525,1171093890.23922,1400407412.71426,1046566317.36338,1007795235.3427,1461206819.60914,1345501051.37244,1140543375.65896,1204911719.4125,967433227.318757,1262968982.27597,1132482770.63278,1462684201.89356,1348641956.20153,1367821125.7587,1082445882.01535,1009527200.04087,1151185855.66074,1364802975.84715,1370563187.9377,1340748238.91875,1133922991.42329
2030,1386239321.86942,1103600779.40254,1754665072.7601,1239139257.1802,1106118375.25906,1290464943.3827,1754665072.7601,1334940641.29425,1589716731.81003,1194234351.16828,1149544226.07425,1654800068.96139,1524573354.75438,1295512777.1513,1365191748.26035,1103600779.40254,1431800477.72268,1282295290.55356,1656605910.73052,1528232328.14721,1548231423.42842,1231689093.43688,1152683657.01365,1308944173.68629,1545124398.27152,1552375985.25113,1521957661.48304,1293540319.55176
2031,1514205398.18743,1203296658.39485,1923991125.61019,1352718999.136,1206167480.18315,1406791663.08425,1923991125.61019,1458515015.14714,1739852448.89036,1304703156.33952,1250513022.10263,1808518858.81136,1666136587.62975,1414361847.77453,1493951523.81312,1203296658.39485,1565073723.1759,1401573487.8011,1810659009.69372,1670296970.88361,1692392555.10175,1344199898.70926,1254375713.83748,1426873744.62508,1687285340.31992,1697335704.58955,1664814123.1139,1410736295.91772
2032,1638263440.77326,1300164061.94556,2088798606.85721,1462834173.39503,1303388884.33503,1519417261.08757,2088798606.85721,1578365704.96713,1885669886.06952,1411946880.3533,1347937560.76284,1957599951.44892,1803443134.10943,1529572105.06029,1618645348.64413,1300164061.94556,1694306213.06642,1517003663.0591,1960095607.61345,1808100000.38845,1832039383.23936,1453233194.9838,1352661658.21546,1540848617.2891,1824999325.47453,1837803263.48427,1803426301.85155,1524285231.62995
2033,1758229900.01163,1394079236.56448,2248910348.13398,1569273206.79341,1397652982.05237,1628166355.69656,2248910348.13398,1694163980.06219,2026956523.60279,1515696040.62333,1441655875.21883,2101970620.69416,1936340547.68959,1640912931.40544,1739109368.08084,1394079236.56448,1819345931.66287,1628528898.16907,2104833270.32177,1941488671.96568,1967020294.46735,1558585847.46446,1447401685.84434,1650633743.68921,1957972631.8021,1973518857.4779,1937578928.55875,1633950722.2493
2034,1873984818.88234,1484877258.05148,2404205783.96582,1671899085.98105,1488801593.87978,1732919570.44864,2404205783.96582,1805700783.69532,2163592581.7699,1615771171.27956,1531575702.36135,2241478279.91026,2064779334.95241,1748272241.51287,1855287094.34736,1484877258.05148,1940139577.5972,1736090573.01287,2244754762.93503,2070407300.56629,2097293297.44564,1660127713.0273,1538520357.54186,1756078809.54325,2086066088.68865,2104338302.75813,2067066248.20754,1739576958.57884
2035,2018119983.904,1604962723.10982,2585011861.82044,1803111728.81232,1609240251.66796,1869542705.37427,2585011861.82044,1948463353.34238,2329152296.78552,1745273595.2407,1653816666.32043,2409843017.69388,2220946207.53812,1882807398.99157,1993583382.54374,1604962723.10982,2087023743.10935,1865073585.2126,2413553160.71139,2227059551.55227,2253203294.44373,1790212834.30804,1663030808.7007,1891855959.3208,2241589078.00874,2261349757.34195,2224509611.19215,1878783024.45721
