"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,5.82789900309045,5.68165738974688,6.03255631608353,5.83606728290947,5.74167320319126,5.7084978438622,6.00778465645535,5.86219921733515,6.03255631608353,5.87893773709731,5.75105206861887,5.94288493048963,5.75182555566117,5.69898543142043,5.79568921799163,5.74540769685923,5.87777952133083,5.80117213671371,5.94130710826574,5.74814508378914,5.93130005898051,5.84531279442501,5.71890611279538,5.73572866621311,5.92143919048122,5.80770513293992,5.9334607236045,5.68165738974688
2021,10.635675406981,10.3877611193974,10.9940382911021,10.6606140562547,10.4830186317395,10.4366592986377,10.9471053509791,10.6972151251976,10.9940382911021,10.7234410957613,10.5054066480658,10.8498964020798,10.5034833838167,10.3911160056568,10.5337078509205,10.4894142054944,10.7133267541405,10.5418084778694,10.8476892218987,10.496635191393,10.8212408262665,10.6772806145917,10.4709775589969,10.5003303232989,10.8206473204398,10.5944237445117,10.8046476760141,10.3877611193974
2022,13.3232922234313,13.0103651528069,13.7472661345477,13.3578362337797,13.1454669489779,13.0974136708329,13.6864916991684,13.3827075120736,13.7472661345477,13.4046417727419,13.1982785052897,13.6017000761829,13.1620394292645,13.0103651528069,13.1360010643463,13.1534212325509,13.410602195652,13.1664773371088,13.599218929568,13.1535010304312,13.5580294698242,13.3784396374742,13.1438395536569,13.1956429595537,13.5956845982359,13.2693242025219,13.4998377943683,13.0280784448245
2023,14.9785566027807,14.6227278471634,15.4242645372893,15.0141713727916,14.8002533801068,14.7499128414104,15.337131663959,15.0108226929767,15.4242645372893,15.0272640682629,14.8911785274508,15.3019349101445,14.8100946588832,14.6227278471634,14.6991470295205,14.8092480838441,15.0679820491491,14.7721627513307,15.2990965675114,14.8005111422796,15.2484332340323,15.0371689082086,14.8057882952902,14.8830203494703,15.3371808577953,14.9180274284863,15.1346311608403,14.66176071132
2024,16.11386699555,15.7288891610017,16.5665530051369,16.1443848404215,15.9455344039738,15.891141367597,16.4483437639202,16.1174729309379,16.5665530051369,16.1292970020502,16.0690848632905,16.4683497881409,15.9481169986809,15.7288891610017,15.755620306078,15.9553490796275,16.1980463334736,15.8673133805657,16.4652622274775,15.93778491841,16.4066729478528,16.1689348977758,15.9582524115698,16.0541456077612,16.5437362233381,16.0466734121582,16.2435329136149,15.7881821038954
2025,16.9644614958943,16.5411918158027,17.4520312566638,16.9879662540638,16.8105163398018,16.7497876160221,17.26677284975,16.9434220889975,17.4183091701497,16.9501245958029,16.9598740244933,17.3385005680531,16.8074059292355,16.557652187359,16.5411918158027,16.8208422382616,17.0387971929446,16.6851203978621,17.3352228532981,16.7964577030219,17.2722197253749,17.0137176651841,16.8316698431904,16.9392035937249,17.4520312566638,16.8898682014906,17.0688584422323,16.6360048445768
2026,17.6453871745904,17.1677611086915,18.1814229002127,17.6621555000845,17.5063955626391,17.438656560212,17.9120271707737,17.6041063667463,18.0980747745082,17.605290686664,17.6789711283408,18.0301725448109,17.5003876545009,17.220627942488,17.1677611086915,17.517115141293,17.7059812822035,17.3383964951829,18.0267225847361,17.4889519095295,17.9631529687968,17.6888495502479,17.5382833665021,17.6534755231075,18.1814229002127,17.5629714187427,17.7270864191865,17.3176428045576
2027,18.2164168809261,17.692407629136,18.7942509905405,18.2270967965578,18.0914002845111,18.0176977187825,18.4460701271432,18.1588594117759,18.6670566248012,18.1546249910052,18.2864393520589,18.6059849477984,18.0848874872372,17.7769335794307,17.692407629136,18.1024342708015,18.2601173807561,17.884861493873,18.602182416174,18.0731055718188,18.5401412622761,18.2545681657841,18.1365235316837,18.2569460552393,18.7942509905405,18.1259270528605,18.2782526802689,17.8916522008391
2028,18.7106371460591,18.1464079971252,19.3245427620303,18.7159356907456,18.5978835434037,18.5203959217762,18.9029143090217,18.6402706532554,19.1589440023246,18.6311410777081,18.8155935625459,19.1010985414952,18.5928292426466,18.2594178743285,18.1464079971252,18.609141014748,18.7355241080604,18.3560631154477,19.0969720363091,18.5807708691698,19.0368486930179,18.7440583250523,18.6585900821836,18.7828731074238,19.3245427620303,18.611968700638,18.7552324724572,18.390510948563
2029,19.1470851696289,18.548303351288,19.7916422724949,19.1479699253925,19.04422037213,18.9658266466338,19.3019883679227,19.0672320606653,19.5931551398366,19.0537621217802,19.2857507222565,19.5357640246969,19.0423684371615,18.6871036135536,18.548303351288,19.0556121919576,19.1518548395273,18.7703209708067,19.5314176634924,19.0301077611895,19.4729126763355,19.1766671821014,19.1227587038924,19.2504013940584,19.7916422724949,19.0401297020085,19.1768636209158,18.8329954786257
2030,19.5377450380271,18.9095501608791,20.2078966247408,19.5350479674252,19.4425776951831,19.3659619414935,19.6553828373383,19.4517605866234,19.9815910104387,19.4341028171095,19.7087902839906,19.9229399528702,19.4448669479692,19.0714427508201,18.9095501608791,19.4539951429004,19.5217947342408,19.1392257832254,19.918403203115,19.4324705570872,19.8610092179802,19.5642220566831,19.5406690381258,19.6714239239454,20.2078966247408,19.4228826250192,19.5547629615052,19.2308551299679
2031,19.8909880002183,19.23753932021,20.5822736462264,19.8853337667998,19.8014779152838,19.7291136129553,19.9717351086602,19.8019059611778,20.3320872899408,19.7799910685263,20.0929188522668,20.2719260423542,19.8082279975238,19.4202873487537,19.23753932021,19.8129661111226,19.8543769707794,19.4712928953003,20.2672334871024,19.795743934907,20.2107691360543,19.9149110332122,19.9201824641443,20.0544188257568,20.5822736462264,19.7687862880063,19.8971083209742,19.5920926074199
