"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,2842230.56037057,2279268.12954704,3507509.6443835,2543860.20738133,2281229.18953245,2675304.45727866,3507509.6443835,2731719.45823469,3226901.51319706,2424930.75028607,2372844.70548034,3427550.24432443,3146353.36395823,2656830.36569336,2703650.86276752,2279268.12954704,2947985.40619625,2571182.60800853,3428318.492021,3148564.19548517,3150502.92810961,2538628.19386619,2400034.95792716,2720992.575807,3214796.18497967,3188658.37506895,3094356.06669643,2673791.13303372
2021,2658015.00375183,2133932.63445498,3278023.80528606,2381876.1799287,2135784.56808141,2504700.94391489,3278023.80528606,2558116.47083878,3020946.22533286,2269833.71159355,2218451.48838351,3208194.01499639,2948959.23236404,2478520.28969597,2513087.31687809,2133932.63445498,2751093.53759423,2383852.31722722,3209014.58677795,2951043.05263545,2941311.37153013,2376947.13779585,2253197.22684432,2551310.24890681,3007476.42467419,2980287.83004687,2887250.02439982,2507164.45361373
2022,2482009.01946285,1995899.97069989,3058169.04934153,2227670.30306171,1997648.75885306,2341525.98120049,3058169.04934153,2390901.00374719,2823262.63512572,2121849.26299302,2071180.3058935,2997437.48439118,2760554.04425263,2309133.69442513,2332472.00259477,1995899.97069989,2563857.33748395,2207051.06954577,2998289.39034053,2762512.4797637,2741651.35529437,2223034.63311773,2112802.29501526,2388729.91268258,2808870.73238108,2780786.21046133,2688397.61147223,2346537.96243284
2023,2315770.4817498,1866161.30279476,2849988.09300872,2082494.22936517,1867814.48961562,2187235.57715286,2849988.09300872,2231771.99534942,2635593.90356419,1982241.82524135,1932254.18233697,2797303.1702223,2582786.8028519,2150039.69586704,2163383.70021665,1866161.30279476,2387910.74798235,2042235.1532767,2798135.80360936,2584619.72218854,2553274.59258511,2078139.82809975,1979968.39570657,2234646.81799284,2620746.46517311,2592139.56426061,2499877.35950907,2193498.62577417
2024,2156114.05852055,1741968.49857972,2650105.52601081,1943132.0576353,1743519.10960877,2038739.6550847,2650105.52601081,2077928.36614201,2454913.30209595,1848321.48440824,1798613.8780728,2604508.99897919,2412045.8979588,1998097.78767599,2002704.44869506,1741968.49857972,2219815.09099017,1886195.64610768,2605330.6357989,2413747.63245602,2372494.57941461,1939054.81424515,1851860.81805764,2085827.52296691,2439270.93411518,2410714.20981945,2318653.53868483,2045287.02940975
2025,2003359.78204792,1623335.79336156,2459095.68137461,1809809.74593366,1624804.1232173,1896409.49309319,2459095.68137461,1929857.82077694,2281753.27471655,1720254.93242868,1670479.98018825,2419583.59805364,2248716.87581637,1853466.09367372,1850549.27395338,1623335.79336156,2059693.29966489,1738943.84269102,2420382.44908887,2250282.60345553,2199592.4541881,1806003.36943163,1728797.61189237,1942664.45917058,2264957.48619718,2236958.36643175,2145112.93578857,1902488.98660962
2026,1860660.07755069,1512612.51735294,2280503.72562987,1685548.03092808,1514002.11980288,1763346.07469298,2280503.72562987,1790681.03465262,2119481.71512795,1600531.47869367,1550778.05556748,2246363.96303513,2096504.75930674,1718835.70111096,1709376.3419701,1512612.51735294,1910621.47569373,1602799.68015557,2247137.83211656,2097951.4641701,2038125.06633043,1681997.5676753,1613619.95712434,1808456.26619085,2101768.22144182,2074575.83800068,1982563.62282882,1768319.42916766
2027,1727566.45612511,1409416.45802419,2113900.2978847,1569842.26048454,1410730.78714978,1639168.81605573,2113900.2978847,1660108.98497311,1967741.85203344,1488702.81598905,1439092.01471544,2084458.72515799,1954857.33316453,1593742.8751831,1578595.69268714,1409416.45802419,1772015.57138995,1476996.83335051,2085172.21669222,1956192.26181801,1887545.10666493,1566533.16513475,1505975.8867345,1682759.53542757,1949272.85218727,1923067.31208157,1830738.09419994,1642533.65394374
2028,1603535.63123356,1313257.7081755,1958637.08670771,1462103.40268258,1314500.44543819,1523312.07390237,1958637.08670771,1537860.46131506,1826038.15321719,1384321.29011909,1334937.98759952,1933277.595608,1823117.94608099,1477558.1485363,1457574.42507502,1313257.7081755,1643283.69596743,1360802.3064218,1933987.35445381,1824346.70398545,1747232.64374537,1459021.48886876,1405416.10175257,1565122.83562401,1806818.30837769,1781866.09404784,1689191.71861166,1524804.80452515
2029,1486049.39990943,1222048.7419985,1811762.17055975,1359747.36332878,1223220.85221958,1413448.15061239,1811762.17055975,1421641.24112214,1691835.26526612,1285248.86175111,1236126.57630966,1790059.67547761,1698245.63494929,1367990.53555845,1343935.97112344,1222048.7419985,1521717.59208172,1251959.39880509,1790759.64970245,1699376.92635915,1614487.94900207,1356894.95632325,1309661.2667019,1453095.11644793,1671526.4602975,1648168.66940038,1555455.95316477,1412820.01917268
2030,1375159.60032412,1135781.90218224,1673411.83679053,1262837.5352758,1136871.14926734,1309618.02624747,1673411.83679053,1311644.56463378,1565261.46796138,1191587.48715524,1142647.03666134,1654914.63733313,1580280.2606925,1264919.91651007,1237533.46883883,1135781.90218224,1407246.89321571,1150338.38394774,1655570.95982058,1581321.30115815,1489435.94934719,1260197.82421992,1218788.28711633,1346819.68064447,1543528.44318126,1522040.45031834,1429638.61611769,1306753.92946598
2031,1273325.11748725,1056388.39285961,1546538.33878774,1173916.83395742,1057397.68237554,1214111.43086293,1546538.33878774,1210440.37223234,1448960.79757254,1105564.75233581,1056576.2246045,1530652.50519878,1472208.59880903,1170419.48551483,1140420.38310071,1056388.39285961,1302228.63176328,1057662.98852103,1531265.62748916,1473167.49549514,1374741.51840593,1171476.70649119,1135068.3757173,1248910.62934545,1425574.86758309,1406243.22679824,1314117.62770815,1209074.44365151
2032,1179413.69150463,972768.7478657,1429691.86339316,1091931.20906431,983871.409196382,1125884.392147,1429691.86339316,1117049.09535841,1341616.42500819,1026204.93527033,977059.936616588,1415981.7079388,1372651.64305418,1083387.24093509,1051434.50971544,982925.155916761,1205535.86441338,972768.7478657,1416556.10665435,1373536.1583769,1269053.55242548,1089675.82441553,1057577.33850346,1158306.76650556,1316534.27425791,1299546.61794178,1207726.25245669,1118835.26018436
2033,1092782.74658972,894982.328190624,1322105.13150063,1016297.72836189,915770.516320376,1044358.76075181,1322105.13150063,1030895.15442092,1242520.58040638,952952.643916306,903611.556122698,1310149.00406096,1280840.10853919,1003176.25546915,969858.239949094,914883.926838663,1116468.8682394,894982.328190624,1310685.62110988,1281658.06207491,1171646.60518392,1014210.65643882,985796.718512917,1074441.91961342,1215785.51034959,1201225.06066464,1109783.58165068,1035464.12605619
2034,1011456.68783747,822560.989046362,1221412.46432204,945038.279578148,851609.530348219,967754.681821299,1221412.46432204,950056.578744411,1149578.83313204,884030.842284634,834622.238631857,1210876.02476312,1194288.80490213,928059.005896784,893779.649530181,850770.507232102,1032971.74610825,822560.989046362,1211348.86229675,1195044.81498842,1080442.90501691,943109.997417858,917958.405671645,995466.302834334,1121178.5814922,1109036.44739123,1018331.61639346,957089.086092313
2035,935003.348443285,755075.629762075,1127084.0108846,877754.190042037,791036.037505064,895654.350987574,1127084.0108846,874160.543901156,1062323.60243911,819097.555996251,769743.566588316,1117671.86897989,1112463.25296285,857593.595676312,822740.795681886,790241.213796511,954584.702628274,755075.629762075,1118099.49288244,1113161.98759285,994954.227108722,875976.114160931,853720.020459867,920952.930555832,1032229.24637262,1022498.37924739,932908.935293118,883357.459576449
2036,864277.477887758,693082.284529577,1040079.33486736,815381.139173923,734701.611156706,828808.290392674,1040079.33486736,804125.406005266,981598.917221003,758939.773853489,709683.195721662,1031508.08979054,1036506.09728272,792428.618225278,757440.466539444,733958.475702054,882155.241997034,693082.284529577,1031896.9415402,1037154.33109491,916024.226998719,813740.911594347,793945.239094725,851756.121814977,949939.701458055,942616.159731534,854274.318778793,815192.052628966
2037,798738.413022261,636090.861732879,966392.956752662,757423.856307729,682186.181976051,766721.267958357,959636.098402505,739445.047099044,906804.207526089,703101.98069305,654036.785411424,951701.286511141,965789.449675749,732043.542916311,697318.516902189,681489.780540688,815096.006957693,636090.861732879,952056.898101701,966392.956752662,843057.269679867,755910.475740347,738204.799808246,787452.159991443,873766.908494396,868787.875786064,781837.59304106,752108.517549852
2038,737881.73538188,583617.137900107,900186.832196701,703415.188679181,633117.60584818,708930.267341715,885139.485294711,679657.915656998,837317.838173239,651173.092733313,602418.622812285,877675.651518254,899611.794899898,675977.528531433,641870.605798102,632466.857042978,752901.825331893,583617.137900107,878001.445286472,900186.832196701,775466.705667134,702015.321630601,686106.400192482,727611.005643066,803170.71775626,800455.475652147,715090.999319197,693647.063640643
2039,680594.596633367,534704.72722746,837071.219360173,652185.337225055,586668.540531026,654508.710939879,815159.015986255,623657.237008005,771971.893730634,602153.022446568,553991.97359284,808127.867514216,836537.071674827,623304.614011793,590008.816040068,586063.360032015,694431.319232321,534704.72722746,808425.643580703,837071.219360173,712095.463523021,650877.316557457,636683.211041409,671220.50929792,737024.869911056,736349.427736241,652946.967030226,638696.780602992
