"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,13000.5437094422,10210.6139770577,16568.4089522085,11630.8999811475,10224.7966228151,11793.4370876979,16568.4089522085,12509.6399721975,14703.6632782191,11147.2641804434,10567.5571842531,15676.9794536918,14469.9268790282,11951.7540266949,12890.1794201966,10210.6139770577,13746.8890996703,12232.388287082,15682.0551293193,14487.1901517988,14516.0878078591,11595.5961792218,10660.3638685607,12082.3954394224,14681.9066167193,14750.7580083063,14155.7325982378,12077.1085342066
2021,33842.2140852963,26598.5501602949,43056.929005756,30268.8261976277,26634.9406018143,30819.7634782164,43056.929005756,32681.905367452,38356.1291599502,29028.6809433961,27542.9990870241,40909.1737856024,37689.1774207606,31059.358601732,33247.3385276443,26598.5501602949,35656.4097125149,31456.1858158181,40924.1771365868,37733.1714893895,37692.4443733108,30178.8238610541,27897.2764841689,31578.1230247729,38247.1581186161,38358.4241888636,36829.617177338,31609.7684127031
2022,40318.7404431467,31718.8776748616,51289.9515492467,36026.7113132217,31761.2138469623,36801.7328592699,51289.9515492467,39101.5420513985,45888.1200903202,34632.830600205,32741.3256478536,48888.94216383,44970.1374783952,36880.2417841701,39262.9283892876,31718.8776748616,42294.6069691475,36968.3463359508,48908.5785136529,45020.6727109672,44813.1163044854,35922.7877562756,33379.6428454609,37769.7640732757,45597.5476317155,45643.7321350737,43835.6644424827,37849.4959111575
2023,41072.0059110118,32345.4482760954,52286.2725069673,36698.1152271494,32387.6401797188,37561.0684468688,52286.2725069673,40001.6750768648,46955.6388456135,35359.9613261868,33281.8684323941,49919.9297261279,45884.7091204779,37431.1270994302,39682.3177626985,32345.4482760954,42910.9721112685,37153.5644734281,49939.1415155197,45927.3038267386,45541.3261762854,36595.3585785621,34144.9629756977,38609.3721690104,46436.0436877085,46432.390005845,44597.4568689222,38716.4833597147
2024,39909.8383358807,31519.0121837896,50700.2865639056,35714.0442051721,31559.1977130852,36596.1417860254,50700.2865639056,38942.5579652153,45696.9644988565,34396.1038050104,32372.785712416,48538.8669715784,44653.1996777228,36302.2860432146,38211.6053421842,31519.0121837896,41571.7502022465,35677.5115954313,48558.6588679335,44693.3387595716,44165.4353178308,35616.3842379428,33356.1423183117,37680.2144977191,45180.8916768602,45067.6037035491,43242.6857260858,37732.2890253591
2025,38261.4096290624,30330.2032248888,48449.2636722444,34297.4437420079,30368.5860805519,35171.4858951617,48449.2636722444,37332.0897051161,43865.5937739013,32983.2269936292,31093.1307371727,46552.6488458386,42899.2070589672,34748.2494930498,36301.7673927104,30330.2032248888,39751.0400990624,33850.8347381491,46572.2506172964,42936.9749667921,42277.5800492125,34205.5453547666,32155.7475324305,36287.4789703545,43382.2734982058,43151.5148921401,41318.1019732785,36253.0014196324
2026,36539.135650954,29086.6327851833,46127.4650659815,32807.0719580185,29123.13951526,33669.433301861,46127.4650659815,35626.3671925528,41944.0650425071,31510.2561282066,29744.1441236472,44469.6788280866,41069.4636085585,33146.1991285631,34384.9769356482,29086.6327851833,37858.0415069725,32014.4406594716,44489.0869828972,41105.6613290818,40307.0245598003,32720.8407360322,30885.78368489,34797.8832636623,41476.8194842071,41130.6744469348,39308.9889470791,34674.2520587476
2027,34860.5031149177,27879.2196097412,43865.1636810022,31358.958590305,27913.9992846817,32204.9603818449,43865.1636810022,33943.860212241,40049.8729386234,30073.9205982122,28424.6869613153,42432.505794167,39295.8033679857,31597.2346560281,32546.9702057416,27879.2196097412,36027.7103362258,30263.8084399697,42450.229732647,39330.2871831306,38381.7058691541,31278.2986065867,29647.4759039231,33328.1171129617,39608.6461062165,39155.3053013963,37335.215143206,33118.6218556365
2028,33256.9942532906,26728.4258481094,41699.9331940543,29982.8099718846,26761.5912584921,30800.2218609165,41699.9331940543,32317.6476467458,38224.5905540257,28701.0490223799,27163.892003086,40477.0049627058,37615.1971702595,30123.0773014519,30811.6931213422,26728.4258481094,34296.8558220897,28616.6805074277,40495.6934031644,37647.8188956825,36539.0937757408,29907.1386886714,28470.786930174,31912.6346521058,37809.6896213503,37266.0716669511,35435.898693662,31619.3597597923
2029,31735.8284820306,25633.1967989563,39640.85345411,28685.2928402793,25664.8364482463,29463.2436477637,39640.85345411,30756.4150845198,36480.9628127886,27398.7232056333,25968.5919441127,38615.2126327827,36038.8412996344,28729.0835459282,29183.0877632773,25633.1967989563,32666.9254235241,27075.042874606,38633.6885367342,36069.3908623987,34789.5684337038,28615.2829487902,27358.5179061904,30558.6087616983,36088.8909603256,35473.9425418132,33621.9107292387,30185.6005937089
