"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,61253.3046372318,48433.9192049956,77096.8432066007,55025.3400842329,48514.5213616812,56070.1478571512,77096.8432066007,58807.3702500513,68538.7331812882,52478.2921121297,50267.6715274818,73339.4898847057,68460.3569201154,56732.4565904472,60599.523264419,48433.9192049956,64561.8363423272,57607.8070369556,73367.6567068805,68558.4162806559,67991.5624907167,54823.8007958371,50750.1487016757,57360.560926297,68922.1640973034,69458.7338297276,66286.5804660993,57278.6828110194
2021,98827.9878168411,78195.6142048843,124210.035482713,88740.5149328027,78330.581089011,90630.7447243881,124210.035482713,94949.1194496975,110525.741030021,84615.414404637,81142.3855857894,118348.060537927,110580.775756351,91566.249881223,97530.6893172107,78195.6142048843,104026.700058697,92635.2616063288,118397.342431614,110746.14164155,109547.259254905,88401.744617932,82039.521397943,92719.6134143291,111185.77757442,112099.84191672,106875.312396571,92659.2527133618
2022,126990.009291901,100538.377831703,159374.173455732,114011.272587225,100717.975729257,116639.590873666,159374.173455732,122060.82554567,141900.383529593,108654.209581573,104376.593522053,152061.354379906,142190.340238182,117711.311837571,125068.231400717,100538.377831703,133572.716813445,118758.523897891,152129.870969735,142412.461283547,140589.458909229,113558.454540903,105591.241726425,119298.472253869,142858.546348835,144087.829168275,137266.563133358,119321.452739167
2023,151350.252736746,119903.480948637,189645.061623738,135867.223053903,120124.21527656,139200.724846114,189645.061623738,145502.192885267,168941.929767587,129391.2809636,124556.640177225,181218.099232312,169535.603765866,140359.225816823,148767.7627008,119903.480948637,159136.310261607,141303.663488117,181306.041641514,169818.195244707,167399.917132945,135308.472949212,126028.542451968,142335.357524364,170308.434885184,171782.606044024,163542.817188121,142472.518548457
2024,173797.347622675,137747.146226964,217541.017780806,155975.574103346,138007.173407424,159998.86552245,217541.017780806,167157.175526488,193895.532528387,148504.640053838,143125.475604929,208139.198556658,194744.58517664,161188.66153849,170551.373995695,137747.146226964,182674.184015766,161997.766392495,208247.184102271,195085.403992211,192064.071392989,155315.019907379,144880.916171556,163564.123517867,195583.238651393,197300.337642929,187759.749892891,163885.274865011
2025,194853.874596738,154476.566151953,243752.794646455,174830.003189849,154774.634366565,179515.973337737,243752.794646455,187565.161781219,217333.896587627,166478.978019025,160492.558596399,233427.748377406,218394.082063962,180679.49820672,190946.599892819,154476.566151953,204731.994848173,181304.846329604,233556.226966734,218790.41631108,215141.724049223,174070.989986684,162587.915697675,183472.20618547,219254.526029889,221228.718825352,210496.054140298,184042.750330543
2026,214675.180183824,170223.789125249,268442.822312298,192598.596368349,170558.671346091,197896.399378884,268442.822312298,206856.115452923,239407.448727682,183444.11464316,176800.199999056,257244.398129268,240665.525314635,198973.188650654,210084.642056953,170223.789125249,225488.930730362,199375.59891006,257393.577222408,241114.606138401,236813.497167592,191744.40094878,179282.858673263,202220.562124255,241509.346366053,243761.41805747,231897.123382051,203081.673369705
2027,233328.570673154,185050.153645072,291686.927260946,209352.397998622,185420.582853728,215198.234046139,291686.927260946,225074.09335859,260190.269038371,199455.894256775,192111.598712151,279652.430804689,261642.435211763,216137.987840774,228035.7302873,185050.153645072,245017.866574746,216280.766530097,279822.334743625,262141.595930494,257162.142273469,208406.202904158,195021.144432411,219877.591983621,262424.604733487,264974.655455969,252028.255564549,221048.3703873
2028,250867.279693339,199006.38368156,313549.146741564,225141.886688454,199411.093851752,231470.260021264,313549.146741564,242255.18218565,279740.637506368,214557.343539691,206472.049446148,300705.144102787,281390.108535697,232232.464393294,244860.750766095,199006.38368156,263372.917313368,232082.279924829,300895.656641659,281936.695471283,276251.179714536,224107.250242266,209840.819581675,236495.041528701,282061.367399261,284926.420559173,270940.270165277,237979.642331137
2029,267346.218293718,212144.42325504,334096.15446599,240015.316599873,212582.162652095,246763.949896687,334096.15446599,258439.60883119,298120.070091373,228791.273932865,219926.675101588,320463.276268673,299972.266115824,247317.871602506,260621.832871612,212144.42325504,280610.809127948,246843.771216833,320674.170748261,300563.812145346,294144.361434115,238895.714866872,223781.527603346,252124.669118618,300482.463261257,303676.926702519,288687.541742808,253914.807689701
