"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,74253.848346674,58644.5331820533,93665.2521588092,66656.2400653804,58739.3179844964,67863.5849448491,93665.2521588092,71317.0102222487,83242.3964595073,63625.5562925731,60835.2287117349,89016.4693383975,82930.2837991435,68684.2106171421,73489.7026846156,58644.5331820533,78308.7254419976,69840.1953240376,89049.7118361998,83045.6064324547,82507.6502985758,66419.3969750589,61410.5125702364,69442.9563657194,83604.0707140228,84209.4918380339,80442.3130643371,69355.791345226
2021,71416.8972649056,56360.2451601837,90170.1212818679,63984.0010461976,56451.0003291441,65380.3603454533,90170.1212818679,68823.6545670983,80343.1370086835,61165.8032359034,58417.7131453317,85917.7444388234,79809.5962569962,65893.1518925077,70178.504580436,56360.2451601837,75121.273428885,66483.6403851913,85953.8628613201,79920.896850284,79248.1411374987,63756.767683149,59186.6491804363,66937.1755128051,80510.7715957323,80999.5322758564,77418.3491078102,66990.3383150455
2022,68480.7619182066,54061.6413016799,86454.0895222656,61297.4689676438,54148.6084872079,62810.5790085475,86454.0895222656,66213.2481473713,77262.7625898915,58671.625777141,55975.5335841168,82602.2360058088,76579.7019602264,63025.3037405184,66800.4704727944,54061.6413016799,71840.623723895,63091.608627513,82641.1070517741,76686.9923529637,75855.3159588101,61079.4976792463,56931.3631739426,64348.622912816,77270.316406131,77631.7193866287,74226.9151792693,64511.6959369624
2023,65432.2493558569,51710.5513930293,82557.1606749732,58554.0656938277,51793.8797270224,60122.2024193172,82557.1606749732,63443.0424164615,73997.1850836076,56097.0327082138,53461.9150875662,79076.6745785348,73229.9726481621,60079.0410786821,63381.8490627814,51710.5513930293,68474.5655594305,59698.7040636538,79115.3121872984,73333.0377878989,72351.784400001,58345.3769868718,54582.2637012409,61646.2574395053,73885.9322240576,74127.1668815939,70873.7109236851,61867.5491690055
2024,62356.9332218095,49362.6774621172,78596.2427209745,55822.3952546155,49442.1558439492,57394.2824623617,78596.2427209745,60597.5406064362,70650.567259657,53509.4628952483,50941.6211401198,75459.9662959239,69862.1810884965,57131.7217648815,59995.2166370792,49362.6774621172,65109.623956406,56371.6144998095,75499.8013286902,69960.5475070752,68829.5895778749,55622.9311961094,52208.5160378994,58908.9804912214,70455.6954430689,70585.3353024541,67459.6184308555,59145.0453419126
2025,59317.9366031258,47059.6231498772,74661.0405378928,53151.8728285107,47136.0470396924,54688.593710448,74661.0405378928,57740.0759598469,67303.9578331411,50957.5649588162,48460.2137286432,71841.1986665864,66548.7039462894,54239.0861612797,56696.9932898336,47059.6231498772,61808.8509314694,53157.914675258,71881.2934817594,66641.987285661,65355.2327054468,52961.5154340715,49862.7470585494,56195.5616379575,67053.5608767014,67079.8960745623,64054.4062206859,56410.476885165
2026,56360.4412380397,44833.8557584795,70817.4927318244,50575.6651365178,44907.1764947865,52049.8593430079,70817.4927318244,54917.3208642567,64017.617182562,48475.3927523414,46051.7855263044,68286.3285799487,63340.9068592309,51439.889572497,53523.0190997825,44833.8557584795,58614.9773891611,50085.1932399282,68326.4372385719,63429.8511564027,61978.7976781692,50394.2516981287,47580.7266604779,53546.2392024476,63731.6398203712,63663.3736790537,60710.0581888319,53713.1750979096
2027,53513.8936042476,42705.5841295642,67109.2686296506,48112.7602205783,42775.9107923191,49506.7950491,67109.2686296506,52161.8381179081,60832.6932493125,46085.7002118278,43736.0856744103,64840.5384695879,60272.713265114,48762.0338461477,50498.0584360885,42705.5841295642,55556.6461806101,47168.9760600067,64878.9872538633,60357.2769752241,58730.350975031,47940.1005619647,45385.761663072,50985.1469723279,60523.9044736504,60368.5426998944,57466.3473257041,51085.3188732314
2028,50795.7032734763,40684.6558845971,63562.1526746721,45772.2986617165,40752.1022565161,47072.2478360419,63562.1526746721,49498.7364738056,57774.9590220221,43802.4983052952,41524.3427370825,61529.7182608042,57362.8704941932,46217.5538539727,47636.7136001373,40684.6558845971,52651.9065607115,44418.1939021596,61569.0153011991,57442.918436471,55628.1312168079,45608.1860267789,43290.4620794374,48530.0841971861,57446.4522871243,57217.8367701559,54347.9132943896,48550.6317036291
2029,48214.7670824087,38771.2363724368,60187.8611785362,43558.7227516984,38835.9052485884,44756.9335231861,60187.8611785362,46940.8417300598,54860.3953977943,41632.6535988081,39423.2175995532,58373.3447986682,54620.9988797617,43814.4907551402,44944.1698687943,38771.2363724368,49904.8172381037,41836.5341666101,58412.2026433357,54696.5075364625,52682.7501532827,43403.7475733959,41299.2259278618,46188.2363516152,54509.9868223221,54224.4486851585,51369.1823067706,46120.7659522725
2030,45773.1261255445,36964.8990743374,56992.8824786292,41472.4176585163,37026.1586107659,42563.524873185,56992.8824786292,44495.0194844717,52093.0829054559,39577.7616283071,37430.9434121237,55377.7170226663,52047.5875347231,41550.5390346439,42415.0995385542,36964.8990743374,47316.8553026286,39421.554354768,55415.2596479533,52118.7452347516,49897.4948912043,41325.6467204147,39415.2874158239,43961.8020285185,51718.1253245669,51389.8663609725,48536.4467118979,43803.4358887332
2031,43472.0057049362,35265.833472205,53981.857088718,39513.6224769151,35324.1805255656,40493.8214321934,53981.857088718,42167.4247024669,49475.0018812684,37640.2371403818,35546.5835502995,52547.6104215823,49642.7936605289,39426.383187769,40047.9571768735,35265.833472205,44887.7011772734,37167.5322425671,52583.4502412527,49709.775177812,47272.7692874457,39374.5624202308,37638.5374427763,41854.857807769,49069.1320466638,48714.8369119059,45850.7202074426,41602.9609434976
2032,41313.2201437265,33673.1691196002,51157.0943857259,37683.0682540849,33728.8301568501,38549.2212003369,51157.0943857259,39967.1737202363,47011.8303152038,35823.1895529891,33772.2409497982,49886.8941841666,47407.1777774137,37440.4313574665,37842.2789049242,33673.1691196002,42616.7867793733,35067.2280970218,49921.6338265181,47470.1754543296,44806.4600210375,37551.4633898792,35971.9986111499,39868.6178970139,46567.236631613,46202.9186235179,43317.1303110753,39526.2540718355
