"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,67110.4118498196,53678.9377741441,83117.1290099118,60124.5497709531,53805.3123427331,63487.7304868028,83117.1290099118,62410.2981769554,75550.5236491039,56762.5804765299,56813.6401420999,79219.5874666013,73197.0143871158,64790.0773536339,67462.0172527973,53678.9377741441,69847.5855981726,65148.4368365649,79272.554259561,73365.3745473884,76226.4590843022,59765.5073089022,55174.1291034166,64114.5873175561,75108.731350027,75069.8943701275,73406.3326137736,60841.3055663165
2022,199126.192462595,159063.582757585,246964.825845767,178333.777928825,159446.374429099,188589.227308631,246964.825845767,185702.313062735,224447.212368973,168568.712042931,168234.239741746,235525.999196406,217536.004884008,191845.107593525,199546.614399519,159063.582757585,206659.7819646,191960.453903273,235679.068853695,218041.993984845,225902.902557049,177246.868461009,164093.908242233,190605.46778056,222660.895762958,222700.422816772,217626.703970689,181172.35170744
2023,392353.614630665,313118.558285378,487494.251987927,350941.622080702,313881.013740286,371586.938997261,487494.251987927,366985.225430209,443251.294518542,332500.188467611,330367.314489979,465155.573368147,429272.501879115,377111.473705016,392185.61301576,313118.558285378,406192.422580201,375967.382907134,465452.762078695,430287.701432709,444632.74961257,348779.726498317,323742.141535167,376001.490945745,438445.272397917,438711.187435191,428599.372719016,358176.585658025
2024,640947.059928216,511034.47186362,798361.660595115,572431.365372829,512282.160637233,606685.540414177,798361.660595115,601516.493501514,726128.740683664,543996.488462634,537561.883470416,761748.288008217,702034.037773687,614400.630322892,639466.189290091,511034.47186362,662202.486223493,610757.240761712,762279.7243708,703735.934307594,725332.528989587,568884.379738852,529303.660464361,614344.785175443,715483.614823502,716507.589964937,700080.617770132,587115.985218897
2025,937676.610920788,747087.322281554,1170672.87117225,836566.053007074,748917.999181852,887136.813790537,1170672.87117225,883056.682395473,1064731.82461176,797154.528375924,783686.57466235,1116711.71330883,1027862.63250439,896529.5851238,933631.009366922,747087.322281554,967287.405860797,888804.453447312,1117550.70796581,1030393.14281067,1059393.72225004,831358.21402631,775084.189555153,898637.873356894,1045648.75155799,1048050.87046868,1024227.311951,861733.019986346
2026,1275601.34795461,1015897.28602276,1595594.72732645,1137436.19275986,1018389.3732424,1206503.30561598,1595594.72732645,1205114.11707961,1451073.57306089,1086069.92603353,1063102.85070024,1521742.39005984,1399251.12315916,1216720.72589075,1267158.69217517,1015897.28602276,1314380.89716976,1202992.97652591,1522958.19350137,1402730.48609026,1438716.36185601,1130329.70005164,1055584.40206379,1222309.98610337,1421266.77163234,1425599.99043928,1393277.47294549,1175832.17735948
2027,1648739.64037098,1312885.51146764,2065415.33000216,1469905.54648881,1316103.20442939,1559308.16616806,2065415.33000216,1561935.63566392,1878217.24675083,1405630.20498572,1371002.12746955,1969695.27505868,1809786.17825402,1569215.12502626,1633649.17590781,1312885.51146764,1697300.08454941,1547255.60227124,1971365.2535372,1814305.84637194,1856402.21467013,1460698.34165191,1366022.15308817,1579799.98135744,1835679.85118942,1842399.88625131,1800482.25898721,1524030.80767632
2028,2052116.12813019,1634266.29593222,2573591.38126027,1829691.21301114,1638260.80568941,1940985.50739016,2573591.38126027,1948664.51646259,2340327.24700299,1751611.15074279,1703415.17772137,2454570.41893291,2254134.52433934,1949254.79371416,2027769.03001935,1634266.29593222,2110944.09793644,1916611.80218067,2456772.21684734,2259762.81113651,2306775.51992632,1818213.8012931,1702434.42391498,1966582.67832797,2283345.46762875,2292926.89223955,2240158.97736512,1901832.45223941
2029,2481651.94105548,1976995.03155293,3114689.33965607,2213272.08542133,1981806.09293044,2347872.40460037,3114689.33965607,2361246.96138597,2832550.06390244,2120521.86103265,2057126.10675366,2971431.37650167,2727940.18548638,2352992.05149977,2445128.95236146,1976995.03155293,2551130.00025858,2307032.78247599,2974211.96602177,2734721.12342935,2785198.72722169,2199389.82535236,2061565.56676675,2378984.88305527,2759761.29796051,2772645.94590875,2707589.68470664,2305494.21014416
2030,2934017.72651594,2338681.97099708,3684232.14141435,2617757.89405514,2344339.15333304,2777011.6884678,3684232.14141435,2796327.62539981,3350876.70526426,2509487.0751992,2429536.57452345,3516216.47440428,3227611.69905706,2777342.89769088,2882154.07165445,2338681.97099708,3014453.45404103,2715266.10236774,3519633.15452412,3235572.49883315,3287868.35790192,2601368.47800528,2440769.95776811,2814033.50881831,3261306.157529,3277817.01338225,3198877.60721105,2731900.90105577
2031,3406500.12900033,2717446.09152386,4278536.21569385,3040763.07556133,2723982.4910429,3226015.23378208,4278536.21569385,3251118.12306568,3892060.07785778,2916118.8000844,2818511.44766958,4085642.92841966,3750215.70608667,3219907.29199465,3336003.09201164,2717446.09152386,3498088.4774531,3138705.35275656,4089745.95710367,3759369.32749076,3811683.05625118,3021787.49545559,2837896.77238494,3269263.0936434,3785073.36675076,3805314.85965252,3710823.63700289,3178431.2542688
2032,3896866.93722496,3111800.81220908,4894579.85442844,3480298.9600753,3119232.26936704,3692858.4073212,4894579.85442844,3723232.57671283,4453467.45640124,3338415.80015843,3222282.23590386,4677039.255502,4293333.99906375,3678735.11574093,3804386.27747666,3111800.81220908,3999687.89393128,3575294.21610915,4681876.22981621,4303680.11558136,4354129.77513775,3458682.56200008,3251208.32886843,3742567.56604628,4328682.554193,4352491.85456276,4240843.9096365,3642865.40438044
2033,4403257.67951265,3520509.19772848,5529900.99669728,3934696.23539571,3528843.04892685,4175852.22511953,5529900.99669728,4210615.81143324,5032945.1503686,3774693.14467849,3639343.08647189,5288224.14472428,4854954.75731142,4152166.33830267,4285451.69340764,3520509.19772848,4517317.83640555,4023419.39305894,5293835.98169355,4866484.80612393,4913137.23972817,3910406.53823838,3679280.6408039,4232152.8392482,4890016.22243249,4917091.83053724,4786790.37023847,4123312.45874138
2034,4924105.35398276,3942455.48843695,6182437.10177647,4402547.85788216,3951696.05869243,4673561.35898501,6182437.10177647,4711542.51265568,5628716.34792759,4223553.53641257,4068432.51515681,5917304.26262428,5433413.44691569,4638800.7904876,4777714.87767798,3942455.48843695,5049388.30758099,4481748.34891675,5923746.270523,5446110.0318325,5487004.36003856,4375571.40762618,4120947.4308515,4736491.57576679,5467248.14671439,5497204.12183665,5346823.23600672,4618174.45624387
