"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,33251.6339408352,26277.8264085511,42627.5364284124,28825.7804547884,26540.2471046057,30679.0763593363,42627.5364284124,31040.529359689,39025.1139688715,28588.6043780735,26860.72328596,39990.5665669199,36126.5650211414,31838.0278125554,34731.3417065646,26494.6355991559,34151.9684754359,32865.8556100111,40015.0263011269,36216.3122176444,38523.6623400105,28686.5560779339,26277.8264085511,31196.6961751059,36799.1479711458,36822.333030574,36650.5657918025,29716.1500754645
2022,60779.2085179929,48238.6574573861,77973.9293379188,52934.3803323573,48314.0688475017,56036.3311563879,77973.9293379188,57336.7213540589,71588.5639313189,52495.5194841987,48816.3703459222,73192.3831297802,66129.7397067044,57744.7458796212,62939.1480135666,48238.6574573861,62396.7375834389,59242.6794418637,73217.3984298212,66266.1638698382,70198.0620926237,52716.1079507973,48282.7667252645,57084.4135781722,67113.2039647968,67513.4406492561,67207.2063758587,54501.4733113674
2023,81583.803427639,64327.204904587,105595.848568853,71401.274158258,64425.7359789899,75160.1244502896,105595.848568853,77874.6394593734,96700.5882373312,71063.7809633622,64878.3343128245,98414.1283739498,88733.2526462879,76971.4579397198,84247.1962163132,64327.204904587,83563.1424678406,78396.9102833951,98424.3806741582,88895.5618631924,93842.0368912835,71131.772624176,65171.0509982873,76416.3248153944,89309.6691259546,90592.3754246142,90596.622155671,73461.6721568685
2024,95884.2759572165,75258.6827090997,124963.347154682,84387.2012893884,75370.5788073,88436.4228678076,124963.347154682,92201.148454939,113952.917480815,83783.799894412,75863.8426802577,115893.839135822,104119.768479898,90011.832545762,98477.3351222426,75258.6827090997,98125.4200387467,90944.2888035383,115927.490450782,104293.347024123,110036.239854584,84086.9912977312,76863.2430258337,89805.5755359409,104539.158316677,106496.713703713,106640.334620695,86627.3796356218
2025,105345.464564601,82404.3489929447,137927.124999552,93151.1391709577,82526.2026171107,97446.493668397,137927.124999552,101711.991832741,125325.52786994,92161.0355612086,83245.6368042734,127753.778192557,114131.729342348,98544.2723603072,107340.773885253,82404.3489929447,107750.828033344,98622.6340611968,127789.093986171,114306.087858226,120657.153861318,92842.8640216272,84717.5409445986,98879.1790035106,114717.036496012,117101.814167322,117046.540923616,95535.7854605056
2026,111623.370159884,87189.0147400955,146529.132847819,99075.8534577964,87307.3480928093,103701.295618605,146529.132847819,108002.731017343,132724.010545938,97636.6570761828,88249.3478621058,136002.46823961,120639.737986751,104142.65773259,112632.164479879,87189.0147400955,114199.45581748,103152.843873533,136033.520248672,120815.427112408,127556.38203932,98768.3178829839,90136.8796331454,105035.696168634,121546.09683329,124160.518210452,123667.910680041,101678.785799628
2027,115951.201223958,90584.9328236217,152332.046303767,103249.33667233,90700.2275577448,108225.840435944,152332.046303767,112275.109072453,137633.087511336,101303.11120403,91764.1473602839,142015.141093866,125110.922310392,107956.994719632,115738.78483824,90584.9328236217,118772.767550179,105804.88758429,142058.908053258,125279.100166876,132206.210096524,102950.692401964,94047.3056255318,109378.886557342,126310.685503883,129080.955302915,127912.38429085,106087.565561697
2028,119190.433082474,93261.7152779531,156486.946623338,106433.573935131,93369.6853629062,111723.904979527,156486.946623338,115386.751806947,141121.717292242,103933.275116892,94502.2858120324,146715.198094103,128514.557436462,110733.148733044,117622.924261969,93261.7152779531,122291.391823067,107487.837787957,146775.000149121,128669.07986656,135641.959461716,106149.018445729,97133.900570984,112736.227242163,129968.027184533,132784.970566377,130792.67110258,109525.058128525
2029,121943.881352521,95698.5661400883,159832.433037536,109168.01151372,95799.5802941751,114757.992493616,159832.433037536,117935.487333149,143936.494790699,106060.981040382,96923.1256003743,150782.535822574,131497.366274513,113025.761344455,118931.814366988,95698.5661400883,125327.923734616,108796.888634784,150836.015557637,131629.948055236,138537.273723979,108902.44458734,99889.7976716179,115654.027816155,133217.441060562,135933.573726153,133014.061499889,112507.487692788
