"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,38.1704372233461,29.3133738017414,48.6382624378781,35.1179280354404,30.882186454477,32.8426624374361,48.6382624378781,33.9681898104838,40.3049416619384,32.6205408465629,29.3133738017414,43.1280019866839,43.3469084696555,36.9071965694329,44.1697838302637,30.855425203722,41.9187764453159,43.017169733452,43.1408222909544,43.3833537284464,43.488051466269,35.0462624190852,29.48221584387,34.391554151278,42.2369154739599,43.9599394919619,40.0462872760573,32.0541807172875
2021,40.9153453500883,31.2484664689906,52.5021997510918,37.5311148630561,33.0137966523398,35.0902245173068,52.5021997510918,36.3831625670734,43.5440645606701,34.9269338007414,31.2484664689906,46.4203484644037,46.3925543733785,39.4430416219263,47.332635377044,32.9863715058497,44.9047490176277,46.0150933409605,46.4342365713686,46.4299688555945,46.8442309755562,37.457567713686,31.4177782512419,36.8058059787603,45.3838760073412,47.1410998529019,43.0427316039169,34.1915810593797
2022,41.6579939757409,31.6617268841952,53.7053929195968,38.105072289815,33.5663960019268,35.6709675931547,53.7053929195968,36.9980069100224,44.5476102296275,35.4930701694408,31.6617268841952,47.4003665332229,47.2428747740567,40.1137779051554,48.1585188709346,33.5381423934653,45.6944326701816,46.7489835643031,47.415724868513,47.2818279436792,47.8366103735459,38.0285982097732,31.8683855438546,37.4627597101143,46.2831695578767,48.0464265817887,43.8726806842753,34.7083262110039
2023,41.2504425478372,31.2056437529416,53.3775636441383,37.6440644560052,33.2108282148533,35.2835756283466,53.3775636441383,36.5889119497452,44.2634276206218,35.0806744613551,31.2056437529416,47.0386443190218,46.8301073408434,39.6996617851228,47.6512839457484,33.1820158209038,45.2316307731378,46.1879635844142,47.0554400373594,46.8701258408703,47.4604259553811,37.5654781378753,31.4732559891897,37.0950446949243,45.8774392093836,47.6367747699131,43.4585665480283,34.2925152158061
2024,40.3379537395072,30.366393650608,52.388437577985,36.7405368329223,32.4584670394862,34.4677791410555,52.388437577985,35.7313354341349,43.4148328232404,34.2480855115746,30.366393650608,46.0834040369416,45.8656404434395,38.803517514999,46.5599369139094,32.4294068734672,44.2223733301496,45.0505852126712,46.1015191463889,45.906167263485,46.4771740692247,36.6607973061185,30.7105925742568,36.2714447181151,44.8903769574268,46.6436079650735,42.4934105388934,33.4630206121142
2025,39.1712863343213,29.3430682815599,51.0565195378727,35.6256803445544,31.5126393311818,33.4393706684992,51.0565195378727,34.6445231090553,42.2748610452598,33.2091634271142,29.3430682815599,44.8228857352379,44.6259581305766,37.6654599569201,45.1646799004888,31.4836161561092,42.9410845883128,43.6173745190799,44.8421441874839,44.6663966778171,45.1829030262017,35.5457266354894,29.7698812006116,35.221703885643,43.6092454920214,45.3515998024035,41.2410524167136,32.4246203018254
2026,37.8697659758743,28.2315352275013,49.5303963065249,34.4060240771478,30.4715385497079,32.3037640833068,49.5303963065249,33.4298453843944,40.9710779770181,32.0639819433571,28.2315352275013,43.3982813954587,43.2423561152221,36.4013126796206,43.5995288036739,30.4428413053634,41.5182796816119,42.0251981915377,43.4184702960345,43.2822096859853,43.7162298871885,34.3266548448683,28.7439148353079,34.0540961590189,42.1700764468733,43.8945006833147,39.8243367377086,31.2776980991099
2027,36.5018963301405,27.083968348257,47.8947908134319,33.1423223225348,29.3915635545832,31.1204372360316,47.8947908134319,32.1468792248825,39.5771979009627,30.8698351074324,27.083968348257,41.8897112824659,41.7924180905587,35.077720686718,41.9445044872927,29.3633403815346,40.0291975093889,40.354452099028,41.9105371026093,41.8312998914343,42.1574902237501,33.0641690066467,27.683997230958,32.8292910446874,40.6485555228573,42.3502683306334,38.3148610305585,30.0785998242756
2028,35.1117030193965,25.9336038611742,46.2055935987655,31.8727712990001,28.3078961215268,29.9259434434093,46.2055935987655,30.8343478249275,38.1417064050254,29.6626863272765,25.9336038611742,40.3474147733347,40.3263944094699,33.7367084688402,40.2534238432754,28.2803121221079,38.5221928125013,38.6580771303269,40.3688702168008,40.3640479903897,40.5593198522692,31.7963349812038,26.6223341279374,31.585928890854,39.0933623645954,40.7691470959263,36.7603811114061,28.8637764125691
2029,33.7290516725275,24.8020970685176,44.502459687464,30.6234793162332,27.243752814532,28.7440466408903,44.502459687464,29.5198429403776,36.6986365916195,28.466941393824,24.8020970685176,38.804482094431,38.8781249273857,32.4061406415808,38.5645367721059,27.2169074690968,37.0286388873482,36.9728904724801,38.8265526137484,38.9142110738861,38.957710125698,30.5491731132698,25.5802797841663,30.3493765321722,37.5381689409081,39.1852759260443,35.1949839588262,27.6575820265816
