"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"1",2020,433298311.318163,359717618.758633,511414198.857228,394621831.846795,360152851.84586,419267748.583444,511414198.857228,424472175.239605,474713791.459212,378468050.698078,379634617.144359,507724325.632274,476168195.755973,409849701.903242,406611709.984764,359717618.758633,444648671.443458,388294800.731273,507893207.921752,476686688.002102,464505286.927553,393455189.229402,386534903.779413,422230270.460717,478473843.387095,478557725.663519,462769469.91205,425590907.786278
"2",2021,422961423.176774,339040238.249189,518145446.357508,380265013.739046,339500642.798912,399517765.640931,518145446.357508,407385738.145352,470245270.742138,360784568.327061,354039014.902073,506104308.285814,473279136.46568,397303173.738252,404541286.075234,339040238.249189,439514735.079463,384006978.913459,506305195.012635,473847842.169603,463366475.653218,379016283.584338,361005453.092956,405891769.856016,474811811.024451,476565840.193399,455980198.275797,403571393.096824
"3",2022,435423145.269787,349323516.949535,533768435.247869,391420970.583035,349819518.949551,411589989.045827,533768435.247869,419446225.188464,485407035.339882,371548504.696299,364392355.581719,521424186.894045,487058797.268057,408673524.185872,415367742.916415,349323516.949535,451780776.358899,393753440.823404,521659698.13612,487675434.201769,477229564.259096,390066124.920372,371855721.797009,418346596.13076,488904381.251095,490164565.288565,469444051.319756,415457474.411266
"4",2023,430396714.225887,345760921.9456,527663652.936418,386891032.956189,346281149.290883,407161749.534784,527663652.936418,414534161.23415,480717401.883257,367382571.508108,360149752.869984,515482289.19594,481407152.663068,403880951.930389,409742925.238969,345760921.9456,446044132.823713,388043822.586601,515750264.977744,482060462.792798,471738190.875689,385460807.563476,367851248.986148,413988308.079631,483235797.251765,484104333.296583,463885033.585098,410699739.640196
"5",2024,419121538.937934,337228539.013412,514041953.748461,376726350.232215,337765373.073504,396709023.424164,514041953.748461,403683586.130369,469098872.994904,358050614.393113,350449884.893553,501961925.92851,468864937.323439,393239798.329319,398432607.697947,337228539.013412,433868560.254054,376829972.711191,502261072.782979,469551068.285591,459248541.143771,375239656.260864,358483541.273187,403491193.112824,470317774.793945,470983290.293466,451518538.72532,399991796.628237
"6",2025,468356601.318263,389052796.233935,556909084.764628,426149153.198128,389637799.874939,452889301.184378,556909084.764628,458688317.219316,519877258.797491,409824987.454774,407401345.446737,551137178.111598,515572031.900532,440970970.51873,436412740.487426,389052796.233935,478177049.358211,413430388.322766,551478958.310714,516314092.875972,503327729.510412,424524980.082721,417272364.0172,457361519.132903,517425169.232693,515918465.830081,500287427.939794,458873923.150506
"7",2026,390245517.432027,315132427.514176,479339434.921506,351035394.952893,315688292.344411,369606441.245315,479339434.921506,376231609.400659,438585974.681289,334518593.908562,325287341.607381,466979609.036626,437046150.223835,365945725.595365,370079638.23945,315132427.514176,403167341.812175,348710920.912323,467335307.299249,437771894.613463,426811051.34253,349476485.250172,334523995.957397,376071542.722391,436832382.223746,437594435.356309,419787003.827055,372578940.812406
"8",2027,374542782.923608,303126881.891641,460445212.515134,337253813.963937,303685887.508845,354833408.954286,460445212.515134,361244560.838428,421727879.378727,321769728.625356,311589149.07908,447842445.164218,419916091.906418,351103994.157187,354668687.856764,303126881.891641,386621067.272251,333510547.356342,448222454.506789,420648791.455614,409029235.33497,335677434.080832,321577644.102687,361046331.810477,418521836.170615,419476231.026826,402378944.593487,357651313.539297
"9",2028,358552273.591022,290927544.551608,441165576.407675,323310412.871709,291485821.189963,339801118.443456,441165576.407675,345871724.468678,404406443.813639,308773237.343778,297668332.416047,428317154.494418,402594692.673906,336000092.069154,338945465.204356,290927544.551608,369847561.691298,318068102.553069,428718492.33003,403326936.901775,390867102.999111,321727503.27524,308445908.836549,345708072.404396,399833321.71369,401035700.857376,384527317.224393,342433203.04023
"10",2029,342528929.897701,278732359.683021,421794421.607725,309403806.155625,279286580.663601,324758255.465437,421794421.607725,330343417.557733,386902607.067135,295715771.854374,283752606.750207,408733668.784125,385360288.894706,320877557.393852,323157647.898217,278732359.683021,353115265.869436,302627111.074009,409153266.748565,386085740.135069,372631775.354894,307825008.081959,295325881.489395,330314953.912771,381081291.569318,382571700.138155,366512469.026537,327159794.266655
"11",2030,386639957.411915,326199102.948308,458732258.404061,354901786.996322,326782030.969445,375744699.822308,458732258.404061,380015005.578138,431356306.318424,343293866.958236,336016252.535756,451701910.775247,427418660.70181,363451211.081505,356282100.489206,326199102.948308,392555981.331502,334570881.309511,452155129.151333,428164028.157404,410741695.280546,353241721.91611,349860705.015859,378790041.864575,422155764.537067,421861217.529759,409078224.467654,380928351.157798
"12",2031,311109508.225543,254928104.920214,383653068.7817,282250418.970088,255466346.86959,295341689.58914,383653068.7817,299535829.767854,352202767.457316,269957562.274115,256547445.26401,370334749.73537,351886287.160894,291296428.591178,292135398.139395,254928104.920214,320476829.846135,272476468.657863,370781607.949252,352583150.594602,336808695.758164,280706993.821576,269668198.878315,300054712.862189,344284563.885829,346387423.864281,330857387.901128,297115574.098387
"13",2032,295968871.46161,243461556.537392,365211932.611052,269196188.876804,244047947.323673,281185264.10286,365211932.611052,284510844.781265,335332327.763228,257450279.834242,243461556.537392,351865183.317979,335903041.138711,277084929.778382,277178259.376889,243520702.310167,304797982.321813,258032391.131139,352321156.575243,336580353.543577,319533751.455274,267681333.084794,257326419.301971,285403783.395577,326547466.208872,328929001.35519,313547669.965288,282572020.448869
"14",2033,281321161.240268,230816269.201182,347348054.085198,256583024.26943,233017967.992663,267496162.701903,347348054.085198,269861072.241958,318939428.380384,245284400.962198,230816269.201182,334039203.094141,320535412.459382,263350813.998886,262720675.925809,232505040.30211,289650963.732405,244128913.496468,334501504.311179,321190526.788784,302824356.768965,255101685.781559,245392287.591265,271170099.068867,309365807.037617,312015070.795062,296739568.86987,268450721.149407
"15",2034,267215213.49691,218645126.286664,330141990.619102,244454461.618691,222385085.021716,254302196.069352,330141990.619102,255655275.841041,303104313.673494,233512042.180655,218645126.286664,316911778.589466,305826420.189071,250135731.118718,248830528.526123,221887867.647874,275085735.204087,230802210.682017,317378372.283296,306457420.687616,286746515.749892,243011372.545315,233897009.289217,257408703.01113,292797359.163111,295707572.225933,280490941.250833,254804307.948343
"16",2035,310160583.318754,262174258.346811,366200104.617471,288975126.576401,268358831.400176,303731160.421965,366200104.617471,303563895.153639,346002746.68239,279620168.191351,269474422.482749,358992871.491151,347422644.353884,291439051.30204,281255860.166602,267844777.436186,313639519.322005,262174258.346811,359482376.451417,348057763.501028,323908539.094243,287484267.601379,286941479.391414,304234202.318757,332786461.025518,333927934.660351,321615161.745263,306880959.234672
"17",2036,240730025.647794,195802245.458981,297895668.316461,221738916.902217,202340146.433447,229460053.3341,297895668.316461,228771920.831809,273308559.58649,211283994.236362,195802245.458981,284790322.010013,278486744.511041,225331474.621993,222833654.927294,201874729.432496,247815822.834183,205878420.565232,285257975.842346,279066490.854377,256590047.846703,220381696.151244,212317276.035603,231439435.538254,261650653.271413,265066954.38276,249813817.34983,229053619.920202
"18",2037,228372281.88723,185151125.904985,282862212.105805,211174978.653199,192935083.471554,217832747.939968,282862212.105805,216157281.231678,259401788.210646,200868980.10616,185151125.904985,269790853.076456,265870540.124391,213756718.441357,210725011.736772,192486188.762873,235133515.797322,194282737.116424,270255612.930423,266424166.752976,242509130.560265,209863428.388577,202257763.126201,219261341.108628,247111188.41156,250774774.46766,235434114.444089,216985764.310785
"19",2038,216603435.424414,175015899.997236,268537163.625545,201133787.717383,183937069.299829,206738975.692101,268537163.625545,204115396.883801,246145727.513838,190931807.339424,175015899.997236,255493460.638688,253943584.742464,202726377.578933,199206220.415613,183504951.531743,223084735.305239,183257122.454822,255953400.617385,254471303.928569,229080308.551452,199866973.542103,192686108.095943,207631988.537262,233267204.019701,237175479.681442,221712802.6865,205468035.213323
"20",2039,205412947.833297,165391003.942545,254904752.46291,191575330.243133,175339396.596036,196174368.205059,254904752.46291,192646230.0699,233521381.141577,181473980.003998,165391003.942545,241891193.159597,242680831.570608,192231066.661721,188270900.878959,174924082.186742,211657327.687593,172790520.552971,242344603.067163,243183153.200028,216294436.06024,190353229.106552,183594073.481174,196553251.051104,220112140.130376,224263041.344957,208652328.85108,194501074.176416
"21",2040,247355773.092986,203725987.416061,290624761.742514,234982125.213962,219480608.047869,243997935.10044,290624761.742514,239264373.247153,275487599.699854,226247570.782439,214683615.28113,283267331.17678,283857143.173693,232374943.061702,220320304.971721,219052493.379917,249584522.482148,203725987.416061,283734517.511123,284360334.244187,252850614.406105,233722748.565997,234954411.142439,241959582.764332,259487157.976101,261945409.314776,248957424.552644,244970812.069556
"22",2041,184699989.508925,147625129.400559,229625681.482019,173793655.597101,159312959.727412,176591385.092309,229625681.482019,171388880.115128,210090944.459753,163967725.886306,147625129.400559,216715603.918309,221938236.817825,172797276.213265,168109939.450592,158930446.476764,190594094.797376,153483486.226944,217151612.133934,222391784.447464,192608265.144862,172662208.687629,166769920.821166,176025988.194931,195811581.583653,200442305.739727,184479770.916958,174190854.39114
"23",2042,175138485.992237,139451498.438995,217934945.772273,165522288.502636,151864818.456855,167543427.018397,217934945.772273,161576943.421664,199238303.799792,155888539.539851,139451498.438995,205105195.737007,212379076.662255,163827167.359519,158853689.613191,151498160.191641,180912430.839147,144611695.315428,205530702.232511,212809634.193955,181681007.380222,164435396.663154,158968403.760282,166554081.707233,184626836.960449,189494406.976416,173333834.772212,164819664.490833
"24",2043,166079036.453655,131725076.138409,206849093.66111,157639318.169693,144778030.219925,158965659.161922,206849093.66111,152289618.210292,188930618.023242,148235108.635994,131725076.138409,194115953.052038,203317469.62376,155329507.814312,150118092.078993,144426652.29184,171749319.970545,136237054.192979,194529985.280975,203726518.691922,171341562.665905,156596083.852175,151539565.185926,157588066.492958,174055057.819925,179155702.354123,162788407.324758,155948390.427658
"25",2044,157499558.044538,124425101.453127,196346032.424963,150128031.704065,138039369.646603,150837528.270652,196346032.424963,143509632.600403,179147046.316286,140989713.90961,124425101.453127,183721838.342858,194723351.010284,147283528.701114,141879826.910881,137702812.171004,163065077.308525,128339191.690409,184123594.197252,195112327.553823,161569652.769711,149128276.539675,144463962.723852,149108290.022968,164070776.726033,169392682.86797,152823368.823026,147557936.428361
"26",2045,197640078.772268,158266124.268735,234586976.857252,191315910.33535,179663976.343534,196301629.640534,230949052.204491,188156957.958129,219343541.911438,183674834.599806,171329330.901287,223664603.899005,234193686.471363,185592986.727327,172964242.84691,179315501.635949,199511709.694938,158266124.268735,224074370.916647,234586976.857252,196923340.513363,190284508.377426,193008026.953996,192468191.71424,202157667.658127,205853338.216202,191751494.245506,195649964.415155
"27",2046,141689693.748308,111006208.505101,179183160.396392,136154142.731053,125551982.776401,135838609.099078,176997088.590614,127386843.374011,161075108.832388,127641183.466812,111006208.505101,164613091.934484,178830462.65341,132462974.93186,126804427.565475,125243645.674429,147018612.832748,113889878.266443,164988545.700066,179183160.396392,143638532.74391,135239520.220396,131300060.902941,133522057.374277,145759894.869281,151432529.135708,134546981.902152,132116799.228266
