"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"1",2020,358896086.989428,287981451.880137,437990782.562429,322886612.605635,288377286.532697,339319102.594758,437990782.562429,345358732.161538,396382661.735029,305795210.895686,301093462.290625,428292779.751202,402031974.307044,338199085.685545,344194570.375313,287981451.880137,373890644.284637,327738726.038971,428454033.765694,402519401.576247,392184866.638441,321818962.827507,306773646.305666,344264037.70014,402567891.952619,404888958.830158,386381165.170458,343016126.267523
"2",2021,709125297.745105,569943947.964962,863840198.833158,638682375.871673,570732496.890843,671556057.493894,863840198.833158,683709553.271824,783521418.129834,605373129.718213,595786080.613628,846240477.535899,794475166.392233,667535498.225028,677507587.626578,569943947.964962,737549316.491315,644192735.30061,846579936.390338,795447436.911318,773293191.194132,636551197.038897,608235655.654343,681335385.826793,794778400.355031,798823071.064606,762716754.382122,679725374.450349
"3",2022,1051036277.51822,846590614.662293,1277206626.59304,948141661.159032,847767485.359158,997278996.873055,1277206626.59304,1015629664.52708,1161607245.92675,899496106.186299,884795271.961394,1253863357.47648,1177790899.64363,988251435.21444,999827870.812968,846590614.662293,1091144107.56474,949198151.184434,1254406303.56671,1179243711.10676,1143199592.83621,944952682.182861,905361344.44659,1011798576.31482,1176734866.33464,1181759201.67428,1128999240.81753,1010861923.5303
"4",2023,1383700203.06147,1117107291.78377,1677187066.17778,1250401002.74413,1118663309.67141,1315374703.18809,1677187066.17778,1339823837.03045,1529442326.09861,1187182972.44583,1167152146.03085,1649925807.74202,1551055662.21036,1299639901.85247,1310783156.99507,1117107291.78377,1434002362.56072,1242614835.97601,1650691817.70316,1552979901.83248,1501191008.75229,1246169442.44285,1197019850.45634,1334582555.00831,1547479074.30854,1552846915.01563,1484155393.17144,1335032735.33817
"5",2024,1707289163.28181,1381635508.53801,2064004142.97429,1545681049.32453,1383562952.05636,1625883883.05987,2064004142.97429,1656206544.43208,1887044151.48716,1468537972.47675,1442966702.27672,2034474571.78343,1914571675.38357,1601967058.96749,1610859137.09949,1381635508.53801,1766478343.63874,1525043732.67922,2035479528.6351,1916955693.48126,1847588246.48403,1540426910.4611,1483228485.9331,1649754673.60104,1907201097.91983,1912333129.74169,1828251310.52672,1652092579.08358
"6",2025,2022196518.74213,1640454953.55667,2438197962.857,1834375436.25406,1642742902.23461,1929063181.4137,2438197962.857,1964901840.69794,2234713043.4423,1743813102.51062,1712505567.93096,2407867146.81198,2268902329.99726,1895698959.90183,1900727753.74651,1640454953.55667,2089133535.31898,1797254980.15773,2409123222.112,2271731120.30471,2182954416.98967,1828121521.34687,1764173821.50103,1957595417.65434,2256357871.21105,2260738767.94344,2161633395.42327,1962130717.23464
"7",2026,2328928912.59928,1893901882.00449,2800512533.75202,2116950196.03387,1896542557.64202,2225285719.20138,2800512533.75202,2266155729.16754,2572926064.74314,2013340852.70493,1976108472.23013,2770654639.60795,2614726240.2418,2181389711.77333,2181141617.15608,1893901882.00449,2402623894.96368,2060046492.53276,2772170487.70459,2617983436.60058,2507986405.25752,2109720822.96948,2040133438.048,2258494778.47421,2595546944.42956,2598712973.11962,2484804884.78066,2265362039.84264
"8",2027,2628027023.51406,2142339708.65849,3151779069.09835,2393879979.84109,2145324109.98596,2514975837.89321,3151779069.09835,2560292811.88318,2902241725.10135,2277472520.25284,2234106566.16813,3123460073.27713,2952747626.71997,2459621589.94693,2452862725.38102,2142339708.65849,2707625977.78048,2314204483.01924,3125242427.35487,2956416709.96583,2823384220.22929,2385700639.20979,2311414488.76223,2552852976.2893,2925379978.57993,2926956642.054,2798327573.80725,2562065126.59167
"9",2028,2920009643.18496,2386102583.48616,3492780040.08338,2665592827.9598,2389421953.79212,2798534109.95442,3492780040.08338,2847659290.42213,3223232255.33215,2536545337.09541,2486827894.54311,3466900184.45821,3283630389.02668,2730937099.7071,2716621481.89123,2386102583.48616,3004789313.32036,2560440382.47672,3468969685.50502,3287692456.58725,3129835116.73183,2656490036.43301,2578313409.02734,2841064355.36394,3246409922.97426,3246133494.95588,3102783348.88264,2852534109.61381
"10",2029,3205343482.89634,2625444331.12248,3824209375.05463,2932452864.84949,2629090249.74131,3076316499.30821,3824209375.05463,3128575476.6774,3536426003.6076,2790857488.52607,2734553361.87989,3801574190.49669,3607958573.34636,2995840254.19309,2973068900.95914,2625444331.12248,3294680724.29134,2799416202.32729,3803925109.03076,3612394843.32663,3427983310.92048,2922451393.69923,2841076590.14038,3123473696.37464,3559173831.56285,3556875598.50141,3398723014.81729,3137045187.65371
"11",2030,3484409211.82686,2860568752.09677,4146687043.7947,3194744992.87475,2864533162.10764,3348615960.0935,4146687043.7947,3403304549.87669,3842225209.07597,3040638856.4708,2977492192.19556,4127980256.42872,3926215468.66341,3254730689.78525,3222700806.18774,2860568752.09677,3577770304.88226,3031696447.59616,4130625967.88857,3931009708.21958,3718380181.95085,3183870913.14521,3099890192.29926,3400350311.55293,3864087210.61916,3859691648.165,3686590102.987,3415829366.71399
"12",2031,3757495866.77198,3091622466.35565,4460727543.14479,3452673415.17686,3095889581.74634,3615651710.95101,4460727543.14479,3672057947.45079,4140952028.93939,3286058009.60241,3215789771.79356,4446529904.20264,4238770271.50609,3507917511.72361,3465929399.10667,3091622466.35565,3854415626.10245,3257679608.07207,4449460356.60326,4243908358.88113,4001397695.80534,3440951676.36764,3354872818.54642,3671862126.01979,4161476373.05164,4154992216.03292,3966750345.72402,3689059906.39305
"13",2032,4024803557.82334,3318665540.46457,4766716228.47802,3706360800.64106,3323232310.74864,3877563631.8601,4766716228.47802,3934981706.96575,4432845830.64406,3527204207.03245,3449520410.66608,4757513205.52754,4545870879.82299,3755624110.49484,3703063935.27225,3318665540.46457,4124870941.67115,3477672090.51115,4760734349.40679,4551340471.91901,4277332414.07093,3693814377.84106,3606072018.731,3938106386.21402,4451578270.26132,4443075226.45918,4239487975.76737,3956841624.11223
"14",2033,4286447743.51252,3541689013.51417,5064951531.44312,3955847691.04841,3546552060.77391,4134405785.2775,5064951531.44312,4192154093.28028,4718065068.84183,3764095250.75619,3678706367.114,5061120578.0661,4847643653.07395,3997977101.66539,3934318174.54053,3541689013.51417,4389300520.25089,3691897577.36564,5064641964.52848,4853433933.98195,4546379168.82582,3942498027.76292,3853468574.39815,4199120813.65819,4734570752.57838,4724135105.40681,4505006249.21427,4219214530.44622
"15",2034,4542457928.20442,3760638103.57012,5361280286.08987,4201094874.49125,3765790533.18485,4386163142.86203,5355610613.33305,4443588812.05063,4996687279.64312,3996687008.99632,3903317241.58681,5357466644.20556,5144097519.65122,4235023727.1425,4159807766.00056,3760638103.57012,4647781379.52091,3900474441.03295,5361280286.08987,5150199026.0033,4808604326.1396,4186962219.52541,4096977541.82836,4454863323.82864,5010487436.37716,4998258739.23367,4763425069.86535,4476161148.94739
"16",2035,4792780391.81321,3975406086.58412,5650661662.91845,4441981082.37175,3980841036.6826,4632739232.52271,5638661299.76646,4689227930.32626,5268710379.59652,4224874106.47522,4123260534.68391,5646565011.02105,5435131019.4792,4466726857.62588,4379563256.75207,3975406086.58412,4900302615.27842,4103452465.73774,5650661662.91845,5441535423.7518,5063980794.6966,4427084813.25661,4336449592.41307,4705205793.40008,5279291891.13503,5265454340.82242,5014800650.70835,4727601917.32393
"17",2036,5037275812.37943,4185812572.98024,5932640206.80293,4678296578.07628,4191518834.31802,4873974381.82351,5914043916.75256,4928957514.2604,5534007691.11581,4448491142.33814,4338378630.15221,5928269937.92416,5720517112.99653,4692968104.44849,4593532028.89533,4185812572.98024,5146752946.32353,4300816133.91821,5932640206.80293,5727216951.21604,5312404955.41218,4662655562.39253,4571674136.79919,4949953684.22782,5540870339.91626,5525653942.96507,5259091052.26176,4973396951.16867
"18",2037,5275746242.60983,4391623258.61665,6207058567.78076,4909798022.6841,4397597838.86259,5109654549.64602,6181595664.49863,5162619600.06688,5792377277.84655,4667327432.52449,4548468391.8552,6202424270.44655,5999858219.30233,4913589528.55853,4801613437.89682,4391623258.61665,5386948450.54486,4492494434.43618,6207058567.78076,6006847028.31007,5553706081.25621,4893424041.75004,4802394748.96717,5188882668.59048,5795051346.61751,5778716316.6459,5496225795.54938,5213359091.99172
"19",2038,5507969277.09621,4592614172.58368,6473704469.31112,5136155396.67509,4598843425.47867,5339551658.66763,6441123467.3582,5390049530.83545,6043599772.34477,4881158635.96147,4753327179.52125,6468815734.514,6272720201.48158,5128411048.00165,5003705521.51145,4592614172.58368,5620691436.69318,4678376931.88874,6473704469.31112,6279991966.24725,5787763285.42388,5119059276.07221,5028343060.25145,5421755748.72652,6041663736.01924,6024443260.21442,5726084594.83138,5447278416.79105
"20",2039,5733747358.88949,4788570858.39078,6732402230.37207,5357071725.44477,4795042982.88424,5563464667.6778,6692452317.29664,5611105425.53038,6287494053.84106,5089771339.44399,4952770230.86229,6727268564.21606,6538767216.68903,5337251483.86846,5199713417.75305,4788570858.39078,5847805169.83723,4858378901.53375,6732402230.37207,6546316136.51158,6014463073.60922,5339257929.27758,5249201436.2692,5648362915.32157,6280543739.0101,6262665140.51713,5948576078.11282,5674966937.96635
"21",2040,5952927250.6062,4979310824.57197,6983012083.93024,5572298050.90146,4986023318.69062,5781229943.04703,6935468755.54327,5825682002.4499,6523909748.43993,5292980210.55218,5146650947.37215,6977642700.68818,6797768387.01258,5539978470.99104,5389535953.23819,4979310824.57197,6068150044.19562,5032443594.66191,6983012083.93024,6805588638.13409,6233702524.73903,5553791395.94367,5464705436.4794,5868517056.30182,6511587349.82263,6493263337.42337,6163661814.40285,5896278675.6219
"22",2041,6165397395.04402,5164696232.94673,7225437243.56763,5781679823.40229,5171638936.24485,5992728029.6038,7170083078.21337,6033710144.68397,6752751308.51441,5490647278.11526,5334874065.72487,7219841163.52086,7049499576.21976,5736503992.59082,5573112832.72392,5164696232.94673,6281617715.67362,5200544781.274,7225437243.56763,7057585497.01287,6445360970.29522,5762502393.61604,5674663253.98847,6082079485.8372,6734755581.97465,6716171710.53426,6371333490.53049,6111116289.29122
"23",2042,6371087310.50385,5344628214.56388,7459635419.81717,5985094364.09778,5351794538.04834,6197884577.89892,7396240092.89879,6235171098.87143,6973944636.35854,5682677580.41151,5517394907.35632,7453821544.73386,7293695539.705,5926782989.67742,5750445163.29301,5344628214.56388,6488126295.57241,5362700356.86319,7459635419.81717,7302041276.95865,6649438185.58726,5965256983.30936,5878918377.51624,6288967006.19031,6950065652.04471,6931374516.96801,6571647096.16968,6319436347.68446
"24",2043,6569969947.07846,5518965916.18366,7685620143.5428,6182412104.70547,5526432019.17444,6396664284.43655,7613967262.90394,6430090352.32911,7187502152.29229,5869020132.72761,5694211207.99325,7679597139.35673,7530190075.93913,6110809127.59381,5921549062.47225,5519049147.84159,6687578795.90997,5518965916.18366,7685620143.5428,7538789799.44584,6845942548.85804,6161928219.12469,6077406762.37572,6489142343.99932,7157569511.03754,7138881849.71312,6764691119.22963,6521237597.77497
"25",2044,6762063080.08663,5669418962.02538,7903446815.05079,6373576056.51179,5695525507.35992,6589050954.13718,7823327444.56192,6618532714.91518,7393471627.51595,6049658696.54418,5865353649.56281,7897223083.88743,7758892546.01442,6288609238.49989,6086494570.64961,5687939141.30515,6879942742.25326,5669418962.02538,7903446815.05079,7767740236.48407,7034955760.11716,6352471224.29146,6270077644.37673,6682616289.43553,7357345156.36611,7338761762.23835,6950592058.54439,6716553119.51718
"26",2045,6947418100.2429,5814170423.11568,8113186246.85351,6558591010.79661,5859086928.50274,6775055394.4284,8024410318.20513,6800596891.59727,7591903516.71888,6224610364.37407,6030882904.32546,8106770060.48087,7979766373.8242,6460230809.88527,6245355304.14528,5851303904.82066,7065310912.09532,5814170423.11568,8113186246.85351,7988855900.0612,7216595521.21027,6536877860.94837,6456878280.62251,6869435329.17534,7549501538.60095,7531113172.23117,7129509329.84068,6905454209.21257
