"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"1",2020,100.832367504846,79.1462973781354,124.970689166736,93.7749891646654,83.6057124328506,87.8427168599986,124.970689166736,90.2662367632145,105.021922084908,87.2080620968902,79.6480564587079,112.034280458178,113.926951882798,98.1265423059508,116.136528785209,83.5557555589125,110.153799538556,113.838225725621,112.058634202471,113.996416888762,113.202330134383,93.6432500165672,79.8803405217864,91.5482694094809,110.301499547068,115.187389954725,104.875090507441,86.0054971552782
"2",2021,95.4991382562667,72.3365337424811,121.873191462552,87.7701286869223,77.176010535798,81.6698956945544,121.873191462552,84.474192490336,100.914538744791,81.1845951465311,72.8771449573379,107.837591967098,108.905816819019,92.3231667705342,111.285033350476,77.1241147886448,105.112761948053,108.594404067281,107.864185182253,108.977712962209,109.086635377089,87.6327582580456,73.1336648288848,85.6899921363129,105.740516380839,110.500434425267,100.115599645524,79.6143697803118
"3",2022,95.0861086953782,71.7308755920561,121.930829079202,87.1301741988806,76.7296997376489,81.2366192272601,121.930829079202,84.0575672439212,100.98680711914,80.6876973010566,72.2436202303694,107.724955705043,108.397545435432,91.8101719096512,110.608256652882,76.6764060652612,104.573510548597,107.762246738502,107.754056027546,108.471791120948,108.942845683771,86.9875312089527,72.5884201075636,85.338732429752,105.483570361516,110.118649967933,99.8184498615125,79.0925634221137
"4",2023,92.9036836375985,69.8249791043625,119.59048185888,84.9184273682581,74.896325704736,79.3077754702765,119.59048185888,82.053889446719,99.0289731468782,78.6922834248746,70.2751495363371,105.510166411946,105.977064076627,89.6430324481923,107.930479209871,74.842188735356,102.125955129319,104.986084642391,105.541627489693,106.052583262861,106.663053466355,84.7723043942784,70.7490987422324,83.3971183111484,103.191986891194,107.723480557917,97.5883401438239,77.1342210697969
"5",2024,90.002222412013,67.394833821228,116.298413261443,82.1013863207794,72.5044264238581,76.7667242311974,116.298413261443,79.4117222115739,96.241930405634,76.1120263646564,67.7602393517046,102.423807511963,102.786167502282,86.7959212200445,104.438487809882,72.4499682847161,98.9092516674779,101.401010425788,102.457417267739,102.861914201809,103.496615118236,81.953488328162,68.398022196454,80.7990350618404,100.047214532268,104.496082976569,94.5597836557412,74.5845039685048
"6",2025,96.0934890102909,74.0615547110387,121.870490142246,88.353540840531,79.1937450406816,83.2741300239359,121.870490142246,85.7858693643711,102.374983694101,82.5936993591878,74.3362046011888,108.247928019502,108.573936037357,92.9607486228705,109.875086631511,79.1394608477876,104.670919776759,106.759811970975,108.283380711191,108.648975664351,109.232606968302,88.2054966065934,75.1503657854562,87.2291175378624,105.832254535282,110.19894308837,100.459653056247,81.0858763306152
"7",2026,83.4048783282537,62.0122566255258,108.575467718522,75.8788397538915,67.1606505476096,71.036952080769,108.575467718522,73.3754920039421,89.6722449615,70.335012344982,62.1962382956442,95.2471031088968,95.5844680159066,80.3603145649207,96.4877393495571,67.1070581176212,91.6543205638852,93.3159473556302,95.2840304846485,95.6579890434208,96.1291965749992,75.7320811309992,63.1915029193542,74.8995969940184,92.8030247689354,97.079528166891,87.5213570383804,68.8358023014186
"8",2027,80.0027030872185,59.2877257998269,104.50325594405,72.7291772402939,64.4534035257418,68.1080738660945,104.50325594405,70.2327270114257,86.2101604684743,67.3838753568181,59.3815303762163,91.5067843723927,91.8982218397142,77.0581363209205,92.3603305918804,64.4007308478861,87.9361986092086,89.1545381250516,91.544832487758,91.969568582412,92.2721365580608,72.5848150754701,60.5617066043251,71.8635124953818,89.0370045545007,93.2177853916245,83.8165517349553,65.8825191998046
"9",2028,76.6362467252676,56.6197711093302,100.421476665337,69.6439045097849,61.8073277941545,65.2247543707909,100.421476665337,67.0989654698763,82.746805861433,64.4760483343346,56.6239773199382,87.7858364937919,88.2749781199387,73.7996158933039,88.25822610139,61.7558515628697,84.2716233499332,85.0395083547108,87.8249156600628,88.3436785627273,88.4255501338075,69.5028601470409,57.9914063156286,68.8609625074689,85.2906348988067,89.3721785729985,80.1016822905755,62.9633988409854
"10",2029,73.3519990577613,53.9564481119322,96.3925597882377,66.6622617999131,59.257767969871,62.4234215805225,96.3925597882377,64.0178339801268,79.3367737901607,61.6486104623376,53.9564481119322,84.1359038514348,84.7676137174271,70.6275082127699,84.2418459159401,59.2076884101917,80.7085800078279,81.0288767813926,84.1760089428816,84.8331292533367,84.6464996951952,66.525306318982,55.5132510193458,65.9309913547842,81.6165068934991,85.5963762716522,76.4316294853038,60.1165828289673
"11",2030,79.3330039063334,60.5503185475206,101.613180545962,72.9597813967413,65.9779126122341,68.8804165495323,101.613180545962,70.170985158777,85.1700303191085,68.0776088186637,60.5503185475206,89.7458319122268,90.5626810525422,76.7220574800027,89.5030291886903,65.9295106531982,86.4311309372899,86.3140745109457,89.7865592502322,90.6246975832894,90.1260292795784,72.8275216094283,62.2997559393726,72.2511529996396,87.2027593673156,91.0813044312292,81.9978609163726,66.518906598441
"12",2031,67.1480333469563,48.9647265621929,88.6663946379789,61.0998853298627,54.5254722331299,57.1591894091811,88.6663946379789,58.1261572381487,72.8231758733759,56.3275261545526,48.9647265621929,77.1890424646391,78.2320334965294,64.6508405379237,76.6170183470285,54.4791638594662,74.0069248455743,73.4700457652961,77.2298769278076,78.2904195375743,77.439620438221,60.9727295730761,50.9099363579895,60.3862076596893,74.6223804252017,78.4000034729482,69.3777914091568,54.7342711173657
"13",2032,64.2793875396501,46.6704112606104,85.05077108997,58.5611919101882,52.3730088671007,54.7355675115854,85.05077108997,55.3666578423555,69.7884484109786,53.8777747254096,46.6704112606104,73.9509256260979,75.2632457137582,61.8937490912291,73.0757590199733,52.3286583498362,70.9162166743411,69.9797136816649,73.9914163515421,75.3180103291384,74.0731997119754,58.4393933153081,48.8162812942174,57.8150308928656,71.3591876721787,75.040515566562,66.0590623715108,52.2404912108535
"14",2033,61.5896585020245,44.523300815948,81.6373353261735,56.2037422333879,50.375288760021,52.4687642316636,81.6373353261735,52.7569274351893,66.9348697098456,51.5891694990104,44.523300815948,70.8969613324103,72.5210782827923,59.3127659935637,69.746495202469,50.3327358650502,68.0207566652265,66.704974618539,70.9367437396783,72.5723406439765,70.8935014504252,56.0874244268183,46.8750255819581,55.3986307092017,68.2763003938386,71.869393033506,62.9089841170478,49.8979524828723
"15",2034,59.0835378231547,42.5249341750962,78.4393002211043,54.0302779675007,48.5311995308535,50.3619002341035,78.4393002211043,50.3041374472617,64.2681600896266,49.4658643679926,42.5249341750962,68.0354889307496,70.0099611112841,56.9120535537222,66.6361991157595,48.4903063557804,65.3269651638529,63.6469422168871,68.0742752693753,70.0579104116923,67.9056966668711,53.91945403256,45.0870375582328,53.1412855475519,65.3785186011916,68.8939022421899,59.9363474494416,47.7103273181838
"16",2035,65.8095075991319,49.7226764534055,84.5099081980112,61.0878233767935,55.8859750696283,57.4617530689006,84.5099081980112,57.0594543962717,70.8377881415188,56.5563229904552,49.7226764534055,74.4178451863319,76.7761752265301,63.739988475838,72.7943810090389,55.8466249016193,71.8833652641817,69.8500031691396,74.4554196007537,76.8210457344204,74.1588802749053,60.9824170861647,52.4987493393362,60.0918956593719,71.7159949906478,75.1652809992213,66.1915763091085,54.7263450567022
"17",2036,54.6147489242456,38.9632905425197,72.698541678063,50.2224305070429,45.2848893494296,46.6151829202604,72.698541678063,45.8730426615613,59.492904500278,45.7081359838063,38.9632905425197,62.8914684254755,65.6637962080821,52.6432893954393,61.068583926081,45.2469896012747,60.5351979026107,58.1603799982994,62.9276734255713,65.7058308131051,62.501194769431,50.1222933084809,41.9564523192629,49.0986101125383,60.1369504546699,63.5333883580759,54.5244987798074,43.7937071649758
"18",2037,52.6402131366866,37.3877217362435,70.1471237146538,48.5741966091598,43.867728836943,44.9636989433338,70.1471237146538,43.8890268729787,57.3745240300273,44.0626345072413,37.3877217362435,60.5976488510219,63.8104678528633,50.7613912352046,58.6003859001706,43.8311923484416,58.4224915447639,55.7162916712268,60.6323755743946,63.8499322058556,60.0752013252701,48.4791327377703,40.6004894646138,47.3037564961453,57.7835110922554,61.1406966509464,52.0795309353979,42.0541772802403
"19",2038,50.8273678867163,35.9383696587747,67.7972955979254,47.0832190034582,42.5767982415351,43.4500335686383,67.7972955979254,42.0513516326932,55.423709680692,42.5612666834668,35.9383696587747,58.4779199438396,62.1538157446191,49.0354642278649,56.3301736866022,42.5415509438756,56.4863271637471,53.4564045131812,58.5110996201445,62.1909881348212,57.8243755825956,46.9929895562111,39.3725262046255,45.6497866651276,55.5987905354297,58.9292310654046,49.7999968456378,40.4507126669967
"20",2039,49.1651942343939,34.6064231045076,65.6376022824686,45.7378106248947,41.4023173169591,42.0647222410616,65.6376022824686,40.3514705615723,53.6299663747888,41.1939985112752,34.6064231045076,56.5212299468762,60.6746866983676,47.455274880134,54.2458098823561,41.3682911236277,54.7149936421257,51.3684336811083,56.5528279989691,60.7098577807546,55.7381405135228,45.6520348722497,38.2625166916975,44.1275265721253,53.5740327520508,56.8883855075024,47.677148334354,38.9743539644956
"21",2040,56.6176929184905,42.3586640060891,72.8434006939804,53.499183663107,49.3099412440705,49.7726965266467,72.6312953533949,47.7559713980328,60.9578984536981,48.9259662447486,42.3586640060891,63.6926698785943,68.330828150229,54.9843382017612,61.3097397462177,49.2770668130939,62.0718544147716,58.4154736839416,63.7226772355575,68.3642720004388,62.7810061478788,53.4168916907819,46.2356309492608,51.7029861125399,60.6746185850975,63.9824025406335,54.6766830526805,46.591566868997
