"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,16.7009014474294,12.7296309893804,21.4963240848761,15.3043356568626,13.477025609889,14.2371831634369,21.4963240848761,14.8276177337314,17.8443359399839,14.2764969132367,12.7528330938569,18.9518244748213,18.8363678577979,16.0602104628023,19.42916416972,13.4673082202562,18.398354709924,18.9620643975642,18.9563638415668,18.8494123231398,19.1858028455825,15.279449038532,12.7296309893804,14.9226408648588,18.5548230921696,19.2172116026398,17.6366113227645,13.8691437763419
2021,16.3997352496633,12.4776398534734,21.176249587909,14.9948446137314,13.2148111246839,13.977484018834,21.176249587909,14.5567275222692,17.5643508638234,13.9868802367124,12.4776398534734,18.6623559550562,18.5181995443633,15.7557134268097,19.0290400877364,13.2051184566593,18.0586804113881,18.5452076585851,18.6671375376257,18.5311921561484,18.8607670615189,14.969944838114,12.4836127551027,14.6647830809063,18.2512167727012,18.9005115026215,17.3257423917621,13.6151697830472
2022,16.0029255232572,12.1245191812533,20.7393339498525,14.5980191623321,12.8784169667564,13.6345002943385,20.7393339498525,14.1952197956569,17.1850690301166,13.6129197935978,12.1245191812533,18.2666038689486,18.0994695349524,15.3573040582262,18.5099508102903,12.8688047470629,17.613866707397,18.0105827649296,18.2717500628396,18.1123352014579,18.4276370434115,14.5732319163483,12.1653820466117,14.3235668409434,17.8445713770836,18.4752791241384,16.9071915216645,13.2776122812204
2023,15.5815871498542,11.7575256141748,20.2613752498128,14.1859730183745,12.5302029173704,13.2712860828356,20.2613752498128,13.8073912216647,16.7734159983935,13.2228567153001,11.7575256141748,17.8343910946398,17.6554203862321,14.9369626814987,17.9644088596028,12.520753277748,17.1439401196392,17.4530421353123,17.8398520830891,17.6680745140603,17.9629011627952,14.1614405674751,11.833452209973,13.9607803170269,17.4064018476524,18.0170043528377,16.453875874147,12.9169504446987
2024,15.1480534759569,11.3865204462512,19.7580253304327,13.7700036458877,12.1791455819697,12.8986467196407,19.7580253304327,13.4042867587608,16.3423523768802,12.827441215546,11.3865204462512,17.3801868611639,17.2005553581619,14.5069455334868,17.4069151936993,12.1698253249077,16.6623677023649,16.8861255487197,17.3859080343012,17.2129164930007,17.4801661749694,13.7458529073218,11.4971473650136,13.5876670913838,16.9499563731147,17.5397311908116,15.9788940991106,12.5437535720217
2025,14.7121765839736,11.0188384946195,19.2421666415418,13.358900701555,11.8327327324424,12.5250012347883,19.2421666415418,12.9948475222861,15.9031029964658,12.4343437493644,11.0188384946195,16.9157959640625,16.7461632126003,14.0768251420718,16.8481982366197,11.8235961395405,16.1793102317,16.3207072014046,16.9217089054359,16.7581514922859,16.990249927415,13.3352411815701,11.1641646507575,13.2130674532402,16.4861078636264,17.0549109056154,15.4931191926385,12.1671628256918
2026,14.2816166932715,10.6596921190014,18.7247864536929,12.959284303223,11.4961890184966,12.1574174166817,18.7247864536929,12.5861518575545,15.4644702499316,12.0497456062922,10.6596921190014,16.4508062100157,16.3012529737851,13.653589440526,16.2974396272606,11.4872084956635,15.702963362634,15.7642495918222,16.4568334228259,16.3126584929229,16.502281923525,12.9362069525907,10.8401370778996,12.8435074320082,16.0235250893273,16.5710431418505,15.0052852551842,11.7936918170721
2027,13.8622336045714,10.3126143910172,18.2144946361336,12.5757542887578,11.1737198597177,11.8010304761813,18.2144946361336,12.1841665016598,15.0336321981734,11.6785270548001,10.3126143910172,15.9918824184394,15.872329490869,13.242683922633,15.7617060556213,11.1649098910139,15.2396961328154,15.2234406432168,15.9983419196318,15.8832546813951,16.022282609181,12.5534461518612,10.5291609788787,12.4840025559737,15.5680148264224,16.0957379773717,14.522299555563,11.4287108969574
2028,13.4583245668933,9.98030625673442,17.7170450023342,12.211705559391,10.8677932657615,11.4590453423191,17.7170450023342,11.7933539882291,14.6159432096625,11.3238041355892,9.98030625673442,15.5452964274379,15.4643419467744,12.8486027145379,15.2465014347391,10.8591648148056,14.794477652086,14.7025653806407,15.5519341536596,15.4747574881783,15.5560905582126,12.1900134051313,10.2339620404941,12.1378959617524,15.1239847064021,15.6339980577448,14.0497055083192,11.0758251613947
2029,13.072973654228,9.6647335165406,17.2373908185441,11.8689929440824,10.5796361250778,11.133834213668,17.2373908185441,11.4166610200055,14.2150860032195,10.9879906087339,9.6647335165406,15.1154352855019,15.0807716561119,12.4742613609091,14.7552633611113,10.5711955151416,14.3705671736001,14.2055958317626,15.1217288823482,15.0906163384482,15.1078684676427,11.8481872694559,9.9561887801721,11.8076603581093,14.6952109265661,15.1900299932144,13.5916567829229,10.7377781228092
2030,12.7080918826802,9.36636106561446,16.778979539241,11.5491393836395,10.310086510908,10.827207791246,16.778979539241,11.0562640228965,13.8331964933337,10.6723221175003,9.36636106561446,14.7048437963979,14.7237594769385,12.1206867683976,14.2902256595336,10.3018370168137,13.969698505916,13.7349754384178,14.7112027808913,14.7330236934073,14.6804952426337,11.529127337522,9.69674362459248,11.4950974576137,14.2835523989477,14.7664723779493,13.1503940565563,10.4166045100958
2031,12.3647753846126,9.08554884174565,16.3447711879777,11.2526087439015,10.0594749058396,10.5397020045276,16.3447711879777,10.7139528128733,13.4719007025621,10.377491392921,9.08554884174565,14.3155242158854,14.3945252170501,11.7893968471112,13.8522315235497,10.0515111778724,13.5933850221436,13.2906200524962,14.3218155426974,14.4032270894785,14.2744554915159,11.2334263599639,9.45609144452166,11.2003325373854,13.8909531145562,14.365111313265,12.7281308570032,10.1131962164712
2032,12.0436634422476,8.82243131998391,15.9360961805709,10.9794053505067,9.82774230380598,10.271629221772,15.9360961805709,10.3903094833637,13.1322913990084,10.1038051659892,8.82243131998391,13.9485669972017,14.0935190460776,11.4807604303242,13.4425848043373,9.81998911359855,13.2421100474212,12.8735750152623,13.9551655755128,14.1016917578308,13.8913246081723,10.9610490486317,9.23420032874195,10.9240490344365,13.5182568397496,13.9869637517868,12.3259652133862,9.82810401871778
2033,11.7448344239054,8.57686527611758,15.5542441753852,10.7291564300035,9.61438058209116,10.0233997810346,15.5542441753852,10.0858609632506,12.8148885575247,9.8509211472439,8.57686527611758,13.6048565423147,13.820553152959,11.1943549490182,13.0610307292369,9.60678586939498,12.9160649099286,12.4835486193415,13.611442019585,13.8282385834118,13.5311546771749,10.7116009099081,9.03066418527597,10.6659385725689,13.1663688108107,13.6324805394461,11.9444332376141,9.56162737699467
2034,11.468096805741,8.34851273769808,15.1995964897974,10.5011912470069,9.41906998159378,9.79377030844577,15.1995964897974,9.8007863593616,12.5200341503117,9.6184567629559,8.34851273769808,13.2846138836342,13.5749812956889,10.9297555237449,12.7075218319761,9.41162949592465,12.6149482893281,12.1199598295745,13.2911172369209,13.5822281252283,13.1936230023785,10.4843993250441,8.84489924273784,10.4265468397308,12.8352918795936,13.3016166136334,11.5842526765915,9.31361701462337
2035,11.2127986914454,8.13675696828292,14.8705866045534,10.2944874128522,9.24121585211924,9.58264040277127,14.8705866045534,9.53466687376632,12.2475712530818,9.40570501568247,8.13675696828292,12.9873299573177,13.3558402864733,10.6865592936281,12.3809951840317,9.23392922243303,12.3380783423172,11.7820862062891,12.9936873350445,13.3627002569586,12.8780035266919,10.2784154498695,8.67618052527981,10.204686633836,12.5244386895225,12.9942407246771,11.2454557519895,9.08370951666673
2036,10.9781375473125,7.94061097934,14.5678649518085,10.1077319696109,9.07950362209907,9.38920640435931,14.5678649518085,9.28712002119838,11.9964157607326,9.21183030781042,7.94061097934,12.7124434276716,13.1616007065943,10.4638523781727,12.0804560570389,9.07240932192022,12.0843064331231,11.4692909210428,12.7186074629894,13.1681259300822,12.5839550076353,10.0923335211191,8.52367080278855,9.99997323571123,12.2335575709646,12.7098427894504,10.9273668663685,8.8713622331808
2037,10.7630554188369,7.75937011940498,14.2896253028726,9.93982181272311,8.93331833991053,9.21230455709192,14.2896253028726,9.0575500676985,11.7658735571977,9.03586986311244,7.75937011940498,12.4588789436696,12.9896424205687,10.2603391450126,11.8051197144698,8.92637547630192,11.8526833943052,11.1802624989061,12.4648157673512,12.9958871434903,12.3103934602591,9.92487598506655,8.38644580000133,9.81163454901946,11.9622595934877,12.4475397985137,10.6297149361539,8.67578322433451
2038,10.566304734831,7.59206710510368,14.034607308015,9.78842408506984,8.80141170400813,9.05111726163588,14.034607308015,8.8451883348194,11.554458017432,8.87668439722529,7.59206710510368,12.2257951377989,12.8379367803683,10.0748608503186,11.5537795888681,8.79484351092904,11.6418976218407,10.9135739473447,12.2314822415094,12.8439529762117,12.0570115928126,9.77405633684558,8.26349001127036,9.63881397816939,11.7093425982743,12.2056493914662,10.351203282278,8.49597031116034
2039,10.3866932558444,7.43764487773264,13.8017423650385,9.65219147105542,8.68285194219735,8.90451689792108,13.8017423650385,8.64907741127078,11.3609851579811,8.7328702778361,7.43764487773264,12.0119476325168,12.7050906697569,9.90639566756501,11.3250112119175,8.67650544780756,11.4505056406813,10.6677913581267,12.0173714895822,12.7109229666587,11.8228659150545,9.63803880797758,8.1528026595475,9.48063764529898,11.4741714060763,11.9832375560401,10.0911963750604,8.3309585454079
2040,10.2228547180127,7.29526086082608,13.5891084523103,9.52950900618981,8.57634465958469,8.77131295366164,13.5891084523103,8.46799678174122,11.1846955171998,8.60321655854859,7.29526086082608,11.8156088203599,12.5899992604961,9.75353432298636,11.116734754884,8.57017216284464,11.2769970622929,10.441382991027,11.8207641460848,12.5956839961101,11.60624705805,9.51573118413062,8.0530108971049,9.33558213413346,11.2556610029582,11.7789432401816,9.8483383535635,8.17953177304619
