"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"1",2020,11.0932985220323,10.7668063683264,11.5171755942398,10.985907933449,10.8312395279384,10.8845528220902,11.5171755942398,10.9603272451509,11.2530954646224,10.9264743762317,10.7668063683264,11.2850432764551,11.2469869386846,11.010547295278,11.3050049940474,10.8311244640149,11.1950069033158,11.2296752681482,11.2850858442236,11.2471481781121,11.3228136022573,10.9857234986336,10.7711598928437,10.9550188242796,11.2369795285408,11.2722712526781,11.1775234333989,10.8497705238475
"2",2021,10.9568803547542,8.34767652142033,14.2309961513624,10.0412577251004,8.80759809948569,9.31459631817956,14.2309961513624,9.75647180358036,11.9413261942519,9.41405995190203,8.34767652142033,12.4878874889894,12.274902359025,10.4638495141371,12.7273112519317,8.80263777202143,11.9625856422699,12.320866729333,12.4901221540474,12.2813029056364,12.7278804045641,10.0284346700659,8.30165806868203,9.8044731985941,12.1841081177671,12.5474539657737,11.6408392961156,9.02171256461854
"3",2022,14.017683832768,10.7515653963437,18.1097451118554,12.842224205734,11.3258406755632,11.9540614196614,18.1097451118554,12.4583193914157,15.26803871767,12.035274555003,10.7515653963437,15.9083260322317,15.6107501161185,13.4635202055471,16.3224066256779,11.3171187586123,15.3087386928254,15.8789625244616,15.9119840699138,15.6216965731008,16.3069006831121,12.8191038008088,10.6139549935428,12.5581699998638,15.5800639292455,16.0263739446942,14.9256727977173,11.5232825984815
"4",2023,14.4843105202319,11.1818599568288,18.6089804644732,13.2605416318949,11.7661057426077,12.3871142879992,18.6089804644732,12.8582165536007,15.7826497534625,12.4370783183922,11.1818599568288,16.3536670876333,16.0159513233764,13.9982047969256,16.9333734782688,11.7539437696223,15.817196299222,16.5513151385427,16.3587749886319,16.0310864378679,16.8781579139747,13.2279206411536,10.9524472988733,12.9864649014546,16.0818911732075,16.524741621494,15.4726058127505,11.8874736135398
"5",2024,14.0967165825491,10.9229492589641,18.0430572014854,12.8827986427022,11.5042961246105,12.0760056942167,18.0430572014854,12.5209211556576,15.3992479742632,12.1230546031264,10.9229492589641,15.8356901505189,15.4669172541493,13.7030764758138,16.5820972737719,11.4892142114376,15.3845378586075,16.2587841872801,15.8424721110387,15.4863137395619,16.4531050882438,12.8415304100217,10.6297952727798,12.6341533159964,15.6158966112773,16.0436046950389,15.1255836342643,11.5528116188999
"6",2025,21.8927519825008,18.878568606837,25.6270678950881,20.7092794299,19.4641826913835,19.9753684980037,25.6270678950881,20.427500397727,23.1922464385822,20.0536966311036,18.878568606837,23.472229467579,23.0778368406894,21.5840495257272,24.3823059760269,19.4465521621497,23.1047809131733,24.0884786731202,23.4807480634494,23.1011883988442,24.1504692555505,20.6602802969283,18.5570877360237,20.4785454971283,23.283689457404,23.7070670191735,22.9546157832008,19.4609639077259
"7",2026,12.5934346870889,9.74494861872881,16.1127819435226,11.4563381219198,10.3404079415464,10.7879490809063,16.1127819435226,11.2678314155057,13.8823745186339,10.9151059947273,9.74494861872881,14.0055610397697,13.5922139718069,12.3578833923164,15.0585209069679,10.3207115832742,13.7211643299635,14.7812442583807,14.0157871119127,13.6189341554882,14.7206397571283,11.4007020042334,9.42067682512647,11.2292982639725,13.8363569083511,14.2650870696516,13.6815769911122,10.3017709722762
"8",2027,11.7096613832989,9.03213965655885,15.0151267003127,10.6308465656201,9.63804409829911,10.0206707651378,15.0151267003127,10.5341709578166,12.9803298744438,10.2026074241317,9.03213965655885,12.9549492409816,12.5295715891098,11.5365256408701,14.1229202907843,9.61674109192687,12.7497393932137,13.857338052055,12.9669993773148,12.5589546545913,13.687991159674,10.5696968544031,8.71971082579001,10.3964167588898,12.7964384907192,13.2344523442018,12.8148636532091,9.57428912241626
"9",2028,10.7893145118703,8.28869199595695,13.8807145627182,9.7773842882992,8.90222760201039,9.22092201797276,13.8807145627182,9.76433381563428,12.0320759003516,9.45637238580109,8.28869199595695,11.8724042731765,11.4407214538916,10.6695612973694,13.1254903084854,8.8797439862251,11.7406714725822,12.8720967794877,11.8859283617897,11.4721344295942,12.6082600429154,9.71180742666192,7.99572932033048,9.52908905114616,11.7190716851227,12.165784138165,11.9006165100401,8.82102969102856
"10",2029,9.85350671219744,7.53535561334116,12.7295334614055,8.91430134953305,8.15320570337613,8.40906689439717,12.7295334614055,8.97426704684179,11.0573645139119,8.69256985061589,7.53535561334116,10.7809569396806,10.348058222904,9.77906114379004,12.0903204554154,8.12992158113745,10.7178090086689,11.8519830301388,10.7959252979298,10.3809265191738,11.5072404553379,8.84541154352181,7.264984196738,8.64919435212026,10.6299373883264,11.0825250435697,10.9590399696309,8.05870822342967
