"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"1",2020,66006150.7720346,65134117.5890418,62694943.1388448,64215576.8439494,65169197.770681,72234460.7369699,62694943.1388448,70985668.7091322,68455177.4052421,65408771.5909975,71738830.6512238,69220335.389636,64824349.8583834,63996310.4292477,54297147.8272682,65134117.5890418,62157746.8257784,53031563.5132415,69226721.8956912,64850583.2093621,62813138.9296459,64128037.5276561,72823816.0460439,69990216.2352133,66430902.3908956,64271122.1299185,67208653.7654258,74846378.8913774
"2",2021,57980301.4071194,45254358.8693298,75547206.8157412,51139204.9837012,45299794.9409257,52899139.1300721,75547206.8157412,55928006.9665891,69665590.3711901,50031851.0179389,46987872.4398938,71412386.4178454,62804621.1165657,52805978.8582585,56313214.4527732,45254358.8693298,59720744.1061287,52720740.6480084,71432177.9352725,62865643.521966,66754801.4425151,51012669.5371844,46867125.2416203,54339781.6681758,66070533.7754353,64435284.1084224,64595212.3151885,52603594.4972426
"3",2022,78214214.331403,60990547.895236,102123368.444164,68730750.7848619,61059740.907046,71160031.1883345,102123368.444164,75258601.5563636,94367918.9746014,67393455.6719325,63127454.2774321,96306296.4403582,84741050.5803398,71340724.6950594,76594044.2385338,60990547.895236,80501878.7522919,71621013.9201617,96335804.4591591,84839194.8087695,90443106.4085137,68535441.334061,62751840.3781431,73139572.1551746,89059417.3923451,87015721.80458,87313999.6250019,70604381.5926115
"4",2023,83541126.6071173,64904813.8850009,109774054.649315,73120579.3111372,64989493.7485957,75630931.3111132,109774054.649315,80429692.5855837,101598916.775826,72087370.668155,66847582.9941311,102883421.435808,90449600.8871437,76186882.4422992,82690050.3914047,64904813.8850009,85903702.7996469,76925778.6087145,102920246.378981,90569878.3493692,97049097.1970321,72885501.1892806,66408201.6627035,77727478.4707128,94821759.7680132,93034978.7268919,93727006.8199025,74961144.1211714
"5",2024,82111802.2137324,63434959.0078251,109017077.890656,71654800.1743817,63527899.6917639,73864376.1744546,109017077.890656,79305281.4306618,100919766.005912,71092483.2751533,64899881.6242838,101166054.546711,88724185.0244317,74781078.2089559,82197054.3381622,63434959.0078251,84347716.086306,75887287.8306011,101209012.026119,88856725.8913333,95858837.6705257,71397207.0957633,64562068.7997123,75866689.3970958,92759852.188689,91531924.2889209,92782597.1998742,73150239.4750164
"6",2025,138577437.261396,120259917.706081,161281028.912349,127483971.401743,120389173.210067,136446317.17896,161281028.912349,141467116.848606,159505237.354192,128786472.454403,127657369.800705,159113999.860649,143271923.463305,129325860.960335,128046551.376981,120259917.706081,136573808.563582,120012836.134037,159171183.156684,143435215.207028,148316525.876388,127135343.526135,128784861.18074,136073971.146646,147987824.157333,145223556.045279,150061519.229056,138624346.783623
"7",2026,70351531.3558632,53511565.0071558,96166875.3718666,61052041.9360384,53607412.0070677,62278012.4844251,96166875.3718666,68544528.7888244,88857273.2432131,61460322.284205,53832367.0315441,87014078.519022,75382928.5234686,63765738.8561064,71973617.1710979,53511565.0071558,72196819.1944635,65267070.2714992,87062323.5600468,75521217.9502226,83176027.7999851,60785692.3364066,53737056.1770952,63865510.8816378,78700017.4402618,78624472.5099042,80912711.2892029,61492603.2618176
"8",2027,62540714.3968722,47115883.414765,87145566.465848,54059961.8873842,47208387.5597097,54809217.0229868,87145566.465848,61207161.8443087,80368688.750387,54924311.5723297,46835222.5595241,77699689.4328169,66568547.8745179,56514259.0599185,64717256.7242199,47115883.414765,64236576.6401261,58120865.6454874,77751733.9424753,66703997.9550352,74571929.9981908,53801116.6338777,46832947.3005507,56088907.6448184,69596298.4337734,70003775.9518205,72686761.5043975,53948794.1025367
"9",2028,54304392.7765037,40457991.8977526,77462378.080144,46682916.4588804,40545330.9810506,46991286.4473857,77462378.080144,53356055.0165328,71246489.6514394,47952509.0376554,39569394.9093789,67924658.5215656,57311956.6043979,48891180.4805084,56921803.4348448,40457991.8977526,55910347.6071005,50605905.4065826,67974123.4305226,57442600.2613037,65473887.4972507,46434184.7843807,39625016.9150653,47922594.1908097,60096207.6525862,60897621.8200374,63881349.1996983,46032029.1257178
"10",2029,45997172.1224749,33830054.4038082,67584899.3184745,39231942.1400688,33910824.8718231,39132318.7137254,67584899.3184745,45327999.8073783,61916317.3785421,40843550.502206,32317908.6498722,58093590.7046997,48015266.9950941,41208619.2098975,48961626.1530957,33830054.4038082,47568675.0236665,43071501.1703254,58141080.199377,48138857.4876392,56286270.6328256,38997743.528867,32400510.8924426,39691247.8125321,50601967.5403337,51696274.1408956,54901220.4762782,38059035.3080047
"11",2030,94737332.8393483,84436389.9192152,110160331.283149,88377579.5481864,84536105.5199402,94353918.6811541,110160331.283149,99556005.3403798,111092661.749424,91706200.9915187,88699087.2703576,107157359.059931,94515464.0664077,88283529.0571315,86861467.218598,84436389.9192152,92214269.4584095,80100539.8960252,107213258.98635,94651911.0579025,100044609.437061,88088158.7222582,90254528.5083377,92366044.1868855,97596263.9150626,96765151.9519622,103180651.356671,96221833.8013887
"12",2031,30006489.1154133,21290649.3256949,48361207.8268914,24833957.3583289,21354413.3289182,24045347.7641003,48361207.8268914,29566210.1519493,43724958.7958038,26934916.3093315,18514491.7546325,39204249.1206676,30241311.902991,26431700.2595723,33451264.8591484,21290649.3256949,31623958.7103023,28743658.6564259,39245023.9806896,30347512.4087836,38567745.9631936,24632818.0327056,18593264.7576413,23811010.5516456,32576753.7042055,33938872.4555281,37445632.5165847,22681297.3895968
"13",2032,22658721.6260606,13800301.6361064,39458621.1809583,18201993.0070298,15663934.9059809,17114883.7782587,39458621.1809583,22184043.467128,35323478.5666658,20459556.4407508,12222538.6143445,30505420.8282344,22152754.2942722,19647692.4398044,26265487.0374984,15607711.7313606,24323915.1737753,22243700.5175582,30544321.717473,22249478.6044601,30402659.3454855,18018253.7859415,12289911.0450332,16493058.4282376,24387655.432855,25746972.4128239,29370755.3262359,15589242.56935
