"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,46615019.5981305,38230899.0035102,51066026.2092388,44701808.5697907,44340700.2376736,49539453.4266894,47030160.5118724,49229965.7613552,49512936.1591793,45137119.1745729,48340612.1600022,50291236.856904,46846530.1099458,44709512.1069228,39559179.4751749,44316069.8235288,44590919.7538431,38230899.0035102,50296176.5468228,46866551.3964594,45877406.5578903,44639667.9461966,49103958.6907268,48501820.0517675,47939935.1832045,46611972.7618847,48094871.4781049,51066026.2092388
2021,125862237.973203,107074706.403996,146257607.684792,115659864.610346,107177843.338171,123414426.29145,146257607.684792,125064924.190558,139655234.195313,112680497.250457,113954401.92177,145756985.200291,134932890.412722,118546410.840172,116437034.023924,107074706.403996,126722619.789713,110849331.199405,145795939.797752,135054129.428153,134519511.244808,115378793.818546,115253374.839328,123894350.271196,137305352.121098,135826672.744464,134388825.905828,124954221.805813
2022,236970752.636596,194570741.61111,286410933.218906,214831423.276152,194809069.771469,226558583.438799,286410933.218906,230621767.6754,266202917.846066,206776532.119801,205507707.509875,279755755.221854,258566609.091226,222253768.878596,225210649.186589,194570741.61111,242220867.383596,213723928.099692,279856630.17523,258868017.350848,259582627.578746,214167437.607442,207022013.532703,229155282.475338,262908422.99417,261349906.953479,255707576.491918,227629646.425882
2023,363059776.962154,293328983.905377,446741108.867648,326904833.880354,293751731.355024,343037106.740957,446741108.867648,349753632.099989,410292292.449929,313020263.600657,308743414.163039,432054316.75406,398971351.626499,340078249.429518,349782488.506531,293328983.905377,373540668.931935,331535375.15389,432249712.156873,399527362.604165,402343212.295043,325718611.23758,310042135.593063,348089904.633095,405711430.061794,404207281.659902,393834026.620078,343234929.726836
2024,496881628.781156,397663113.875945,618506893.81033,445324945.135321,398307307.400314,466054831.40414,618506893.81033,476011307.249493,564125568.016475,425620496.502443,417438629.091433,593988821.413901,547920627.541864,465091949.50408,483200311.503625,397663113.875945,512977263.34398,457309568.553892,594313378.309147,548804605.445304,554369495.602224,443497387.551822,418354343.174425,473680742.095753,557099730.693099,556043852.412338,541012136.960759,465323412.936793
2025,670753435.739019,540549899.922163,830596499.318255,602381439.906164,541471734.363828,631904370.370408,830596499.318255,645399609.059307,760570911.53296,577952166.540785,568176200.990502,798342871.001228,736502594.311493,628550746.065272,650907600.145994,540549899.922163,690327716.514583,615774935.325222,798839634.133688,737786061.47201,745032256.529975,599753095.562031,569533160.995002,640777138.831165,748653603.566456,747261474.094886,729757366.33795,632032806.584141
2026,809805300.185148,648617565.678571,1011241649.37037,725212108.151444,649822469.634953,759075285.008126,1011241649.37037,777530941.143982,921781166.753311,695757872.264361,679919543.578047,966325177.793804,890779747.382424,758278707.993299,790845135.229447,648617565.678571,835156715.889029,746755679.826978,967022549.107933,892487641.536659,902858555.291079,721748160.470867,681208052.403483,770275245.112278,904980849.608688,904948534.984118,883794291.928758,758708858.486683
2027,948091078.813411,755993403.888983,1191933944.98972,847381053.681371,757502368.119514,885264657.37514,1191933944.98972,909416148.789774,1082785831.9866,813378069.336471,790412408.511302,1133248378.01714,1044038780.17544,887188530.489811,930408712.146533,755993403.888983,979140682.337822,876940623.829712,1134179301.96977,1046202592.72621,1059652567.73858,843007614.613733,791886315.272913,898588548.020574,1059895502.95634,1061692724.91936,1037451813.73091,884686394.711561
2028,1084451233.36386,861831676.793231,1371104588.3892,967912263.283978,863660832.509055,1009461022.43392,1371104588.3892,1039911401.03696,1242140473.00135,929855673.493612,898741598.868598,1297706534.79047,1195046204.38418,1014189443.48556,1068253171.19147,861831676.793231,1121119651.46466,1005139055.65685,1298885874.3102,1197690174.39999,1214053878.79477,962568408.639352,900704337.25881,1024678696.89679,1212112528.56732,1216208000.09205,1189335340.42153,1008970003.93249
2029,1218071151.45176,965587143.572055,1547664822.49432,1086097055.62684,967748367.011231,1130980220.46055,1547664822.49432,1168160382.78352,1398787312.34397,1044454826.47097,1004270798.31508,1458725858.51576,1342976982.12436,1138519040.72268,1203413843.69595,965587143.572055,1260297797.79689,1130509994.36791,1460190467.95708,1346117866.72582,1365098992.15666,1079738261.5051,1007035843.67038,1147829480.04248,1360749933.20953,1367584191.81057,1338427788.29833,1130811514.61587
