"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,15.1439168772778,14.9383742115567,15.2761515638165,15.1710421860298,15.1582816897822,15.2388801377796,15.04822415805,15.1011867972199,14.9383742115567,15.0692450642083,15.2496760435906,15.17955516982,15.0955956277453,15.2072272042769,14.9953537603724,15.1581935941499,15.2459856803262,15.2034480029235,15.1796217036209,15.0957421889735,15.0530345490609,15.1710214600474,15.2761515638165,15.1596504726887,15.192438781154,15.1279371184394,15.0754062024455,15.2066485638679
2021,48.2184339380048,47.5385518464104,48.6232904368717,48.278243383103,48.139591027265,48.5062931117474,47.7879382476113,48.2558382696271,47.5385518464104,47.9807737810893,48.6138564766766,48.3850881652651,47.9931418477797,48.3798891874866,47.714998215186,48.140684807179,48.5577537956374,48.4434225709749,48.384337729658,47.9926989386232,47.9154857793532,48.282257808906,48.6232904368717,48.2469599707986,48.4056700249892,48.2272048821729,48.1225078074762,48.5443703382331
2022,60.0938192834023,58.8894799980303,60.926226668689,60.1715968621361,59.7464722004725,60.5149660672532,59.3291204650292,60.0549419108725,58.8894799980303,59.4259206603381,60.926226668689,60.5648108563226,59.7871732952256,60.0958483768622,59.2518730026816,59.7497005919251,60.6844476124948,60.4275433799047,60.5635742875964,59.7842817643721,59.8897743123258,60.1820142157541,60.5613778967914,60.113804734672,60.5957360723762,60.3482278657959,60.0084877316803,60.6780812554564
2023,63.4826670476499,61.603517545221,65.0273127318426,63.5030374688505,62.9018737056194,64.0757632606512,62.3499692972137,63.1956829779041,61.603517545221,62.110971380121,65.0273127318426,64.3179665815587,62.9764993358063,63.3142987898717,62.1659499011542,62.906897624686,64.4059453532457,63.9971390838235,64.3165989669508,62.9706738570269,63.54879367827,63.5179522506561,63.9546431721218,63.5468251016823,64.5726749607097,64.0654992810881,63.4479509815051,64.2722389036662
2024,64.049203786684,61.7193697303329,66.2580041757032,63.923959199392,63.2167108021637,64.7766201150556,62.564608300941,63.5469289269439,61.7193697303329,61.9935101085631,66.2580041757032,65.2047515060212,63.4333523926054,63.6889839305276,62.3406526377679,63.2221408718388,65.2020559661357,64.7500073492319,65.2023927938118,63.4255783738083,64.4309551908982,63.9415567966792,64.4151756516263,64.2972028090107,65.760928822896,64.9016938350491,64.0875649508954,64.9253894292011
2025,63.8995745298546,61.4653340483851,66.4849843398244,63.5971206105786,62.7141741490986,64.6430790899358,62.1753684672192,63.4627132896446,61.4653340483851,61.5207934693756,66.4849843398244,65.3069218573751,63.1724009491247,63.3060165152496,62.1935768765213,62.7198615752425,65.1093876574913,64.6477918130646,65.3036422812467,63.1640028169975,64.545082674368,63.6168391203056,64.0321668258843,64.3410906298175,66.0979418165193,64.943408998009,64.0898010744963,64.8358623005913
2026,63.6797600690752,61.2072203963912,66.3881688622466,63.2824751966027,62.1966223126894,64.3381298163392,61.8086225418356,63.560174474309,61.2384358434615,61.2072203963912,66.3881688622466,65.195854147595,62.7856026734359,62.8357271351207,62.1062885478115,62.2018526140245,64.8621842237902,64.4297591256751,65.193086418588,62.7763398644237,64.5328495308675,63.3013764670087,63.5408011145627,64.287106705327,66.1898709161859,64.924864625465,64.0658686769745,64.7447194961481
2027,63.5302725631192,61.1123065698267,66.2217205621516,63.070164523407,61.7737745198932,64.0419280547336,61.5902169966684,63.8510369104316,61.1689182593031,61.1123065698267,66.1920972942092,65.044220293468,62.4192049579052,62.5152727872692,62.1719421470599,61.7787960856823,64.6367559631129,64.2989321983467,65.0395579242679,62.4092739121713,64.5297984217025,63.0875079682892,63.1487906876405,64.2782689301677,66.2217205621516,64.9553714483991,64.2152061147409,64.7057505471314
2028,63.4717361669204,61.1892409688834,66.2631748140333,62.9421306941586,61.4777583260457,63.8316412161501,61.5198031501962,64.2864849867545,61.2417397797679,61.1892409688834,65.9938659957367,64.9342024047497,62.1088052819299,62.3477746558935,62.374781906246,61.4827897306959,64.4435842589733,64.300092217208,64.9307915043734,62.0995939052665,64.577771181039,62.9576114491946,62.8802955489266,64.3339197931275,66.2631748140333,65.0303082278329,64.5133349520276,64.7319072237979
2029,63.4947414722207,61.2894713492322,66.3382165876806,62.8830708052427,61.2894713492322,63.7050023763466,61.5695685702479,64.8134210565983,61.4424602381123,61.4012869239717,65.8342165614515,64.9053217075215,61.8439272232823,62.30330876334,62.6826597698474,61.2946697959291,64.3009897627365,64.3935882214785,64.9007068283234,61.836728628307,64.6820693227176,62.8936189184194,62.712609467037,64.4538536001637,66.3382165876806,65.1464768613123,64.9163583066536,64.8249351595636
