"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"1",2020,79965.3658738344,47259.2161189518,118299.544844936,71425.8666167646,62954.3011931929,75483.8066828271,99093.4143676915,77864.7885423778,91815.2331952551,69832.3274518535,63871.6444972566,95875.436154626,89655.0662955924,72135.2287396766,72632.5108766624,62932.2162001251,77733.7236490991,64602.1007239652,95876.7699636665,89668.8934025283,86134.1528181641,71373.090835866,69311.8418461357,78301.8558982616,86464.890279257,86528.466290885,83211.3162011192,75858.1395667043
"2",2021,67070.2337227432,39216.3617279192,99846.3544374443,59949.5183818474,52982.9717005071,63021.8590254013,83270.5249470915,64906.4719524598,77614.1350880717,58640.4893905327,53272.875342266,80259.7604948628,75812.2143886684,60296.1354786728,61121.2006197712,52963.9852926522,64903.6424564708,53855.7887943464,80261.3565545154,75823.9820632487,72455.9480267361,59901.3045627657,57963.2858386492,65601.2814369822,72366.3372024802,72470.5320523258,69372.2605804491,63186.8798857655
"3",2022,62356.1896924383,35922.4409848563,93487.0832564617,55892.2341695049,49583.5547569414,58478.1492655676,77543.3728048058,60242.6339835453,72681.0632006873,55024.4070270248,49092.0187301746,74256.9870733656,71044.9985280647,56141.8991009522,57002.3246009489,49565.4794728645,60080.4087423689,49691.0474769376,74258.6703048063,71054.4955937951,67076.6252431482,55848.0973322818,54050.171680043,60937.7614005624,66655.7067550707,67084.3665442736,64151.3467035177,58496.4617203938
"4",2023,60344.5677590338,34265.1469594354,91230.7991879534,54384.6773353904,48357.2010615539,56605.9728935494,75258.6945712421,58242.4563960219,70629.2140750554,53740.9544572457,47109.01106152,71515.6978190691,69166.8000557903,54459.6895214663,55132.5349652086,48339.2303393384,58017.88641257,47728.4933171702,71517.5440288542,69174.3697503895,64527.8559155811,54344.7014460811,52644.184482787,58935.9038615098,63840.4744145884,64602.1245748641,61682.7631936989,56421.1756993807
"5",2024,59125.6397813946,33226.9274079692,89956.03948006,53564.6545813146,47775.1018988813,55546.5939228036,73784.9280914822,56772.3492135464,69258.9733496909,52917.8095413405,45962.1656796505,69872.2490945934,68207.5256621105,53454.5616938811,53797.1504072302,47757.1453312227,56881.6536966547,46446.9427572181,69874.0614655281,68212.3926252341,62921.9903847865,53527.2893884879,51906.5033102316,57790.9131738573,62165.866860783,63027.2940274318,59900.5594143398,55104.5887934699
"6",2025,58176.1812280111,32438.8817578772,88995.9552850635,52947.0621873536,47405.4105502266,54783.6366123331,72570.3521349272,55464.6100981599,68128.2301440144,52257.7683391853,45149.1819167165,68621.3079330035,67548.7388150954,52716.966839066,52652.3428825599,47387.3840447443,56066.6295184635,45403.0428930435,68622.9533510106,67551.3406205146,61618.3938985191,52914.2459665848,51401.7744279905,56930.9770708901,60897.1814070132,61751.7171534708,58337.2545358182,54037.385668858
"7",2026,57305.0167255318,31748.6737529331,88059.1574227281,52394.9033332673,47098.0542888396,54142.5598499126,71384.5632478052,54154.739993018,67007.1786193163,51588.387062971,44455.0536268186,67513.4942039593,67019.2540917253,52053.2600587692,51535.7187164428,47080.239271594,55374.9646751946,44443.5108522639,67514.6581645383,67020.2537988723,60404.8871451465,52364.69966336,51004.2797526118,56118.5065624218,59752.5751955297,60573.9483499166,56797.9242489214,53063.5877250761
"8",2027,56437.9790362707,31085.1481981263,87039.1814407641,51866.2713709951,46785.9092547225,53524.6470139827,70150.4904821958,52803.1283806702,65834.9006844192,50866.8456392921,43777.6923215402,66435.3982979061,66542.1902380884,51391.3756473669,50404.702146897,46767.3622823764,54710.4202726665,43501.3813185974,66436.7162555176,66542.9463927265,59202.3686998397,51838.574802322,50619.917071772,55288.5432236773,58622.7217950395,59424.9976853565,55230.5255605129,52097.1682063531
"9",2028,55544.8517282677,30426.6951111803,85906.5973387512,51330.4503367578,46437.6658704416,52886.5471305806,68851.9705342608,51406.702421354,64603.3525520315,50085.5035904634,43084.9874858106,65335.1674922408,66079.6491086725,50694.7542616139,49253.0401376637,46419.751419566,54024.1591525475,42551.917427503,65335.8296560131,66079.6767251941,57977.4216330238,51304.8630598558,50211.8846906849,54413.3459705517,57461.3489167312,58262.5315622964,53628.8192819974,51108.5659009133
"10",2029,54613.816295836,29759.1609168668,84656.477802429,50777.5876623961,46041.7247637906,52199.0822631238,67489.9109370764,49975.0474593397,63314.8294435948,49251.0700127908,42354.55085694,64184.9006735101,65608.0465193785,49950.9574773807,48084.8842127532,46022.841704437,53302.3709963783,41584.0872538523,64186.3121394963,65607.1777999721,56708.4750706128,50753.7062131656,49766.5194755149,53481.1935969958,56248.3098231769,57074.9515495016,51996.1816443763,50085.4217783241
"11",2030,53821.9790027027,29171.3767556693,83587.8643678935,50359.2866537291,45740.052897242,51624.702594971,66304.7059890099,48687.3927467479,62204.1068856298,48539.7265493547,41713.246486255,63190.2982023448,65331.8599636201,49315.2475974069,47068.3579037313,45721.5600019604,52696.9178738217,40725.6483111134,63191.9041026976,65330.610805793,55592.6439586431,50336.3825403369,49438.3492216933,52664.0876772437,55162.9936614216,56048.2115619687,50512.0163706254,49184.0494356133
"12",2031,53527.6727789887,28840.3987307981,83310.5860470705,50423.5945335759,45829.4732013983,51475.427851618,65774.6690289614,47895.1997315642,61740.5725647247,48308.8839784576,41419.2166933515,62737.022772939,65687.7551136162,49101.482279727,46541.3440029507,45810.9018571002,52520.996993901,40232.494775156,62738.7985675713,65686.7855065934,55012.1212638021,50400.7379982066,49527.7472685568,52321.5197476305,54560.6805688954,55550.9687565715,49518.7257145079,48730.8330337622
"13",2032,53276.0883092604,28534.0935409454,83087.4090240373,50534.917218076,45942.1976923344,51355.7284956878,65309.6660793396,47165.6327723975,61344.188658645,48131.1278447102,41144.0606456935,62316.9214159631,66105.6337941349,48923.5807852806,46076.4912551102,45923.1356692708,52366.6113672101,39770.6480169127,62318.844806823,66105.5984249499,54463.1589433056,50511.4865624256,49647.0682356334,52015.8088460426,53989.2973255076,55093.3445534398,48572.2217859342,48322.8923833546
"14",2033,53021.2568163333,28230.4683999342,82837.2800624923,50639.3839226349,46038.6360250471,51225.9226483837,64844.8690795841,46452.4851484311,60956.1894883097,47951.9645494876,40858.2069844338,61882.2268875641,66521.9198188409,48739.5728133808,45627.1635866231,46019.166004734,52205.1307912996,39314.8971538582,61884.3038379386,66523.2921967264,53910.990849165,50614.8697170526,49752.4754144082,51697.7495680673,53407.2149016152,54631.9778571204,47636.8798753242,47915.3100397635
"15",2034,52763.5748689211,27931.7228664342,82582.6741880085,50735.2978168736,46110.2544672617,51080.804602126,64395.8726760788,45756.7903295885,60567.3827588049,47774.970720065,40566.1335992748,61449.3760908972,66930.9813285506,48546.1436161453,45190.4672711769,46090.3997226496,52043.4306441671,38857.0583992797,61451.6258099577,66934.0688749837,53349.2768053955,50709.3892468497,49839.7747247542,51372.9751860529,52822.7972156446,54167.2410164409,46715.4001894881,47505.6764523142
"16",2035,52502.0398664488,27639.2676266757,82320.0689948432,50822.0207740914,46162.1584488299,50911.2437412255,63958.4467170439,45079.5438572376,60177.00024231,47602.4017722424,40270.7694119823,61010.5294064699,67320.0772986494,48351.4021621489,44767.5165907074,46141.9558354051,51870.0479637201,38397.7464292332,61013.0102995217,67324.9917651435,52782.598866037,50794.7945399652,49912.8885786407,51041.3923750629,52237.1416754245,53702.2878885849,45805.5695469061,47103.4692419392
"17",2036,52235.5108110237,27346.3928413179,82047.625658575,50903.2228995703,46190.3800697348,50721.9126276258,63529.4997937003,44421.6584644423,59793.0052539956,47438.4193093067,39963.4943214725,60558.630192419,67683.4378764801,48146.4215875227,44353.7378278887,46169.8359333009,51682.3735722757,37944.2078930516,60561.2807461179,67690.2861727469,52208.7734342751,50874.3902655269,49974.4952939896,50705.8074434866,51650.0782716281,53239.375776174,44909.9507051063,46701.1765357695
"18",2037,51960.5630975468,27048.8402039912,81757.1466534744,50970.7300786222,46194.0403553357,50510.049383042,63100.8616157392,43786.5744454134,59404.5045201536,47275.8416351369,39639.1528045931,60092.8020259264,68018.2263556606,47916.9263207149,43954.4100652416,46173.175338763,51482.959168942,37487.5065587637,60095.6381688889,68027.3260255958,51629.5866122457,50940.0054205288,50016.7545026378,50366.5725735816,51057.8379065973,52773.5466886477,44030.8741383483,46296.4892257651
"19",2038,51675.3949942811,26745.9126112545,81452.4084271961,51013.2696695493,46174.5083396128,50286.7554313016,62673.8713654389,43164.9609675089,59007.6772640843,47108.7152640593,39297.648563013,59610.5030599871,68327.3503965193,47672.6045388726,43563.2800349211,46153.3383192342,51266.4858204178,37025.0713797851,59613.5404771032,68338.8384968775,51048.3143382681,50980.4970771175,50036.9097628834,50016.3015597022,50461.0507933729,52300.927767924,43163.5238711027,45889.2540177326
"20",2039,51374.944331963,26438.9849729609,81327.8647273694,51029.8065193717,46129.010995305,50039.3086498529,62236.9605527477,42552.5151693555,58597.3333532872,46933.5596166886,38941.7839224381,59103.5577151417,68586.9588329404,47421.4517438327,43177.0671939411,46107.5589049519,51030.5734871364,36559.8250268065,59106.810175527,68600.8020463829,50456.5330298477,50995.1753927215,50032.9860326283,49650.8967601391,49863.2546062938,51816.5381704759,42308.4800430764,45473.336562251
"21",2040,51057.9730095028,26128.7579490398,81859.9242141342,51013.3547794453,46050.6922174283,49762.6325851375,61795.5854762922,41948.2678049604,58176.7404644805,46748.2540539395,38573.0739598867,58585.076839415,68800.6104324563,47148.7515636361,42793.752820682,46028.9630963707,50773.6272694494,36089.2117741003,58588.540032952,68816.7030966696,49853.5950898676,50975.4784879373,50007.3084515448,49269.8120501445,49251.8133836989,51320.1612238837,41461.7169463791,45049.19295936
"22",2041,50720.2990172277,25815.2945841523,82307.6869892125,50962.3761336316,45943.412113779,49455.8878949112,61325.1373857005,41351.0450543015,57739.7072513522,46551.8119235622,38192.1333717782,58039.9569631293,68960.8137966432,46853.9643390816,42411.834132897,45921.4366681811,50495.5738599812,35611.9645809597,58043.6299579914,68978.8678342186,49236.2235423546,50922.4679925788,49946.6534314347,48873.6826699351,48619.9723696091,50812.3129452984,40619.9857310853,44618.1491121281
"23",2042,50364.5680974395,25498.6418636509,82690.6080203784,50878.5002606497,45811.5280953329,49119.6675350818,60844.4937768978,40760.2424808106,57289.7373440981,46343.6298658647,37799.6396338682,57473.9793430115,69069.2477601133,46532.743141971,42030.5135644963,45789.0454532537,50198.3225347361,35132.213557996,57477.8566416944,69088.7423530611,48606.1206236298,50837.8149913295,49851.788109403,48463.4463392309,47975.3324876107,50294.0221264488,39784.0598014201,44179.8101986789
