"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,13095.9608298659,7763.09739122418,19779.8113872207,11630.9631559699,10224.8244310855,11793.477691524,16568.5256733474,12509.7336945593,14703.7344320391,11147.3445530414,10567.5857519112,15677.0317095867,14469.9912848416,11951.7964033881,12890.2593194766,10210.6417525958,13746.9680697565,12232.3466062763,15682.1074010232,14487.2545779984,14516.1443063466,11595.6592829908,10660.4131372606,12082.4463685023,14681.9488508096,14750.8271444751,14155.8114676917,12077.1741874833
2021,81262.3286670781,47315.3221857375,123390.948759853,71775.0953366431,63942.7480019184,73605.5746307645,101826.437148682,77538.8997959881,91566.6309128673,68899.7883809844,66054.7847862665,97494.2992793536,88966.9309994951,74409.8689046819,78944.224950775,63866.2458856502,85411.4333593757,75560.012407096,97524.5676650015,89057.2370907812,89883.3468929637,71587.2973956914,66204.9532491335,75023.6661129971,91604.6924615923,91212.5341039032,88318.7223066324,74924.1290733138
2022,102179.273747241,58843.7307341304,157197.103688225,90120.5418174196,80410.5095739979,92789.7401667729,127960.273107903,97994.5191991011,115631.821649845,86748.9056589821,82843.6179249009,123020.734110914,111987.505619635,93088.544871828,98011.0514444358,80323.5639445532,106768.40178539,93251.6891438789,123058.949050901,112088.41964813,112635.849647056,89911.0027619042,83707.1109479708,94772.374444635,115257.398073101,114455.720107832,110879.934268753,94777.6675791106
2023,105022.298179889,59595.7792740654,163923.932833617,92637.7272808476,82692.9641168579,95571.5810728425,131500.538758756,101294.634646051,119385.250252433,89430.5962760936,84842.9688736078,126738.982698504,115337.909673547,95073.3352561187,99459.2803548579,82614.1910379996,109078.459141814,93928.4463257061,126775.306264667,115414.172661439,115294.075589476,92452.2547829278,86561.0465152879,97882.3979358213,118398.335955395,117365.586257408,113652.485357258,97920.6984020791
2024,101714.625543501,56993.2934131999,160633.850878788,89940.5747679395,80275.2050307636,92804.1357298784,126902.296477702,98390.6231278832,115710.319038038,86777.5663933895,82163.6583864767,122796.790361061,111997.63941813,91618.3280498578,94946.8220849978,80207.6387510603,105138.332087602,89228.6900951806,122828.645470078,112052.494362817,111202.520740759,89790.4995641719,84504.3808743677,95330.3883282412,114780.311874888,113438.859658966,109582.567325104,95235.3457654781
2025,96958.5728546869,53789.7353503559,154593.506834941,85980.5143116168,76852.1971171549,88714.5323946131,120308.84222134,93727.3841979262,110255.214934954,82699.3414018425,78512.1642217549,117079.994702866,107082.317936637,86985.931623449,89091.6882341555,76796.5094575446,99794.9572133496,83599.2700018212,117105.796463151,107119.175951525,105655.602789679,85866.7860201211,81237.7922396574,91448.5443356676,109623.09375659,107911.882659918,103763.677507173,91085.0425655124
2026,92255.6173736277,50824.243778323,148366.810792097,82019.4579471482,73484.3037668624,84649.0182488148,113847.753285024,88960.8077137799,104880.688235932,78632.6909208907,74940.2317882053,111429.413948163,102276.971108735,82488.2672261915,83559.445881312,73439.1619041383,94530.7410763886,78247.3861395582,111446.258846906,102292.971977133,100236.223529852,81939.2444891892,77983.9799224187,87557.6435286734,104479.398303386,102357.122069835,97984.4079436552,86852.7082199249
2027,87995.8643972346,48241.2277521288,142527.672884327,78436.3261683294,70483.8829896564,81009.0724022573,107960.715790161,84561.4753539309,99951.4946463552,74930.682224408,71733.8534194385,106284.242369607,97972.9420949901,78452.575807158,78623.5359488611,70447.6633272615,89772.4726223066,73500.2709930766,106310.310784909,97975.7404862948,95318.1683122514,78390.4783316921,75066.2747543276,84046.0734448304,99804.272463458,97295.0657731211,92670.0011253072,82978.479015437
2028,84238.1115623696,46051.2905352121,137162.767435677,75322.0809386763,67860.9182611057,77807.363425504,102680.15622898,80603.9512834882,95560.9733974595,71648.6319231273,68941.685044146,101734.599583138,94242.9595169025,74924.6163653395,74307.5642708951,67832.2475992997,85601.1996464054,69356.3453618022,101755.015369467,94234.9229569006,90987.9919502332,75296.7491334775,72545.7535025651,80962.3807911382,95655.8197245785,92819.8775858391,87896.3499786659,79518.5529607736
2029,80952.1648371068,44213.897408126,132305.144179248,72645.4223035905,65573.2508578944,75007.7857606108,97992.6499787631,77065.2598610345,91671.0125580879,68779.5695540035,66534.74085485,97735.841783654,91063.7164979988,71858.5270437079,70550.1046984404,65550.9113684885,81979.7193987987,65771.8443842009,97736.8756583531,91045.5019303195,87216.4507534908,72649.114679514,70404.4535857854,78276.4266472861,91996.6413110134,88889.1124700242,83640.2388224394,76460.7650469732
2030,78084.8345597041,42559.2582946469,127928.215015682,70368.7440860181,63570.3575251218,72576.5829464011,93843.127005814,73920.2992380231,88228.0934113328,66288.957601501,64465.883389008,94209.4617897029,88373.0876453552,69168.7334678121,67289.1730363557,63554.065742198,78843.5395742756,62671.4374883835,94204.4050341644,88346.1753755298,83936.8669656676,70391.5237886484,68581.909837758,75965.1170271655,88746.2163165555,85459.6348197804,79835.0808822097,73780.5091451933
2031,75581.7867310282,41070.4657454958,124016.18038657,68439.9489877878,61804.9674493733,70476.482032573,90188.4260958027,71160.4719049074,85185.6072880283,64147.8947212562,62670.9174768369,91085.6206273896,86093.2807722983,66824.16439246,64446.8222833051,61794.2258139644,76141.4944125174,59951.9079715303,91072.7706653638,86059.3468084908,81048.5835186578,68479.1530188464,67030.4663194125,73977.8864306518,85859.6058154325,82484.0746361216,76440.9932291045,71436.2806606534
2032,73399.7441066975,39787.1108237436,120519.465327229,66806.3674162294,60253.3426323369,68659.6045141389,86963.8611766919,68739.4858384742,82502.2539437998,62321.2607688642,61111.644516956,88298.2585539771,84166.4101358027,64809.9211727995,61985.3862678131,60244.7383236741,73811.002716048,57571.8583532204,88294.941298181,84127.1266862578,78514.6543993239,66858.9989363844,65726.5722986655,72276.2931681302,83306.3424199799,79898.081566774,73405.9534180256,69378.9369749558
2033,71497.0659833807,38687.0782952102,117407.663299671,65422.6501035601,58924.7823965115,67121.4279231302,84125.3220167559,66622.3889451005,80133.9935179388,60756.7547853204,59746.3132163219,85828.0080967704,82529.23299661,63073.05182762,59842.4781849335,58915.1733805812,71805.8571168268,55476.6757457347,85819.4010021081,82486.1263902836,76271.1143616181,65485.8656860397,64616.6497716312,70793.5163250432,81044.569462781,77644.6030107135,70693.2441681153,67589.2515735264
2034,69840.1928843867,37767.5771945321,114636.834122491,64247.3501415373,57788.04371126,65772.4622273496,81621.0685252267,64772.8052114023,78048.2705943731,59428.3743236044,58537.5151504186,83678.7007873157,81125.7251332988,61567.6531565317,57988.3832772589,57782.4748288189,70071.5154678531,53663.1025775696,83664.1934170823,81080.3328943616,74264.4096907212,64318.7220003224,63663.3266252429,69526.6147559111,79024.8007458376,75675.2717421573,68304.1488245009,66030.4391720549
2035,68386.071052813,36951.3597422656,112131.626440503,63233.8879170706,56811.7921996914,64603.5120293643,79375.9510714892,63148.810100387,76206.4522184901,58296.297479081,57449.2771403663,81781.6652467862,79908.8125966369,60251.0713048403,56395.1106211111,56807.0317360719,68560.6738445242,52093.0702788002,81761.0026635844,79862.5495136035,72479.3274644116,63311.1170145119,62832.8519445569,68412.7800813863,77194.3690320015,73948.3355991853,66192.8421285531,64659.1305800672
2036,67100.9822990142,36211.3757493484,109930.234967277,62345.1360714238,55952.6911917557,63575.4356946981,77410.8121940381,61717.2539305714,74557.1194873732,57324.9899437737,56447.4880052315,80098.0950913518,78834.0724968239,59098.8876336291,55022.8931601525,55946.8174968986,67221.5495923016,50734.8606133122,80071.5134268333,78788.2070533731,70903.0258942588,62426.1700742568,62100.2740706903,67425.0332320323,75525.1841822649,72422.4337069444,64311.2405090278,63447.9033576185
2037,65950.7586929384,35535.5424035911,107973.211777056,61554.3708061737,55201.5382069902,62654.6923223773,75673.5306037866,60445.9894267607,73092.6670965592,56481.8610903966,55518.9556044855,78585.1389328424,77831.4467067031,58079.4810946508,53837.2162639575,55196.8084593053,66027.2803986256,49544.5725834058,78553.0692050035,77787.0960713544,69479.5975588954,61632.5106142199,61440.5070681236,66532.163750529,73995.1258618471,71055.2745122751,62629.1418254063,62360.6129454049
2038,64906.5850115611,34907.142120225,106197.573187447,60840.998770151,54528.1471810148,61826.3598216184,74108.3960659878,59310.8754090317,71791.2171027496,55735.7034601242,54643.6504660367,77210.1456859461,76873.4881035743,57165.4646375258,52806.2833818293,54529.8116414664,64950.1172218505,48488.240071965,77173.0810648428,76831.6195068758,68189.7246910425,60923.8221648655,60832.940581006,65709.5617767919,72563.9655083684,69798.8437354503,61102.3310575439,61369.3370517376
2039,63949.5491466428,34313.7796330799,104584.064221475,60203.7815521631,53917.6061981328,61065.9676577731,72701.1644786934,58295.7414184751,70606.1451860086,55055.3637508837,53806.611814344,75949.9628547778,75971.6394808103,56346.1364036641,51899.1158466991,53919.1716114506,63958.7961905772,47538.0614308593,75908.4918829229,75933.2295404378,67007.0207538309,60280.258472938,60237.572563279,64938.1795922273,71222.6923851378,68638.6272674615,59715.4104518389,60455.565994468
2040,63059.5001592552,33751.6218644404,103099.078993783,59622.0576300316,53345.9318464806,60354.0232373458,71418.4033553875,57366.2066241667,69540.8606782985,54429.5967882178,53004.9367935344,74764.6810806642,75139.4952118113,55593.8341825817,51080.7076166119,53347.5911123323,63030.5275890529,46672.6056909225,74719.4521932932,75104.7622191909,65892.4090715357,59693.950405453,59649.9591297674,64186.2869388182,69953.1872559287,67552.4997369476,58436.3937615442,59598.5177841224
2041,62217.995310732,33212.0163492494,101725.980031216,59079.3385123631,52801.1101416356,59672.6530206204,70240.3203130378,56500.6488536191,68544.4014207857,53840.9411494937,52228.2210881689,73633.3815905052,74331.6161871593,54893.5307795513,50328.5897054168,52797.1335526298,62142.2721000932,45874.8123116575,73585.0680654636,74304.2340797134,64831.6156250349,59149.9076839181,59090.7500851032,63454.609671848,68739.0271493449,66521.833974438,57255.1361138695,58787.2477277806
2042,61405.9853202324,32687.3871720349,100395.476064589,58550.632051237,52264.7626811586,59010.4229596359,69110.6818312987,55683.0681664133,67602.3007779769,53277.6572292526,51467.0793064727,72540.5479606978,73537.4280725255,54226.7854074246,49635.1576502188,52260.8815955376,61278.1939528158,45123.8987244895,72489.7963767577,73511.2751462245,63802.9442942444,58616.799106976,58533.3724947039,62722.7144827776,67565.8807591618,65525.320980703,56146.860622506,58002.0221252027
2043,60609.3511594975,32173.3293445721,99122.9833506339,58019.9779858228,51725.0859578603,58345.8589904657,68038.3040770104,54896.6775104362,66696.9198537698,52716.2991421898,50716.3646343816,71472.4237160011,72722.6060929688,53579.8378226884,48983.3704824404,51725.184578115,60434.9697160029,44408.6157657772,71419.8706030458,72700.5894296467,62794.7604059492,58079.7145843115,57974.86099197,61983.7022153262,66412.9315758982,64548.4965451886,55089.0838452646,57231.9240340617
2044,59816.1967184656,31664.6752214889,97855.5563273596,57482.3388901708,51175.6785485493,57667.4971374447,66981.3856963481,54129.3454734727,65810.863159763,52153.7826207374,49969.4851887495,70403.6695056031,71888.1846219312,52940.2925300142,48349.9778249496,51175.5601041889,59596.6073810118,43713.6260814705,70349.9056257117,71870.4150898126,61798.8819987399,57536.6938398698,57397.7974361378,61232.4603119378,65274.6676052395,63595.5110886481,54071.8301461905,56466.6183819706
2045,59017.2069972559,31163.5521445066,96586.1371860487,56916.8922476134,50605.9348807344,56971.8724666747,65932.3568152353,53372.8482556583,64925.1443609013,51578.8151591551,49230.1692325048,69325.4861107613,71021.3027139375,52293.4085105032,47729.0348308805,50605.6631014954,58764.1090893894,43032.924837571,69271.0424422757,71007.5807925133,60794.7141050753,56966.563448988,56803.782406456,60460.0661450075,64145.0867396491,62659.2110874754,53078.3011456565,55708.2537609619
2046,58205.7209951615,30671.5575057807,95286.7527982013,56321.0454105906,50009.2545563193,56261.0239014543,64868.0708993609,52630.4376071065,64022.9882570844,50994.7854238624,48501.3473374928,68231.5046750066,70121.0117296389,51629.6295622028,47108.2794218096,50008.7235067277,57927.0983824395,42357.3807209141,68176.8579711472,70110.7731670223,59777.8004126398,56359.6839263571,56177.6627869564,59661.4599884248,63014.3672625873,61729.2558665131,52101.4101684662,54959.9209123843
2047,57374.1075673559,30179.5528664396,93960.0791046003,55677.5363724453,49380.0936899343,55534.7570753874,63789.5878330555,51892.2293613577,63100.3935535023,50394.7517262009,47769.7964886317,67106.7104488597,69181.7367617433,50952.3125449278,46472.4784394338,49379.1734614796,57066.6179963813,41679.4817840873,67052.2783356289,69174.9801371947,58747.8680601626,55717.9761311653,55519.1822620177,58834.7431193714,61878.1779961309,60785.1410144788,51132.1392387255,54208.7178276548
2048,56517.628107861,29679.6504831897,92599.948116822,54996.9119351077,48712.4543842452,54779.8656844689,62686.4669618395,51148.5378710662,62140.7800827602,49774.2591925965,47023.297744155,65954.3509317482,68207.0701693022,50255.8887161981,45821.1254392422,48710.954375659,56177.9083759738,40991.0165206786,65900.4833191013,68203.3742973124,57698.0149410548,55028.4958942799,54822.3023751693,57985.8142835732,60738.4659031108,59812.7798448361,50163.6261986036,53448.8120129389
2049,55633.7221444084,29172.1341097748,91293.1563389151,54263.6289877959,48010.4510597498,53993.8901749524,61553.797867401,50395.2152776274,61147.1651919705,49124.9945804903,46262.6496010065,64770.8816333383,67187.0716491391,49540.4588024297,45144.5934092678,48008.4932086426,55259.9683917554,40288.7709096957,64717.8624232871,67186.0813532084,56621.3468371188,54293.1779765137,54089.5756650393,57116.9838078246,59602.7304239526,58816.8667394608,49191.9784819303,52675.8027682574
2050,54720.7086051414,28654.7645606069,90060.2088991717,53479.8419105049,47277.1606272487,53177.3814234461,60388.1871369833,49625.7928670384,60116.3978557674,48447.4302168971,45484.5819070967,63556.7432261991,66122.3247804317,48800.5018787598,44443.4600645766,47272.947406066,54312.3183417996,39573.3381367557,63504.7908940306,66123.7310654341,55521.7533747832,53505.2178083298,53316.6341857938,56221.8647565706,58459.2621776338,57797.3353866783,48215.4619262518,51883.5192300593
2051,53777.6233190267,28125.8069055608,88722.9690701704,52648.395881321,46508.3571715749,52325.4724097874,59186.2310524616,48836.52585183,59045.8170224616,47737.6203185928,44686.4384310593,62318.5765026411,65013.0260504875,48035.3929102074,43715.247941353,46503.0985701965,53329.319385576,38852.1848012378,62267.8003768522,65016.5368434488,54390.7956486519,52670.3074480882,52498.3173237605,55298.6971741862,57305.3032945815,56752.3957746733,47236.1377426892,51071.2018177936
2052,52803.5434400567,27588.0109424838,87280.2676728559,51770.5393993378,45706.4690963776,51440.0827492254,57942.4312625802,48024.6303761436,57935.5607580386,46993.6507561379,43872.3580615121,61060.1585253024,63852.8176816029,47242.484947461,42960.4178999141,45700.8529881991,52312.4500925485,38123.7569964938,61010.654471984,63858.1512590815,53236.4154733463,51789.1611181849,51640.4326733841,54348.5982192604,56126.7081416332,55677.7602034377,46247.8476299255,50232.9821100573
