"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,17.1802090299636,17.0760563103476,17.2715306314755,17.1582262658887,17.1322068550857,17.0760563103476,17.2715306314755,17.2172661217692,17.2650068151321,17.1993195264545,17.1053074047016,17.2527025711618,17.1483250107844,17.0993899397542,17.192474727805,17.13377753674,17.2513795577982,17.2197378418548,17.2521910955797,17.14689866793,17.2230497987307,17.1625188780689,17.1020640495423,17.0912868105666,17.2500859640767,17.1934369331246,17.2372246052468,17.1237618294704
2021,31.777260733468,31.6137005984995,31.9468637637687,31.7547223988442,31.6924454080035,31.6281581956147,31.9266470694873,31.8743629695896,31.9468637637687,31.8352085780607,31.6425501981403,31.9207938237612,31.7347140575905,31.6137005984995,31.7205442870255,31.6963060982048,31.8551041898383,31.7294388843148,31.9200057905074,31.7310621097948,31.8371903160443,31.7651133131014,31.6994611812448,31.6715969809774,31.8956871367503,31.7789627226392,31.8519403998196,31.7089378650763
2022,40.150251918938,39.9214352666986,40.3683705576909,40.1378698289591,40.0465793104429,39.9951429344032,40.3206342419291,40.2923708161286,40.3683705576909,40.2342118455338,39.9895399411574,40.3462760954361,40.1118526431909,39.9214352666986,40.0041285191785,40.0525870446646,40.2133544826792,39.9858707171092,40.3449058080805,40.1060378514202,40.2124768260655,40.1536987995217,40.1029792527572,40.0625058466835,40.3002164511401,40.1406106541074,40.2184374435541,40.0942047949188
2023,45.1930426192225,44.9163816784008,45.4199460082738,45.2053623128027,45.0837775911247,45.0565205129802,45.3490909851163,45.3536905114986,45.4163483527519,45.2795622462487,45.0511485189224,45.4199460082738,45.1627997298067,44.9190322559004,44.9438974317346,45.0913658509432,45.2431399898197,44.9163816784008,45.4179054300914,45.1546142421199,45.2526000681765,45.2253703050736,45.1944537900641,45.1404058044071,45.3766094678831,45.1767787356979,45.2418930826382,45.1533705780859
2024,48.4344626356292,48.0641983850731,48.6822448890575,48.4731567887676,48.3310319479991,48.3252884444361,48.5502135088921,48.5863460924742,48.6403305162384,48.4996686346141,48.3378306962376,48.6822448890575,48.417126974611,48.1309016357857,48.0788107523271,48.3398177733545,48.4742942988443,48.0641983850731,48.6796364850359,48.4069692787393,48.4972352853125,48.4964773116203,48.4861731505486,48.4272854648175,48.6599036920304,48.4157953620133,48.4534044383152,48.4074240835844
2025,50.6625561732223,50.2135007099067,50.9308803175021,50.720072798081,50.5677730227274,50.5801065533954,50.7321669407488,50.7929114686971,50.8495791567789,50.6983946284149,50.6190420848759,50.9288156710342,50.6598734977311,50.3365374321409,50.2135007099067,50.5775065521399,50.6914896325515,50.2146641210902,50.9257277473171,50.6481801959119,50.733247948266,50.7461258206324,50.758428056761,50.703360352716,50.9308803175021,50.6422528207509,50.6478418255987,50.6454249747882
2026,52.2898047544541,51.7624532080279,52.5988207833574,52.3602918897785,52.2040312414605,52.2313504653373,52.3142259603865,52.3969500418669,52.4596265113489,52.2955697710151,52.2977746195827,52.5726022127688,52.3005995498351,51.9456101359203,51.7624532080279,52.2145422880572,52.3063908963511,51.7764065754607,52.5689916793647,52.2876994593818,52.3707367441804,52.3886628700168,52.4234579721838,52.3775522379401,52.5988207833574,52.2677829122897,52.2422148838157,52.2807739516254
2027,53.538139301634,52.9448686316424,53.8851073447607,53.617551700441,53.460928470097,53.5004386773263,53.5192475116867,53.6245958745251,53.6928835893519,53.5159716177753,53.5932484322543,53.8349961608052,53.5602983725384,53.178839867578,52.9448686316424,53.4720932884729,53.5420855774631,52.9688711028043,53.8310206931892,53.5463772647016,53.6297644546784,53.647962120935,53.7051193117665,53.6707667619321,53.8851073447607,53.5146025236347,53.4601769442588,53.5356662462322
2028,54.5338482525141,53.8847016571102,54.9160032495213,54.6197634279901,54.4640231385985,54.5137805176323,54.4736579389175,54.6030765906767,54.6757993598473,54.4868552158667,54.6319222935417,54.8424658389941,54.5652078018605,54.1617640973949,53.8847016571102,54.4757556756344,54.5247630578082,53.9164739151644,54.8381648157469,54.5504457067169,54.6358381219626,54.6519687575475,54.7314025860439,54.708730153087,54.9160032495213,54.5086617725546,54.4283614767217,54.5366191459126
2029,55.3519027205507,54.6550215438508,55.7663368772905,55.4430049797761,55.2876765160086,55.3464641289713,55.2526671734258,55.4071081697363,55.4833212219089,55.2837481501384,55.4891494529992,55.6704092110708,55.390637773074,54.9686221465126,54.6550215438508,55.2999137486457,55.3296554663453,54.6925668040421,55.6658307186267,55.3751698815739,55.4638330879891,55.4768241202023,55.578277622305,55.5663035124122,55.7663368772905,55.3246120209506,55.2215160782606,55.358897607652
