"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,2676817.58319156,2148700.90774149,3297382.42427459,2395847.3194387,2150634.60546863,2523006.05970809,3297382.42427459,2572054.18346822,3032811.97403304,2282801.55082051,2236776.18472891,3224396.75907327,2965935.98076336,2505826.54342574,2547414.15241335,2148700.90774149,2775138.41483363,2422404.02530116,3225173.44788975,2968135.59528302,2964187.94263854,2390685.65138295,2263169.3570386,2565418.24418726,3024955.24039834,3004000.67835269,2911244.4906446,2522337.84648049
2021,4916768.65238073,3952244.57891909,6045643.17859416,4402875.05692097,3955940.67866549,4641475.80433396,6045643.17859416,4726328.66466302,5563715.41389474,4193499.44871213,4111004.10744842,5918424.55599986,5457803.72032202,4603751.24798975,4669479.45830471,3952244.57891909,5090653.82689337,4434555.29355989,5919987.51559011,5462065.24658149,5435280.40827427,4392976.48421516,4167951.3361718,4721186.83464275,5551547.68575348,5517978.78107041,5337695.49378488,4645151.4882123
2022,6923178.47500407,5571038.55732641,8503789.41252369,6203543.38588306,5576380.49133689,6541616.48218154,8503789.41252369,6658747.85497241,7830930.83608628,5908335.03524121,5788371.20315008,8329538.4703068,7697038.92490397,6481003.9203178,6563171.89142157,5571038.55732641,7160267.8175751,6223795.81796975,8331886.34599426,7703226.21512517,7642549.40783447,6189248.70540695,5881694.68805484,6656427.85754571,7809777.32476021,7768690.95056809,7505507.30804167,6552882.97057381
2023,8765074.40330225,7059404.13878016,10761484.5295376,7860380.26055737,7066298.58816394,8286979.1868578,10761484.5295376,8436280.64738319,9914510.49618364,7487469.22347551,7325142.61885577,10541438.0574186,9757863.84441261,8201464.40042857,8296034.64525094,7059404.13878016,9056761.66690534,7853884.50613123,10544563.6976041,9765850.38853706,9663599.08082294,7841977.92656358,7460931.21914534,8435256.8867868,9877495.64054647,9832931.61382248,9491026.9253222,8307829.89306301
2024,10464736.3919316,8435390.63046052,12845668.9514517,9393562.99739006,8443746.89736913,9898445.12818816,12845668.9514517,10078346.7525381,11838777.9071493,8948755.34484842,8740751.06888239,12581627.2491572,11664496.9543913,9786295.08717148,9888655.96270853,8435390.63046052,10804582.714036,9346586.88655965,12585512.7940883,11674157.5211175,11524277.8454052,9371328.68439215,8923679.97094335,10079032.1704772,11781608.2519244,11735901.3517029,11317687.4606247,9929533.21531152
2025,12033443.0179487,9708216.99113215,14770031.7713932,10812864.8152427,9717947.10124866,11386685.4742597,14770031.7713932,11594378.3550394,13615895.7150929,10301200.6466552,10045184.3031853,14464031.1991371,13429094.2173571,11246691.3330444,11352211.5221085,9708216.99113215,12416174.7612418,10713721.2112943,14468649.8845306,13440305.6515725,13237578.3052837,10787086.1849704,10278902.5168051,11598434.2121303,13535614.3152529,13490253.5219758,12997128.0576712,11427793.3810925
2026,13482067.4599194,10886753.0043582,16547599.1500962,12127850.168028,10897774.8151966,12761987.8159082,16547599.1500962,12993911.8964037,15257555.5064286,11553558.0917514,11247823.9286353,16201587.3855362,15063749.417324,12593364.9590271,12697723.3837287,10886753.0043582,13903346.883497,11966656.9353829,16206908.1989751,15076394.8222394,14815847.6010352,12098787.7035394,11535532.5513363,13003565.2906879,15152118.3408941,15108151.4336405,14540834.0797128,12812303.134621
2027,14820356.1222347,11978939.0731515,18190162.4338313,13347117.019034,11991175.9365782,14033450.9052826,18190162.4338313,14285722.4894954,16774397.8575723,12713670.8435382,12356980.0221015,17805754.5545623,16579386.6440832,13835722.3696677,13935239.8767029,11978939.0731515,15276550.512325,13115526.3174481,17811744.0634867,16593344.0278293,16270197.1488361,13315016.5017728,12701494.5296277,14303365.6105016,16642310.8875974,16600513.4244846,15959361.2871517,14091758.7192042
2028,16057399.9047955,12992108.9847288,19708793.5041982,14478596.6079677,13005489.1584009,15209455.8820901,19708793.5041982,15478145.4774675,18176463.6527486,13788861.7735841,13380275.5095434,19287319.3330979,17986149.0522998,14982451.5757023,15074112.0625562,12992108.9847288,16545505.3403615,14169646.2859526,19293941.8780921,18001310.9312038,17610978.8074504,14443691.9725628,13784136.3197818,15506166.4259095,18016638.8113059,17977656.1002749,17262744.4872813,15274357.6853263
2029,17200127.0174513,13931747.9003704,21112124.0956749,15528040.3576298,13946170.848076,16296395.3550791,21112124.0956749,16577421.7282556,19471666.051039,14784670.2104182,14323488.8814455,20654710.2166206,19291655.0898362,16040285.6187141,16121526.7563767,13931747.9003704,17717485.1418077,15136372.887804,20661927.688182,19307917.337579,18846177.2394941,15490548.6112289,14788887.1487305,16618249.3068864,19283104.1819542,19247359.8416233,18458949.6453423,16366293.2961148
