"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,1887740.76136848,1405043.10606334,2401607.74403802,1694870.03240229,1520238.87326099,1793996.57059513,2303134.73338288,1825017.78085222,2111773.86371962,1611203.02280894,1578696.1714671,2252802.52966615,2107590.93107197,1775320.25443552,1796080.80994631,1518449.43731855,1945881.04276785,1698089.35949162,2253615.66223845,2109669.8148607,2075626.48463648,1690073.73901648,1613032.5876866,1831209.05480703,2123079.22479087,2127630.82367452,2035391.45028862,1801044.77902517
2021,1853724.02312605,1384777.51860555,2346737.30373555,1664803.81729979,1494868.0515069,1758343.58701971,2260219.23945179,1792217.27378449,2075763.67828926,1585030.71176245,1548854.03015898,2215187.76936264,2068247.69826234,1740773.59771997,1760045.69510177,1493171.45483214,1916973.9412109,1669285.58901172,2215992.21330765,2070315.63263694,2035768.10100719,1660223.89269746,1583441.64240616,1791794.50839489,2084624.68174399,2087670.35232734,2002959.47323241,1766523.94562243
2022,1823996.76205892,1376260.45636313,2296298.38590036,1635507.28857186,1471167.71494443,1725173.05688223,2235683.90486173,1766844.23581531,2055290.90721219,1563975.91732051,1517650.56916089,2185217.55108461,2033380.00115993,1708089.67499972,1733609.33612501,1469513.76993364,1887557.43876667,1636088.55482272,2186035.07566776,2035344.709032,2000792.65114119,1631122.21530745,1555969.7895986,1755690.12600737,2048795.48423104,2050212.38553524,1975103.48193965,1736103.21135127
2023,1728163.35580943,1305643.22279042,2172337.89510848,1553970.68292718,1394792.73119669,1635435.33494266,2119603.38953913,1679283.61241703,1950183.06655821,1487448.80454209,1434793.9402709,2070338.79202002,1928051.33893607,1615631.57001423,1635173.64041839,1393227.64989158,1786844.1547158,1538352.18165678,2071150.08023675,1929899.90431187,1891803.1419076,1549813.66329763,1478430.2661446,1664579.32420206,1936835.98884438,1941160.35152148,1870205.90166265,1647074.38305992
2024,1609140.47987514,1212298.37515485,2030852.33204469,1450727.92142856,1301126.79041882,1524376.51251665,1972904.56617739,1564167.82524821,1815294.54610826,1386687.12547098,1335025.07026572,1929864.22413503,1798655.71712481,1501243.77142873,1513244.88716826,1299654.1088698,1663325.36959428,1421550.15965469,1930654.81575557,1800382.56754024,1757460.34787608,1446841.48180939,1381984.93713561,1552264.62175905,1802508.79240508,1806760.04871822,1735178.8247004,1536626.96356869
2025,1488262.1065567,1121713.1487647,1880308.66273614,1345754.71054189,1205586.00041172,1410344.50793673,1824751.12279915,1447157.52252346,1679219.15498904,1285524.52271472,1232684.89378502,1784910.03804905,1668106.33677435,1385806.09493293,1392546.96435287,1204203.5306895,1537436.7079733,1304785.99605157,1785672.58873394,1669706.56412444,1622396.20110967,1342343.00622513,1282156.57498119,1437737.59102781,1665399.46241286,1670725.01343018,1598746.3374725,1422851.21987433
2026,1374372.7009867,1035677.46651349,1739291.76818787,1246667.41100872,1116336.94745625,1303456.60196035,1685789.09117685,1336738.98112309,1551402.80591129,1190130.87544204,1136453.29055024,1647678.04594331,1544273.42286719,1277305.78039531,1280288.8703163,1115038.5280511,1418983.24407637,1195971.68679564,1648410.14057026,1545751.68442878,1494930.00205117,1243356.15131947,1188687.19258973,1329797.72161364,1535707.84927234,1540838.18413415,1470313.9757373,1315009.0398766
2027,1268860.74670988,956016.790516651,1607411.71691625,1154892.40720451,1034141.75022696,1203516.57761637,1557352.96363854,1234003.54331546,1433060.08970425,1101618.85098572,1046903.47144625,1520130.50426349,1429985.34452853,1177185.35760171,1177202.00347113,1032921.76780217,1309376.21361565,1096135.67878182,1520829.24974172,1431239.42041173,1377058.42104195,1151826.98881646,1101504.76966212,1228734.33950677,1415506.22817881,1420679.83813761,1351209.04251221,1214503.84553498
2028,1171924.50483643,882972.964347683,1487799.56818627,1070119.55329689,958595.286428991,1111821.8748447,1439447.0211632,1138660.44518614,1324230.63320902,1020194.96645712,964564.732343999,1403243.012928,1325559.45039269,1084800.39586733,1082631.39284817,957448.956251386,1208898.07048588,1005133.85011428,1403904.03225265,1326789.04083553,1268794.37890359,1067358.92447697,1021679.29287588,1135916.15794856,1305079.62105513,1310206.52413217,1241558.42181129,1121476.58480107
2029,1081438.96935239,815280.087321328,1376501.38508761,991494.535328895,887653.19509554,1025946.23189435,1329804.10573888,1048995.4840115,1222939.53810841,943740.98390795,887634.792142629,1293582.34802846,1228591.31122052,999684.026399884,994744.161188242,886736.607268256,1114582.70360811,921372.950056467,1294205.21940682,1229707.99298881,1168149.32824839,988884.816215095,946335.823634706,1049015.80563055,1201885.21422312,1206494.19327361,1139459.24099096,1034333.62519949
2030,997114.981458638,750933.554966338,1273152.87991888,918115.594974673,821813.779332659,946058.166733162,1227344.75775033,965242.764733835,1128764.52711193,872787.343430542,816179.992986436,1190571.39385957,1138714.92542919,920335.455236991,913606.229659579,820869.18019048,1027014.140832,843733.530011789,1191155.88321391,1139731.39896366,1073745.87113375,915719.219218555,876731.250338252,967365.533347284,1105589.05949815,1110030.86367495,1043802.74591362,952850.92889065
2031,919989.232512204,692187.388742247,1178732.00494468,851109.281126658,761021.35778612,872889.57025447,1133215.67434691,888286.409588713,1042264.72568376,807474.765302728,751108.968186001,1096875.7007151,1056794.04897066,847776.369491877,839411.096117118,760133.489502208,947161.504898312,772862.523628106,1097420.61866327,1057721.82500461,987757.999386169,848905.12128653,812976.568464861,893070.150038005,1017020.17769074,1021663.89364636,956477.276818356,878331.696207436
2032,849404.974806702,637189.659742149,1092239.86008116,789747.871060033,705274.551074963,805680.688287595,1047265.00472282,817643.571589537,962331.547640302,747892.85546801,691711.413693691,1011298.50606983,982301.463094315,781339.959818692,771703.349557229,704444.09455614,874519.79047587,708077.591972531,1011804.06241105,983150.090132649,908473.21261612,787718.936689947,754607.09617425,824762.297971267,936002.346069152,941033.952962469,876163.4244958,810176.691563293
2033,784873.922104282,587805.177856763,1012728.14880155,733700.564537327,654474.035314958,744616.5555507,968338.874236506,753029.841494128,889466.760388296,693264.632736732,637208.907788649,932418.139085984,914358.436602327,720986.284518773,710342.828212752,653697.04654454,807935.466875081,649185.873767044,932887.126441437,915136.059527397,836159.678522918,731832.05867743,701124.012563693,762251.21674396,861610.631121986,867295.683119016,802801.234822065,747726.103413355
2034,724548.445704475,541408.991305176,939093.435909634,681154.740409007,606575.433691139,687585.143409659,894246.452707671,692633.746619022,820970.836102599,642056.233098841,586489.188780611,858948.269695692,850761.782124944,664634.605818016,653179.197264963,605852.164852519,745846.135372828,594735.063813899,859394.219777269,851476.173940895,768684.264221679,679438.605223473,651089.435490327,703804.261918919,792089.929171157,798527.721703704,734468.27058699,689069.266816058
2035,668131.142630221,497425.995701878,869677.819774614,631753.606249754,561555.594479067,634242.464611797,825128.369566608,636042.215485468,757135.823208418,593868.277442197,539207.312642547,790434.834052224,791072.637785208,612178.771039492,600004.730694856,560885.072607566,687938.431513528,544127.796980586,790833.616246041,791727.993300299,705781.682663173,630181.962802938,603980.943112518,648817.237956074,727032.192349248,734080.14088643,670956.806796448,634310.05128304
2036,616208.496431083,457195.12022567,806072.479723083,586192.344285683,520123.023551283,585058.328772713,761048.291567637,583955.765784366,697892.107551993,549473.157449036,495830.320435316,727537.111764029,736001.345453089,563952.784557863,551313.569089829,519500.737485893,634699.438721442,497833.572983311,727900.726992732,736603.800242947,647768.589879215,584751.251944857,560472.309156262,598185.406800794,667262.360335852,675126.131049973,612745.810792262,583984.124128705
2037,568269.764460699,419875.259887876,746368.361241984,543976.778486793,481596.671362412,539561.492424071,701931.14100212,536161.474692125,643509.138266983,508522.832548999,455904.800668217,669452.373927673,684348.454029166,519458.058526401,506675.027702709,481020.339256891,585704.021655346,455472.854095261,669784.53652458,684904.887165124,594519.260397951,542642.61988319,520153.958770901,551462.890839583,612245.491523705,620880.898092924,559246.460733084,537607.648941259
2038,523942.405580447,385433.663910088,691565.101235189,504301.060485782,445835.656055348,497533.971256884,647563.275111352,492116.340684873,592942.083532659,470567.590103356,419041.956511072,615665.084212281,636707.987885001,478355.482241973,465783.180462783,445302.399276587,540410.724099048,416655.385635151,615968.311196605,637223.035014033,545338.858653717,503082.464498169,482641.241676405,508253.713193051,561305.52890757,570900.167772341,510207.85957637,494856.78146877
2039,482335.473088784,353488.859349722,639319.165168043,467012.767441027,412197.946810445,458097.843501757,596421.265401399,450874.256322619,545531.72196147,434777.062661133,384475.943745556,565585.230541169,591225.742114125,439808.186393323,427487.242616409,411705.605787729,497976.087160566,380571.689643305,565860.961326696,591703.001637057,499403.559193733,465892.183992094,446694.068948367,467691.347298168,513785.252534046,524162.463439854,464722.477639715,454722.919107829
2040,443161.46731753,323211.18781298,590209.355412161,431423.800728284,380338.03678084,421098.93038992,548045.806348365,412097.774094873,500737.807030359,400927.701126317,352005.80809087,518586.699731184,547927.616030518,403673.830452124,391739.883634803,379886.374870962,458033.843850861,347046.262883077,518836.558542713,548369.613455562,456513.929542597,430364.037584895,412780.823239913,429529.061786956,469264.060131058,480347.725519836,422412.50591053,417048.191180845
2041,406677.230086455,295062.037435954,544044.279641433,398049.278029108,350516.353613946,386560.522520213,503116.373357988,376279.693128504,459215.273216686,369260.38163893,321916.075221981,474826.934039501,507138.824670049,370177.044503485,358502.467808633,350102.394403114,420556.859540188,316089.728613204,475053.136389608,507548.911610088,416688.789770225,397103.36473929,380902.5590812,393995.214416754,428062.682966471,439740.88097125,383438.054798736,382088.953112225
2042,372685.782695894,268674.015057582,500892.077432032,366782.663332008,322484.286753396,354348.156285714,461183.768808414,343069.089839095,420578.072105352,339592.88671776,293946.513100187,434319.013452361,468910.191852185,338915.539644417,327876.321890453,322103.898984146,385611.116067633,287492.534815473,434523.6534988,469291.084139926,379764.310283468,365823.729966853,350930.392641523,360851.313362192,389739.074025101,402037.814496171,347373.219742233,349595.921592485
2043,340893.685794216,244139.745248853,460499.071657937,337185.563613303,296189.245793005,324214.859452622,422030.987527646,312285.807149172,384413.437573385,311790.689703004,267843.043315986,396335.719646965,432690.12106072,309759.813873725,299286.132584359,295840.526374383,352954.181006769,261078.810188832,396520.705903808,433044.021665499,345557.862536261,336363.620280258,322466.020107743,329886.889000811,354244.374488598,366970.557868089,314075.332557323,319313.821583136
