"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,17.4981870475826,17.3592176323631,17.6890227327856,17.4491221136533,17.4070815866036,17.378170245436,17.6890227327856,17.5409621280696,17.6637011221588,17.5201705588761,17.3707949979335,17.6113398331174,17.4483294470723,17.4010427570712,17.5401695791484,17.4110318179055,17.5547902072059,17.5147489441059,17.6104653112038,17.4448872705189,17.5936458957271,17.4581905094866,17.3592176323631,17.3990460466882,17.5612447033277,17.5167734762524,17.5974182347037,17.4133090381501
2021,47.3692923636689,47.1363439454889,47.7531821677648,47.3089784822804,47.1840433421599,47.1408815024897,47.7531821677648,47.4888488189201,47.7405356473958,47.461365731242,47.1494162037697,47.6160506323572,47.225647530094,47.1374207546438,47.3773743757517,47.1954524347079,47.4671060945318,47.3154771420651,47.6134973758853,47.2149282764828,47.5642992388914,47.3364204247205,47.1363439454889,47.1775811965612,47.5073189474928,47.3582481873194,47.5742199112474,47.1876707274581
2022,58.8646662566111,58.5057188471345,59.4032471739231,58.787884349287,58.6681293408755,58.6030072800722,59.3404798459679,59.0686191070932,59.4032471739231,59.0429406777107,58.5057188471345,59.1982042615773,58.7357538199873,58.5276301299897,58.7898737501282,58.6844521092528,58.8845592419129,58.6060479650169,59.193621945639,58.719485539323,59.0900769158279,58.8274999329117,58.6448547686139,58.7088566544771,59.0231147931254,58.8078243992503,59.0694977897085,58.6852757764708
2023,62.7821071996154,62.26938848394,63.4930987927703,62.7190346327211,62.5669671159037,62.5105657947733,63.374865092475,63.0959209113948,63.4930987927703,63.0786946857241,62.2946496199218,63.1641746644567,62.6977684832707,62.3402235024417,62.6502633349654,62.5862854483572,62.7051148422961,62.26938848394,63.1575882054258,62.6681841954753,62.9900378519484,62.7671590637911,62.5975451325957,62.6704520312889,62.8851293471655,62.6792931286166,62.9650664505588,62.6252091781079
2024,64.0489221233096,63.3527525877356,64.7423850934295,64.0580669307048,63.8946865100758,63.8273157095287,64.5907174110745,64.3517141345334,64.7423850934295,64.3660976940717,63.623137868697,64.386214841364,63.9829372309694,63.6060907775097,63.7631979858107,63.9161629545773,63.9165601973489,63.3527525877356,64.3785055742602,63.9508610785681,64.2415595000909,64.1120526248911,63.9621637317284,64.0331499486806,64.1938763272146,63.9208993985073,64.1717311491465,63.8802158222222
2025,64.5825614589874,63.7758011653301,65.2568786320899,64.6435086083655,64.5233818270516,64.4061797112298,65.00096632871,64.7693963228692,65.2568786320899,64.8364818036632,64.2786066960703,64.8892543736722,64.5587075765459,64.1596759357877,64.1189278992603,64.5465260084042,64.4101491690762,63.7758011653301,64.8806809391329,64.5257249433317,64.7931121063523,64.702098185853,64.5936202720948,64.6784821764301,64.8027330492589,64.4317879762921,64.5993573860514,64.3819973817609
2026,64.9473936458037,64.0500538663727,65.6248570334738,65.0255856977054,64.9800945044227,64.8126420969292,65.2643471543713,65.0111276887454,65.6248570334738,65.1360282722104,64.7542429654816,65.2426325527695,64.971591983243,64.5628708126174,64.3570746143222,65.0048030998073,64.7211187946174,64.0500538663727,65.2322712072656,64.93830754554,65.1746152787355,65.0883688330409,65.0512317466505,65.1354890521268,65.2308790950979,64.7456075895969,64.8682335325894,64.7007661273598
2027,65.2994490065336,64.3270175766528,65.9716916562134,65.3801229357192,65.4212319142727,65.2110991911297,65.5151572972048,65.2425266067469,65.9716916562134,65.417763827304,65.2158472248815,65.5943746629876,65.3734716715319,64.9570243308771,64.5952611035933,65.4473267581011,65.0208430984359,64.3270175766528,65.584410215789,65.3393471534569,65.5386104767036,65.4470883641574,65.4989081286644,65.5710210828716,65.6430595761522,65.0419714112275,65.1196922809386,65.0113566177269
2028,65.6754704080003,64.636318481796,66.3339892686576,65.7599670119447,65.8713484258937,65.6314032132344,65.7798687600527,65.4944366765639,66.3339892686576,65.7192366579014,65.71076721626,65.9770297333945,65.8021632493013,65.3747941108436,64.8616919917578,65.8987595505637,65.3529838715888,64.636318481796,65.9660507496705,65.7675756339079,65.9260745289236,65.8301911168274,65.9833581260964,66.0249491652521,66.0760876249024,65.3658587265071,65.3904277718757,65.3514285362896
2029,66.0794282143268,64.9798996249696,66.7098099724657,66.1746852322821,66.3285040339757,66.074324665179,66.0653785584541,65.7699872297711,66.7098099724657,66.0477118313749,66.2460322777905,66.3889132476616,66.2677179864576,65.8126270373568,65.1549534465336,66.3571614564411,65.7251324619039,64.9798996249696,66.3776647598469,66.2325746437591,66.3463693982824,66.2493247510494,66.5098441030313,66.5034014802064,66.5331786557327,65.7213713164517,65.6837506674412,65.7253865197515
2030,66.5073340260183,65.3469193586497,67.0960988230044,66.6206690051803,66.7834913870551,66.5422190202759,66.368141769034,66.0731255574625,67.0960988230044,66.4078714626443,66.8235167293843,66.822239162193,66.7616972677266,66.2598298562013,65.4705625124577,66.8140000402538,66.1382310257661,65.3469193586497,66.8098154164841,66.7259890414885,66.7912205490717,66.6987179449242,67.0628642023946,67.0131602266626,67.0062070073818,66.115317787389,65.9946000607319,66.1368454366404
2031,66.9539480426572,65.7244498135555,67.6357103697645,67.0922445811843,67.2289743103751,67.0418460514764,66.6843465178785,66.4112686357107,67.4898027306609,66.8011025039817,67.4294832077764,67.2662362483484,67.2701518124402,66.7177013659344,65.803684867996,67.260748134078,66.5837570073095,65.7244498135555,67.2521326547568,67.2339260526662,67.2521863192187,67.1734763584147,67.6357103697645,67.5579204996512,67.4948443123255,66.544501683197,66.3183009863049,66.5799040414249
2032,67.4169179251154,66.1075956984955,68.2261993102387,67.5806079016391,67.6820130430711,67.5661615707778,67.0109038496836,66.7821790394641,67.8892848062576,67.2206648671193,68.0568387961215,67.7125041764056,67.7872720093864,67.2017137406578,66.151758397736,67.7119207912035,67.0559442538966,66.1075956984955,67.6990962175089,67.7506027402264,67.7265682199424,67.6645993838468,68.2261993102387,68.1276756381386,68.0072165056907,67.0017390352873,66.6544951186796,67.0473930164105
