"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,74791.3802230778,44720.3183670632,111819.69567239,66656.4373852882,58739.4525625389,67863.7481677406,93665.5796288769,71317.2607250591,83242.6586611204,63625.7764476723,60835.3604608675,89016.6895769433,82930.5254049376,68684.3689211169,73489.9355522787,58644.6676991031,78308.9282611513,69840.2623144241,89049.9320937662,83045.8480662198,82507.8803585106,66419.5941537575,61410.677387823,69443.1541596049,83604.2609669206,84209.727119397,80442.5471901055,69355.997536275
2021,71954.1646725548,42774.4020307076,108354.934543407,63988.0807134862,56453.9076671692,65383.75157904,90177.0955725342,68828.8391269179,80345.8823910306,61170.4286586381,58419.7493469642,85922.456295771,79814.476994969,65896.1723719127,70183.1216934344,56363.1510138618,75125.3335726929,66486.2957723929,85958.574781445,79925.7783517195,79252.8289792475,63760.8440241905,59190.086091032,66941.2186230256,80514.7453276057,81004.3668100699,77423.1804446806,66994.7466347354
2022,69030.940431496,40787.664287983,104723.468813249,61314.3612092225,54160.4912041883,62823.469753268,86482.4139176839,66234.4771601752,77280.8899008906,58690.8825504694,55987.0184758334,82621.9449385956,76599.5580153049,63037.1234749047,66818.5382030269,54073.8728099663,71855.7500942375,63103.4201380128,82659.8016123664,76706.8514889429,75874.4735870642,61096.3761553619,56945.7246233222,64365.254426482,77286.8663252733,77650.8035743942,74246.7671762582,64530.1828018899
2023,66006.2340928813,38676.5816904811,100818.502335347,58596.5483850549,51823.183782071,60155.6316317305,82625.4482049113,63495.5820650618,74045.1282256308,56145.1007979738,53491.694380023,79126.0295025709,73279.222828572,60109.3923956262,63425.0801467911,51740.0124781793,68514.4202154158,59730.2538875558,79164.6050259778,73382.2946011918,72399.1254343312,58387.8265601931,54618.6493065046,61688.0835932462,73928.1146226805,74175.1960174768,70920.8686152978,61912.766302837
2024,62968.7631851788,36611.3302648431,96779.1842294726,55906.7157730316,49500.2022960398,57464.806162992,78728.2523593134,60698.5194936153,70745.647520272,53601.5333619205,51001.948569498,75556.0896485068,69958.476421253,57192.6775294239,60083.0398962703,49420.7909405116,65189.4102762782,56436.2417583825,75596.0028268041,70056.8615832351,68921.3095448274,55707.189249436,52281.2074568923,58992.225502331,70540.701390497,70680.1163706981,67546.6541998181,59235.9189025882
2025,59984.0955366966,34626.5830395759,92716.5400230032,53296.7319366543,47238.611121735,54811.095788574,74883.9617154149,57905.6990337065,67466.4377997446,51109.8429139482,48567.3438729676,72005.6784565797,66711.487486178,54345.754918826,56845.1839492051,47162.154355289,61945.4094028965,53267.8007669486,72046.467769878,66805.3539393679,65512.5467642416,53106.2716041184,49988.4245564494,56339.1217808157,67201.9076884449,67241.7524505619,64199.6722731104,56566.7706072038
2026,57099.0377774256,32741.5666665779,88715.0264581496,50800.8889073567,45070.3346865414,52242.1288723798,71160.2880791544,55168.6542906063,64269.9363492982,48705.7119042117,46219.4889572503,68542.9555358646,63592.5585370174,51609.9415885439,53752.1030247396,44996.9365316779,58828.0529030859,50253.771707629,68582.1094037194,63681.7880551675,62222.1464824764,50619.5759995606,47777.4654536662,53767.446552101,63964.6111095816,63914.038677886,60934.4717668038,53954.3664591525
2027,54343.1983454282,30967.4554189267,84829.8410071796,48437.3442280928,43015.8475677935,49784.6491733064,67598.3850884066,52523.8134636596,61198.8139302298,46413.1792691329,43979.0437750422,65208.452881389,60635.5987328097,49007.2634010955,50829.0856245157,42945.3952513368,55867.1053292904,47412.3451696513,65249.8690770757,60718.7972461549,59080.2100002727,48264.8682789053,45672.2689593061,51305.6900937815,60854.7361147364,60730.9905278488,57790.0310492626,51433.3350700634
2028,51734.8726633705,29309.3426892985,81092.7783978832,46217.374317025,41080.3486175903,47455.2255754023,64217.901041311,49992.627725395,58279.0521008305,44247.132969849,41859.2028747962,62035.0758639581,57858.7674405652,46557.7173357094,48089.6962435536,41012.7340385639,53078.835065992,44754.026398585,62075.7387238004,57937.5639170743,56110.0927745272,46053.4231327203,43683.3993810878,48970.8179188611,57895.9860975053,57716.1682442204,54791.6641965921,49025.4537017878
2029,49282.1150880244,27767.1595001257,77533.8685823964,44144.556507215,39267.8771126378,45262.0766319533,61035.9904806537,47585.8952309075,55518.3811536094,42212.7856596528,39865.1428144051,59037.0532089243,55271.7731349504,44264.3515702683,45531.7379571638,39202.9839163574,50469.5023756754,42281.7045787883,59078.0973086061,55346.0074605034,53320.9589445477,43989.6296669109,41817.9480207478,46769.6848251592,55098.9322111253,54877.6899746798,51949.709346324,46743.1872195337
2030,46986.1857626655,26336.6428537719,74165.6229366609,42218.8893356984,37578.0835796058,43208.8657719237,58056.1916487754,45311.0422340692,52921.6998801403,40312.0444598799,37995.854941651,56221.8643188932,52874.4049873303,42126.1413858925,43152.9338266016,37516.5842919231,48037.1816011339,39988.2531522221,56261.5241890606,52944.1916614732,50710.0655272819,42071.7446213106,40076.359820593,44702.7295312591,52462.8596229802,52217.637743148,49267.3548378018,44591.8471220375
2031,44843.8831594816,25010.6001193396,70994.9804191115,40434.9752619985,36007.072713778,41292.7286064056,55277.7894272106,43169.6037644676,50490.0221459519,38540.6482676196,36246.5121527145,53588.2823216221,50661.3190623749,40139.8529101351,40947.2163782362,35948.3000997232,45776.90370011,37861.9014397805,53625.6440391014,50726.8777319563,48269.9197265675,40295.4281579214,38456.2963181079,42765.5945173385,49987.4247465771,49732.7101088575,46744.7681731892,42571.0065999666
2032,42850.1762029446,23783.6912282057,68022.6268177747,38785.3442383455,34548.0142320567,39508.4696151898,52695.3451535215,41160.5597972452,48220.8207377245,36893.4385832923,34614.0529539933,51129.2950459956,48623.5796876824,38297.3964594243,38907.1401883619,34490.8711690682,43682.7714396853,35895.6005715975,51168.1335106183,48685.1738316803,45996.3277415884,38653.0561016828,36953.1982870511,40954.6666518418,47669.4718997639,47416.7128282793,44380.7220395076,40679.3398467054
2033,40997.3140151893,22649.4397393704,65244.5999720749,37261.2617135735,33193.6758392258,37849.5845411581,50300.5039169231,39279.769680155,46107.6168497495,35365.7749423492,33093.1710279108,48841.6668320601,46749.9228165287,36591.4123395657,37020.8598385947,33138.7377966291,41745.1299535261,34077.1701536215,48879.1449132476,46807.8366486725,43877.6754487953,37135.8422928656,35559.6672787715,39264.5514226413,45500.1328083011,45260.0820696875,42168.054929592,38913.0883795235
2034,39276.5410115612,21600.2792063422,62647.7204396316,35853.121028513,31938.6534735661,36307.1729548034,48078.0524443729,37520.2545111844,44143.5987103865,33949.8527986671,31676.581568692,46715.6014180499,45027.8577430986,35011.8286266633,35279.0779005136,31885.8449988861,39952.8392669253,32396.5554247409,46751.529886779,45082.3971680919,41902.9175154924,35734.1646591617,34267.7424071665,37686.6762027149,43470.1719706384,43255.1484310345,40101.2844321264,37265.5513261493
2035,37677.1629859584,20627.9250413852,60221.4151695777,34549.456472764,30773.065720468,34873.0128798904,46014.5698534114,35876.6161513156,42317.998219635,32637.0951981086,30355.2245090734,44735.9741971733,43443.6515136978,33547.1003635004,33669.6568066384,30722.7426819699,38292.6014951078,30842.2859084773,44770.2203538535,43495.1210639719,40060.3301831825,34436.5571068915,33069.1374113962,36212.1799591744,41569.9342357453,41391.4385456343,38171.0319351968,35729.3152719432
2036,36188.8725313505,19724.1898632561,57955.8374834316,33340.4032364934,29688.3123187358,33537.4489547843,44098.5747749349,34340.8218767087,40616.5994245882,31418.8712228886,29119.5832359359,42893.0833765429,41979.8959708679,32189.1754336969,32181.0212088827,29639.636798101,36751.9313061117,29404.5143118923,42925.5963162914,42028.594421247,38338.0304519064,33233.1632811606,31955.4238484452,34834.0017467493,39790.4806105408,39657.8464082407,36368.614494808,34296.3128641209
2037,34801.6157054358,18883.4976708517,55838.995375245,32215.1427707828,28676.4716591661,32292.3703104619,42317.3271782095,32905.0650519245,39030.7379955434,30286.3871157967,27963.6026055954,41175.1749217754,40618.5389000729,30927.9176439031,30804.8678468558,28630.4446829501,35322.0743469867,28071.1278561133,41205.9505029026,40664.7596073147,36730.1614125904,32111.948709239,30918.3415015809,33543.5854482076,38122.8488348906,38040.8563489962,34683.6104733407,32956.7627454639
2038,33505.7148607227,18098.936705535,53856.4536791366,31161.5131411915,27730.5933485193,31130.2055241444,40656.8585574708,31561.750725329,37549.9285620461,29230.5593327418,26879.0952474904,39571.546100017,39349.3785135484,29752.1739874766,29530.960215686,27686.8143559604,33992.1428963185,26833.1827039645,39600.6098769543,39393.4040177915,35228.3598886251,31062.5332990093,29947.3478076925,32333.0680644257,36557.0736355658,36528.5335775089,33106.5776451286,31703.0439011896
2039,32292.944306872,17365.6326925062,52000.3269209741,30172.0799103279,26844.37476901,30042.6580181457,39108.62470951,30303.2692487234,36163.8259862849,28242.4984014743,25860.4673815804,38071.2447797525,38165.6047313906,28655.7514178912,28347.9952526578,26802.0994394138,32751.9434265454,25681.4595379819,38098.6432771548,38207.6817875984,33822.9473183384,30077.0102078055,29032.3322772879,31194.2245051731,35086.4178604194,35113.1928701489,31630.4528310875,30528.0114496881
2040,31155.0627308447,16679.1355521087,50255.9688087401,29241.0971742293,26010.0500322863,29022.0691013299,37659.4624295886,29120.9240131579,34864.964672985,27316.3894800421,24902.5191273976,36663.994536873,37058.8283733074,27630.4872379191,27246.4175579919,25969.8239445194,31591.9341919734,24607.6453053004,36689.7894213987,37099.1725391308,32501.1805436863,29150.0883117734,28166.8750004001,30119.0547432636,33703.2514242525,33786.915439601,30245.8644103817,29424.6122361589
