"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"1",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2021,1.03910934392816,1.06032788993834,1.06527366386521,0.950487727490583,0.83664312480807,0.891673580496714,1.36142088301202,0.892329950685845,1.12635211915645,0.879417575809751,0.801082641845366,1.17023290766287,1.1533674499126,1.03118575492355,1.27179084521144,0.835125156766194,1.1483771837231,1.25785576629977,1.17089391832032,1.15555071961251,1.24211809308351,0.946102844369493,0.765879682539305,0.930393567683803,1.15575926076703,1.19552881863135,1.11479773092801,0.823540968199506
"3",2022,2.05463574738741,2.21535028828386,1.96472045043487,1.8775776477182,1.65246671374824,1.76775252602907,2.70257680144119,1.77205315597361,2.23428827331355,1.73984932724683,1.5792892853374,2.32444712472303,2.28733292650778,2.0373217988104,2.50772023703312,1.64935748349245,2.26521596238835,2.46863359205288,2.32564489988852,2.29170251335446,2.45722805982212,1.86863869904632,1.51863085446406,1.8467710999064,2.28656898591249,2.36856650440052,2.20540468309449,1.63689033979035
"4",2023,3.02475223239096,3.35375521495341,2.77523767911394,2.75529945689072,2.43076864158216,2.60230433092541,3.9959611626754,2.61975283247683,3.30484844561558,2.56270287836897,2.31070870210295,3.43849736185178,3.37526122445803,2.9937175031124,3.68403664351576,2.42605828693801,3.32781532210113,3.61219804298529,3.44039109001982,3.3818615021388,3.61843804678766,2.74208114824013,2.23638054864387,2.72396975029994,3.36834395271048,3.49225042902487,3.24923221583795,2.42040665584082
"5",2024,3.9173804834814,4.40393532951767,3.50713579908329,3.55546933150565,3.14437418559331,3.36672242448723,5.20491502777409,3.40935797970276,4.30367825059103,3.32322458741852,2.97066226250502,4.47531382005747,4.37680245538803,3.86625758538093,4.76628983853782,3.13840392153844,4.30319863066794,4.65058789937793,4.47798234605646,4.38572184536314,4.68243430292572,3.53842425641529,2.89490348544421,3.52647180750078,4.35889074106608,4.52854815648046,4.21406397465337,3.14895630063625
"6",2025,4.71201119594719,5.32965161006506,4.15703171077715,4.26728384093026,3.77900770492688,4.0475047152684,6.29026506739356,4.12114476985585,5.19468503090124,4.00246677282861,3.5529217614487,5.40248484285535,5.26805692518925,4.63894897749689,5.7208341269214,3.77182839185715,5.17294573047313,5.56130131281461,5.40600465564907,5.27887521816941,5.62500792903437,4.24678749898115,3.48252119313499,4.2392304584187,5.24038482284976,5.45457026770807,5.07656496304101,3.8027854286829
"7",2026,5.41305690249471,6.13495454277816,4.73260104648675,4.89631867479724,4.33976103050684,4.64928498766238,7.25314149246339,4.75223971046373,5.98318151747453,4.60092977749128,4.06395254378782,6.22433272263389,6.05612010797857,5.31739683730501,6.55171191385924,4.33159676758812,5.94217694041228,6.35169777740482,6.22877039878152,6.06842827365038,6.45315626002932,4.87279944267016,4.00229917634204,4.86818873993807,6.01923789147106,6.27457524688912,5.83673465896733,4.38311459329511
"8",2027,6.03465644178996,6.83699685949181,5.24602948318763,5.45464316929906,4.83884111923813,5.18488069663298,8.11025507920778,5.31246302102939,6.68365244439387,5.13076991693952,4.51589815025557,6.95700424636529,6.75694623157964,5.91676960011515,7.27794995411373,4.82985176697251,6.62407678403577,7.04030311745248,6.96243967968544,6.77045655157527,7.18545334148383,5.42851866014677,4.46415755754291,5.42780880831966,6.71062644919739,7.00334335989206,6.50901362321587,4.90116461690429
"9",2028,6.59157925334302,7.45492586196027,5.70907681065023,5.95557147410954,5.28837948165134,5.66699698541606,8.87960606638324,5.81379590572641,7.31109093270958,5.60494916533391,4.92006172853682,7.61668926341355,7.38695760294983,6.45237800236754,7.91782951365033,5.27871328641741,7.23577778714637,7.64624412225681,7.62264032967021,7.40141786207244,7.84000530633165,5.92713213536195,4.87935955878899,5.93199251491829,7.33170351511883,7.65857048016019,7.10811155383555,5.36840043816056
"10",2029,7.09687409319432,8.00487042592886,6.13160111356247,6.410562219841,5.70040468998053,6.10736017239517,9.57816303128705,6.26734003439292,7.87908742473668,6.03442683284037,5.28650186935807,8.2172902800476,7.96080592219531,6.93743276924596,8.48774787970354,5.69020051761817,7.79179058026032,8.18570565955314,8.22390884717781,7.97598532297252,8.43175870118161,6.3803334778608,5.25777078570899,6.39280364075383,7.89660663178555,8.25453958723838,7.64743042576219,5.7944520419147
