"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,8.28083577815655,8.0868522480504,8.42779125089298,8.2389300930785,8.2797163233157,8.33133707834354,8.42779125089298,8.2394081883463,8.26946189854607,8.23950795314487,8.2698069974068,8.19577035528935,8.0868522480504,8.33398959696788,8.34391209740691,8.1460538230429,8.37361240025209,8.29253373871629,8.32202909527557,8.36703008404406,8.14589939528616,8.3333215249614,8.32019301357887,8.26967044718415,8.33346370363742,8.35970841177891,8.14601911155987,8.35487562380681
2021,16.540568687262,16.1568596045839,16.8368776645928,16.4684638808351,16.4922263124727,16.5407762927566,16.8368776645928,16.4694833178507,16.5370930194937,16.4695882741283,16.5379744805627,16.3633833626888,16.1568596045839,16.6137767287393,16.6157901144822,16.3561098199032,16.7177191651561,16.4390452639732,16.5743666592513,16.7214349310759,16.3556133846522,16.6311908195669,16.6598967462536,16.5377940625793,16.6121225794608,16.7235907896183,16.3558813746513,16.7271585322225
2022,20.6234609848587,20.2081455577431,20.9844202454171,20.5497952707348,20.4758688066962,20.5034858150127,20.9844202454171,20.5512460948888,20.6611764036086,20.5509037805383,20.6618341991324,20.5301499638141,20.2081455577431,20.590471604292,20.6415026200846,20.5507395830027,20.7358866393337,20.2518815672082,20.5890352814232,20.8562317302208,20.5494763621901,20.7265284907122,20.762232968479,20.6618200362439,20.5880793002703,20.925277382379,20.5501916050995,20.9301433129421
2023,22.5615516108481,21.9310431594912,22.9810649728326,22.4940792498927,22.3209754337509,22.3258303609961,22.9520676104877,22.4959713763262,22.6213042514808,22.4951233918004,22.6219288954007,22.6242865080793,22.1671723497218,22.4194665856837,22.5526551097872,22.5874744114826,22.5479336814878,21.9310431594912,22.4778996145186,22.8385534097435,22.5858852144479,22.6885501228267,22.7036288064443,22.6219892861634,22.4168303306749,22.9802764458133,22.5867996918692,22.9810649728326
2024,23.334540585555,22.4829652568173,23.8656341113626,23.2715878926129,23.0280686932213,22.9886821606586,23.7516546807903,23.2742020792246,23.3818017370878,23.2728320436676,23.3816718187612,23.5420194826353,22.9633107161002,23.132396371769,23.3183693486206,23.4112765748573,23.2096252007306,22.4829652568173,23.2398683309065,23.6584875287721,23.4090508407467,23.4981846223514,23.5100352084996,23.3815367399756,23.1289171192381,23.850763017349,23.4105730621193,23.8656341113626
2025,24.1465571643597,23.126939302738,24.7707165160259,24.0956897136547,23.809626155948,23.7147571586109,24.5790044909082,24.0987473633462,24.1502074537275,24.0972349146296,24.1497981463539,24.4288187217189,23.7765583159198,23.9659901893974,24.1084000174034,24.2284586663444,23.9794877472836,23.126939302738,24.0555437125881,24.5197460281126,24.2256214373291,24.3409819801118,24.3905090091968,24.1494457598247,23.962181177699,24.711587299112,24.2278778310074,24.7707165160259
2026,25.1814812009461,24.0074526658282,25.8849116376154,25.1547139446892,24.8325394721228,24.6772078092582,25.6159382834698,25.1579695629486,25.1350365978163,25.1565889689079,25.1346481424567,25.5236824522635,24.8159031025801,25.0494250043506,25.1050837057207,25.2499395757726,24.9896374483981,24.0074526658282,25.0965071604625,25.6025385218369,25.246597539473,25.4069790871477,25.4962975948798,25.134111824815,25.045437620339,25.7686224679117,25.2492598325879,25.8849116376154
2027,25.8995596358427,24.5806473169884,26.6871154281856,25.8968049600346,25.5409895518719,25.3245981465372,26.3307291510468,25.9003362974121,25.7898466540025,25.8989978773353,25.7889881048226,26.3149924466536,25.550286922494,25.8237645369461,25.8019181350507,25.9397664985314,25.6729966412639,24.5806473169884,25.8324911162712,26.3694742516,25.9359887442563,26.1634041705694,26.2898045189426,25.7881614552907,25.8197526975576,26.5082817555895,25.9388535168127,26.6871154281856
2028,26.2593296839875,24.8067655970646,27.1402903209911,26.2796464090573,25.897745965493,25.6115526171977,26.678741220486,26.2834900891954,26.0641501263367,26.2821809304909,26.0627649744402,26.7554485767458,25.9309703299494,26.2548906896626,26.1606245100135,26.253372893085,25.9942804842277,24.8067655970646,26.2305066255049,26.7823412301672,26.2491971613455,26.5678515118001,26.7397558191011,26.0615456144571,26.2507713265932,26.8920481110474,26.2523089652347,27.1402903209911
2029,26.3085065920001,24.7349458017634,27.2957478040172,26.3498869391827,25.9511927040492,25.5884887653135,26.7128843747818,26.3541315334571,26.0066816674496,26.3528017575773,26.0048447659606,26.8903589130202,26.0008798501769,26.3946740804546,26.2248824709051,26.2311725826666,26.0085196738615,24.7349458017634,26.3412459027003,26.8884028811651,26.2266524746568,26.6695146793643,26.8960172186344,26.0031633633831,26.3903616301577,26.9651326067373,26.2300803585654,27.2957478040172
