"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,7107.46418270746,5477.30942863112,7914.71784361673,7888.72209173399,6873.31828467568,5477.30942863112,5703.94524237969,7907.46991962536,7855.92479380891,7892.024418549,7832.25072678011,7914.71784361673,7889.0647032346,6629.57769772435,6457.54492438841,7693.27920641408,7423.38760243337,6050.49304894894,6643.2059469802,6355.47819153688,7677.20130966108,6618.78689052921,7233.38313896759,7831.03085818242,6616.72983999708,6337.91052289529,7693.6021748044,7190.24576118811
2021,25497.5575291525,19645.8365829635,28428.9444845967,28298.8369603947,24684.4881078919,19645.8365829635,20443.5974927886,28365.5678280664,28079.8366627959,28314.4578156482,27998.6930822298,28428.9444845967,28340.8279489938,23902.4035643642,23129.7998734785,27572.0371610638,26698.1250347589,21745.0191961371,23852.8066644416,22847.647594697,27513.4071784096,23641.2659383947,26006.8582706846,27993.1968425473,23859.7820791061,22723.4186642259,27573.4619372426,25778.6212628912
2022,46648.6498021134,35868.9397967399,51965.8339937408,51771.946552111,45184.0751187565,35868.9397967399,37362.958260907,51894.4594426528,51236.9131006139,51802.008654351,51090.5389826109,51965.8339937408,51840.5578905178,43981.4697651428,42242.8066992915,50382.5391184271,49004.3972805504,39857.692261598,43703.0924295952,41845.2790860985,50273.798971059,43078.1036397708,47737.6629822124,51078.2225865948,43899.6248173876,41550.270186658,50385.6973642498,47177.3560711985
2023,67153.7312914074,51517.96713473,74761.578766999,74486.5792312496,65066.7594614962,51517.96713473,53736.6518641225,74662.453094312,73614.3135557204,74530.2270828394,73402.4463536595,74761.578766999,74621.9191337929,63611.0527313514,60720.5013231091,72469.373247069,70745.6703935318,57454.7713333783,63026.1173856501,60254.0050268897,72304.3965134796,61825.0434672193,68928.2869309504,73381.4309472485,63488.5598311716,59810.5994379727,72473.783241011,67948.7947962317
2024,86015.7191765298,65893.1570149325,95796.2753747237,95310.4330892531,83311.8494675016,65893.1570149325,68782.7657288451,95534.8669466119,94139.4524973822,95363.3655876446,93862.0498296437,95796.2753747237,95639.7537850369,81720.5556732612,77772.4224102349,92858.5755841594,90695.5780004174,73663.5069020649,80914.9784615254,77120.5073649035,92638.4111571944,78977.2120576658,88394.980355231,93830.2974095241,81558.7213051214,76693.3696873832,92861.9284580508,87057.9652649321
2025,107166.562744959,82176.4130972268,119507.040069174,118715.664703077,103744.222013625,82176.4130972268,85788.3909086253,118996.280791438,117069.769699614,118778.362725873,116714.2749954,119507.040069174,119291.705492972,101994.032578813,97001.1643223829,115643.666353073,112874.291043272,91859.2444391437,101049.064674942,96214.8629434275,115365.737953311,98074.0775099493,109982.387542938,116668.37055009,101784.412156535,95812.4250764283,115644.244618478,108413.962364165
2026,130433.801423177,100173.600039505,145594.515849615,144514.969352728,126214.482231279,100173.600039505,104649.265991321,144857.402574886,142234.616995569,144590.870089349,141796.395464863,145594.515849615,145217.090666962,124376.927503833,118060.895539463,140555.620467137,137402.171244419,111837.914270439,123174.00161741,117439.658725926,140213.345691014,118971.137648811,133757.605361994,141733.090351859,124112.629412844,116886.254724445,140554.077929194,131926.495834553
2027,152835.509933201,117452.860758294,170739.062794341,169348.946197134,147858.510013235,117452.860758294,122866.725334945,169750.056042472,166391.302134613,169439.579455213,165877.438015032,170739.062794341,170123.653813983,146056.108095102,138240.636245019,164470.381286008,161146.060619598,131059.878717302,144494.434260943,137951.371429337,164064.754460766,139012.769988749,156750.83360474,165795.265155049,145736.343453718,137177.031033656,164468.295883183,154615.449537582
2028,173616.459794181,133455.337741594,194164.247473257,192309.610469349,167931.526341836,133455.337741594,139858.320086233,192765.811233758,188822.125987322,192414.251746718,188224.507442903,194164.247473257,193254.973406761,166160.63920347,156967.358409793,186616.680116037,183113.805194697,148870.24077919,164381.434548825,156987.759167103,186147.726778686,157605.230542571,178035.015042919,188121.86722739,165786.654264646,156091.916080008,186611.960393452,175712.495176014
2029,192824.618810808,148399.797790545,215970.466107339,213418.870168446,186362.850346066,148399.797790545,155611.130205143,213926.356174624,209522.942928545,213536.245719183,208835.409012171,215970.466107339,214816.562881035,184683.768173039,174375.037930101,207259.405545612,203233.959141622,165307.113515272,182849.024396188,174506.762409708,206724.63301518,174704.794030091,197558.20991356,208710.100517454,184255.688296901,173655.741920536,207249.557493142,195141.04263871
