"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,71778.1684215956,56019.659738526,80404.5605655207,80164.149574026,69190.9022882743,56019.659738526,58599.7919634691,80404.5605655207,79154.8834690192,80206.7691857083,78845.9805651763,79720.9275290755,78654.6272971659,67154.5018289531,65770.0638317182,76351.3216980189,75062.005959891,61250.8120292964,67052.4315101188,65704.9867239841,76132.0655795611,66741.4445954802,72804.8326255343,78829.0065849488,66998.1267475818,64803.3859540244,76347.6780363619,72489.2946584564
2021,132813.15203272,103806.809306995,148948.034899353,148492.953093614,127874.588647931,103806.809306995,108773.838092909,148948.034899353,146312.676931243,148567.046371155,145709.852759216,147561.412170945,145359.13842098,124432.070318763,121837.947692367,140832.211131468,138837.62499882,113244.000251173,124326.544567626,122059.781376059,140404.45488794,123273.239714531,134581.158914456,145670.912014838,124125.948964371,120288.867215118,140820.41103706,134187.277039077
2022,191546.099976325,149988.280741724,214981.468769359,214315.879404976,184260.824017715,149988.280741724,157336.5728264,214981.468769359,210813.307475455,214416.245248313,209904.538256395,212984.287491526,209529.848295188,179595.227273582,175915.340611612,202605.111143759,200028.791803139,163177.833414361,179688.046076123,176638.117386457,201960.523861136,177515.426006919,193823.12742717,209836.161970251,179136.547398498,174022.774620715,202580.036296428,193598.18159092
2023,251170.228586367,197047.352848177,282076.098247407,281195.945506988,241469.465080604,197047.352848177,206855.009781594,282076.098247407,276161.730339954,281320.113263853,274928.573024583,279497.568873738,274701.533778865,235662.92446835,230881.621653922,265116.594855745,261998.579210214,213825.9340747,236086.647826109,232309.261158836,264246.154772153,232412.500223752,253789.950465157,274821.264428579,235040.309432064,228808.540490353,265073.862167502,253928.17868597
2024,312513.312084356,245565.80027494,351157.621124185,350057.887169684,300372.316469911,245565.80027494,257983.39320257,351157.621124185,343272.002754366,350207.110918655,341697.56501796,347942.871320004,341730.011051854,293513.829482004,287370.206665345,329181.977538419,325789.799791054,265939.610918175,294244.473886532,289841.804200811,328070.487975481,288736.033073336,315474.163944723,341540.682271939,292711.534803478,285290.010172258,329119.022282275,316022.585798951
2025,371512.723924902,292273.193411235,417573.89219612,416263.341405681,357030.482747892,292273.193411235,307333.546508504,417573.89219612,407771.424796742,416434.769142443,405853.598119751,413755.18525308,406066.06848404,349308.364843588,341650.978051343,390592.326758342,387248.335660949,316051.610711657,350332.063750157,345320.280264104,389229.164765839,342842.296787394,374879.025023255,405636.6856116,348320.136439578,339720.648906269,390505.900953656,375824.777529337
2026,428240.974954707,337296.031857877,481386.763431999,479873.482670188,411509.39688399,337296.031857877,354936.907273427,481386.763431999,469749.611097533,480062.258160575,467481.509912535,477072.200069236,467955.405423404,402979.139847027,393974.399798015,449536.292362511,446159.902071545,364301.343621126,404483.365777655,398727.385403468,447916.540003393,394802.743480738,431818.345469542,467192.901848728,401796.855895951,392280.481878922,449421.395781329,433309.713846971
2027,485608.709264523,383019.401223581,545871.36373079,544156.175217648,466616.08498336,383019.401223581,403243.1897061,545871.36373079,532395.708135397,544360.485031151,529761.285513014,541090.94538169,530606.324185124,457247.465150219,446981.630408413,509089.091466663,505592.910254854,413186.849969113,459398.456412606,452823.683296224,507202.533117174,447222.220305936,489171.881488275,529386.647712091,455855.593666165,445630.139556119,508940.967184857,491366.69851651
2028,544325.617208232,429970.707063023,611870.528628828,609954.131477424,523060.280117416,429970.707063023,452803.776035153,611870.528628828,596423.050738212,610175.663495423,593414.083877474,606497.49270757,594712.819041201,512915.83120104,501197.040599426,569998.802516902,566498.754293582,463339.737683888,515638.264533436,508310.868354356,567835.293345608,500661.787177723,547804.955612275,592938.529586072,511297.815224742,500307.747621301,569814.342386109,550698.126887609
2029,604325.046304544,477915.618195267,679320.794755418,677205.324074963,580891.691403511,477915.618195267,503612.894563177,679320.794755418,661910.126156288,677447.60209889,658522.110798647,673128.036840236,660027.810862777,569939.289069016,556451.887149155,631996.542250535,628927.00710738,514711.626252577,573137.864946168,565186.332184357,629550.237137815,555147.586699316,607724.419487246,657930.904887504,568079.366154027,556250.571796835,631773.70943017,611336.80331233
2030,662006.524797235,524064.494413319,744046.009988857,741743.246536245,636496.936816081,524064.494413319,552609.519829454,744046.009988857,724955.08813631,742005.925300627,721192.079984403,737175.145732116,722734.778798177,624828.576978822,609534.34764322,691476.4373618,689024.00173967,564123.80806109,628468.53257715,619865.724121528,688746.592556918,607535.570837161,665345.032080671,720471.123541854,622719.806099944,610090.519843852,691210.397129409,669699.423822192
2031,717722.814571414,568785.084895072,806474.891637616,803994.98636707,690218.291614773,568785.084895072,600041.83230417,806474.891637616,785846.44987588,804279.447818201,781710.725045077,799071.983967842,783382.549877857,677768.533878379,660966.320729433,748986.626291651,746831.661732914,611970.477953933,682100.873483923,672635.930330023,745970.134170961,658091.145733304,720743.67258948,780845.378269325,675400.453925686,662294.219557637,748674.52014069,725984.17209447
2032,774148.579579728,614278.997579247,869598.83663109,866945.738450092,744644.873823379,614278.997579247,648237.51928739,869598.83663109,847562.917243541,867253.09599058,843048.853692093,861701.612143839,844856.497552115,731268.13479451,713169.13848974,807292.133070122,805226.010516224,660606.190187976,736528.389969197,726069.457890045,803977.418413339,709179.684663554,776532.628843149,842020.697214915,728624.337257151,715330.258584087,806930.57130691,782830.495898921
2033,831782.481151064,660967.429361706,933988.148314856,931165.783067089,800241.624471436,660967.429361706,697630.603535879,933988.148314856,910601.506605426,931504.462753467,905710.790883511,925447.332294407,907606.072438316,785968.512674718,766425.162287241,866947.467151903,865039.387647426,710538.834868771,792055.687908418,780692.622395082,863322.109702968,761135.268151107,833361.050133593,904505.531330299,783032.280747905,769484.741615336,866534.81161118,840654.806824561
2034,890642.065680535,708891.031215086,999664.618807404,996677.719088018,857086.777829971,708891.031215086,748187.529609968,999664.618807404,974933.826411708,997057.11953245,969674.057116461,990308.830876215,971718.051032508,841800.470747717,820698.846833283,928076.200038895,926251.562918349,761754.36680047,848719.51905773,836506.467782882,924140.957570151,813930.974135037,891235.648734059,968278.27713895,838555.608341671,824827.861606037,927611.200182673,899464.118605689
2035,947252.974688713,754974.077461657,1062775.03967848,1059635.88734001,911800.299265127,754974.077461657,796866.684961128,1062775.03967848,1036824.71798616,1060062.07039772,1031212.67824568,1052670.15144713,1033405.21380182,895487.360842905,872945.267213881,986913.691347025,985059.170375695,811137.971768465,903307.046453961,890116.214994099,982671.680518182,864664.661739717,946752.053661863,1029614.210081,891926.475871157,878127.517649835,986394.992275789,955979.231839361
2036,1001908.98818727,799596.321205777,1123602.22680848,1120321.90825688,964640.043268758,799596.321205777,843985.371188043,1123602.22680848,1096682.88819589,1120799.57084922,1090728.0695939,1112883.90824764,1092984.84913703,947177.848201598,923541.733910389,1043758.64279978,1041618.16211895,858918.421715444,956122.680110879,941799.722803121,1039215.67928416,913651.902944783,1000076.86865986,1088915.4981721,943294.070037757,929775.973781741,1043183.69361928,1010448.64977039
2037,1057269.61460192,844990.283945124,1185082.03323571,1181666.04250066,1018196.99277796,844990.283945124,891890.316361318,1185082.03323571,1157489.58889801,1182202.93179481,1151193.81115177,1173742.00189962,1153319.14233221,999344.272570074,974893.938341253,1101436.17824372,1098767.15621468,907529.992631226,1009626.55645027,994110.821906778,1096589.12511867,963183.574501051,1053722.71604585,1149150.41671122,995125.774447818,982270.109892692,1100802.12468865,1065414.46238681
2038,1113797.43875651,891475.290965758,1247746.00268931,1244198.94552229,1072915.27882975,891475.290965758,941036.948024414,1247746.00268931,1219788.44003223,1244805.5184978,1213159.20890648,1235522.62781723,1214673.36805644,1052605.35618299,1027220.78838296,1160410.32696429,1157392.84846582,957480.187378384,1064055.78247485,1047503.25372332,1155260.24299895,1013588.94467161,1108340.99012118,1210870.05311646,1048034.0332042,1035849.74032331,1159716.86175731,1121284.92980537
2039,1171410.9964436,939090.062100666,1311472.6951504,1307799.30459753,1128716.4525172,939090.062100666,991317.081087825,1311472.6951504,1283388.18761816,1308486.83813107,1276439.59608373,1298172.28127242,1277093.53978612,1106825.19790829,1080479.1787145,1220682.51634477,1217453.11599345,1008661.15582958,1119387.01535827,1101912.59099662,1215234.11060819,1064771.67891657,1163824.20223942,1273894.43960175,1101886.53699503,1090429.20695521,1219930.52819198,1177927.39809111
2040,1226706.94749649,984883.11924108,1372559.45818105,1368770.60141878,1182304.17639048,984883.11924108,1039661.41658176,1372559.45818105,1344469.16448936,1369545.98197787,1337223.23786044,1358220.68159192,1337004.12815043,1158784.40714088,1131601.54572717,1278591.22016171,1275111.66659503,1057904.93050526,1172535.54788793,1154097.13559451,1272852.68184967,1113830.36883863,1216935.97697254,1334418.12396683,1153475.94722096,1142906.13798381,1277781.68395963,1232204.3471246
2041,1280022.28739833,1029140.70213693,1431601.65272528,1427472.81676356,1233989.95491582,1029140.70213693,1086392.60117374,1431367.19668476,1403511.35903358,1428341.93051993,1395981.33061169,1416122.75404607,1394784.97374223,1208701.49261188,1181017.27317575,1334479.99719652,1330483.76636931,1105471.56255836,1223874.95517808,1204316.84551833,1328458.06127637,1161171.00721278,1267842.05551562,1392906.70473119,1203018.68265062,1193657.72179495,1333612.81025024,1284438.62928988
2042,1333994.80841814,1074121.91638566,1491603.22776533,1486790.5077636,1286352.03429047,1074121.91638566,1133885.4220742,1490771.18447917,1463512.93407364,1487762.70734754,1455704.3580997,1474558.83590587,1453226.88320273,1259006.32953728,1231110.56490468,1391193.66202537,1386422.62457497,1153837.74090016,1275856.33001189,1255093.41268848,1384887.81778023,1209022.65188268,1318981.89074558,1452345.7146164,1252928.84347318,1245164.64986701,1390267.17659934,1337064.01722358
2043,1389128.95757347,1120180.26991917,1553157.49883711,1547291.9503472,1339891.66338116,1120180.26991917,1182624.1859063,1551346.01493887,1525067.20514541,1548378.27184238,1516990.15656447,1533852.57323468,1512643.23559647,1310346.22859632,1282182.36926981,1449238.39783681,1443870.99897507,1203597.79429833,1328744.7410649,1306960.82653942,1442633.14401821,1257692.90376199,1371019.37278503,1513334.9630978,1303859.82452249,1297708.75185251,1448234.97686299,1390533.11897892
2044,1445323.44966821,1167258.55961787,1616156.48178216,1608792.0470619,1394457.69517697,1167258.55961787,1232552.7903158,1612926.69908458,1588066.18809046,1610003.32486816,1579734.58668597,1593946.34196831,1572969.53101211,1362599.31673557,1334105.63386275,1508515.79821423,1502827.91768003,1254635.82328482,1382406.01491437,1359745.36628477,1501621.42371601,1307201.18007709,1423883.72486719,1575799.35892326,1355696.02332494,1351151.81781826,1507441.41562456,1444747.66249539
2045,1499155.34650933,1212454.47994385,1676549.14534125,1667612.91613642,1446761.28466221,1212454.47994385,1280446.18460424,1671826.38427282,1648458.85164956,1668954.1661095,1639896.64736501,1651405.79203459,1630760.28715871,1412549.09580179,1383895.68744107,1565404.76411613,1559321.67337464,1303655.46592429,1433833.95305422,1410256.41578033,1558242.35025004,1354624.74793813,1474338.50653134,1635691.24488863,1405234.10056662,1402446.22578362,1564268.7640442,1496543.67330124
2046,1550967.3339356,1256065.22533098,1734833.38884478,1724155.10538734,1497119.50082862,1256065.22533098,1326656.46415207,1728442.3817944,1706743.09515308,1725631.1327646,1697963.50573613,1706720.39372033,1686403.32908095,1460415.47183817,1431916.10086211,1620226.9865881,1613477.10936331,1350908.18750902,1483425.33031459,1458769.85025602,1612808.05820034,1400301.78220272,1522578.42782127,1693472.75601837,1452688.39709946,1451973.97266224,1619033.40519109,1546287.3785146
2047,1603343.16163889,1300330.38215118,1793963.19325729,1781204.45995291,1548072.49355986,1300330.38215118,1373527.85492553,1785563.76265567,1765872.8995656,1782824.32955083,1756890.93521468,1762441.02850821,1742627.26552002,1508547.743528,1480517.24291118,1675802.61158313,1668126.4995355,1398899.02308207,1533580.31636192,1507717.15725531,1668130.39562549,1446435.5599034,1570934.69985154,1752097.42472081,1500394.98556006,1502161.53193433,1674554.74925569,1596323.68825943
