"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,15.4259924471461,15.3395471776844,15.5069757579212,15.4140454884194,15.3934960569302,15.375619062454,15.5069757579212,15.4148227761684,15.4818868961262,15.4139212918164,15.480295373026,15.405424017437,15.3395471776844,15.3538190563753,15.4528727640742,15.4410514338968,15.4340327099016,15.3596439302423,15.3441416619022,15.4622566292632,15.4393391247873,15.4613713489255,15.4264541552799,15.4798459125509,15.3525786215435,15.4951235090364,15.4405686052063,15.4806778176831
2021,32.1734398784814,31.9724290024193,32.3666664963152,32.1513754454253,32.1028096755255,32.049162583624,32.3666664963152,32.152442520802,32.250742675071,32.1512061919026,32.2488923750747,32.1287821114094,31.9724290024193,32.0774695458175,32.205278387887,32.1826871144705,32.2127790866793,31.9778840000085,32.0129913328284,32.2970327982874,32.180406451728,32.2551218240841,32.2246299336505,32.2484605153601,32.0755192128658,32.321342921855,32.1819430278899,32.3079417310551
2022,41.8206943656337,41.3645924700597,42.0518251569589,41.8487212230892,41.6916849165105,41.5622600279548,42.0518251569589,41.8496061656219,41.9315556961483,41.8486785386221,41.9303921732726,41.8136895133324,41.5889192549091,41.6603743705658,41.766081158915,41.9139910633042,41.8399003440502,41.3645924700597,41.4891409659449,42.0322957681673,41.9123307499999,41.9338372708023,41.9423537687448,41.9300876716007,41.6583852954736,42.0116663324166,41.9133049436332,42.0316843007452
2023,47.5621802363778,46.7257562132018,47.8695913965052,47.675437412068,47.3508376973748,47.1432779622872,47.7838497524209,47.6759581370872,47.7159629972259,47.6755381023127,47.7158432207444,47.6731659681477,47.3578059955616,47.2990206686512,47.387957429352,47.7887399093941,47.5102356984027,46.7257562132018,47.0109542594863,47.8503854574085,47.7879829777894,47.7114073115973,47.755633536699,47.7156520816051,47.2969806974298,47.7882673721115,47.788263654581,47.8695913965052
2024,51.1522735684324,49.889796478538,51.5719675607001,51.3553128835292,50.8683226870398,50.5650969417212,51.333768577176,51.3554842924819,51.338676703711,51.355639746247,51.3396395722317,51.4270719731143,51.006525511778,50.7910175069411,50.8490431734738,51.5161300194889,50.9939199740365,49.889796478538,50.4108916073808,51.4997282691554,51.5162376517569,51.3436184647826,51.4204152416837,51.3395598885179,50.7887790196872,51.4143604230776,51.5158350425606,51.5719675607001
2025,53.5213126821206,51.8646827519848,54.0567959460108,53.8084054916748,53.1961921432641,52.7577890483839,53.6362938655838,53.8082832753285,53.7126379237743,53.8089353278105,53.7144057044007,53.973401174347,53.4480475384226,53.1137287564725,53.0917558682756,53.9948437368784,53.2455840735765,51.8646827519848,52.6292902751562,53.9213729632043,53.9958120072872,53.7529264752789,53.8730155591569,53.7143938117568,53.1114232834729,53.8080831508697,53.9947169006439,54.0567959460108
2026,55.1681893699814,53.1617216561569,55.8123124829289,55.5355569821629,54.8342277128768,54.2374100296026,55.2005143360707,55.5351381006667,55.3250081154761,55.536276513057,55.3274729730154,55.7847516483628,55.166102151526,54.7770489892841,54.6177360958355,55.7109161960922,54.7969909741133,53.1617216561569,54.1710281432263,55.6269174194134,55.712532387699,55.4376913278399,55.6216895667294,55.3275258426775,54.7747845930411,55.4625807211841,55.7107992904968,55.8123124829289
2027,56.3627221473175,54.0519978267099,57.1218312752251,56.8056314193833,56.0429904913826,55.2746235614691,56.3091117459016,56.8049463534845,56.4495463446919,56.806560583864,56.4528889111812,57.1218312752251,56.4233145878455,56.0401976447005,55.704377557816,56.9365967641886,55.9239110087004,54.0519978267099,55.2985566042847,56.8823400172359,56.9387262007573,56.6714029315997,56.9373116007689,56.4530242227287,56.0382379592274,56.6489511143116,56.9364273587501,57.1145495967302
2028,57.2598322066465,54.6897593309551,58.1396491739196,57.7726858425937,56.9708860049525,56.0262695870227,57.121901069666,57.771733124374,57.247836177057,57.7738476040542,57.252069735766,58.1396491739196,57.3749717228909,57.0455231047874,56.5095197456275,57.8320996901844,56.7788319682028,54.6897593309551,56.1600345666112,57.8402171121942,57.8347916424397,57.6084941731067,57.9693728222914,57.2523524871671,57.0438863167062,57.526900588358,57.8319481447298,58.1202234305036
2029,57.953403819822,55.1657327769947,58.9365310426065,58.5299667693359,57.7072130108339,56.5871022529553,57.7360472548897,58.5287986468758,57.818770857182,58.5313790199604,57.8239850321106,58.9365310426065,58.1166256825873,57.8765078399557,57.1277724979357,58.4967912187851,57.4516134807491,55.1657327769947,56.8426635619162,58.5941286621161,58.5002463925761,58.3416552443447,58.80705238832,57.8244844321546,57.8752434877981,58.1950356169285,58.4968513345143,58.9228969911238
2030,58.5034534919743,55.5355535119021,59.581614840487,59.1376443740784,58.3088192347967,57.0182315242918,58.2136873732319,59.1362916408472,58.2276536709786,59.1393014019636,58.2338197590825,59.5767671877984,58.7084746338156,58.5841073957744,57.6179113559372,58.9961195824633,57.9985549753439,55.5355535119021,57.4006122063382,59.2047512643233,59.0003765815347,58.9305386227356,59.5055507566947,58.2345853629519,58.583215421783,58.7157364873091,58.9964181328934,59.581614840487
2031,58.9498413902707,55.8332627634616,60.1356098673873,59.6358685839212,58.8132424505969,57.3588519234801,58.5947730198802,59.6343838290438,58.5186840350165,59.6377465981111,58.525741265761,60.1036614908386,59.1909310005497,59.2014723098549,58.0174056587416,59.3752560195703,58.4555032324945,55.8332627634616,57.8709405071043,59.7117928498145,59.3803038511392,59.4142746980371,60.1013329285307,58.5268099576835,59.2010120282551,59.131357409522,59.375816477973,60.1356098673873
2032,59.320003158179,56.0808444589164,60.6197279156671,60.0522655085983,59.2459353460323,57.6352465451536,58.9080985227791,60.0506497541012,58.7232750910672,60.0543363536352,58.731150619514,60.5468129649834,59.5935419381585,59.750470798604,58.3524133509189,59.6654074309372,58.8463243395652,56.0808444589164,58.2776077473856,60.1425620433679,59.671275289541,59.8193619795979,60.6197279156671,58.7325713340573,59.7505484941259,59.4718392187804,59.6662191736403,60.6115927353466
2033,59.6334588593207,56.2934730070004,61.0783319947531,60.4060073387349,59.6245366586885,57.8662710080303,59.1736003328308,60.4042708215299,58.8645361880739,60.4082456088416,58.8731369783597,60.9270791050322,59.9363340376345,60.2463715208212,58.6427220448006,59.8893013456379,59.1876777858212,56.2934730070004,58.6378111531661,60.5166795600008,59.8958431367045,60.1643917066827,61.0783319947531,58.8749831558722,60.2470737076174,59.7592658131054,59.8902691065041,61.0282583667727
2034,59.9044988088751,56.4817258232967,61.4899023707232,60.7113482236387,59.9619129491349,58.0644399654018,59.404730215146,60.7095068859411,58.9595867840465,60.7137308156026,58.9688154587169,61.2596675562428,60.2351856478448,60.7006964596275,58.9017984359694,60.0644685678479,59.4915565357078,56.4817258232967,58.9632163025011,60.8484475255216,60.0715508808231,60.4634161946754,61.4899023707232,58.9711597883626,60.702101049701,60.0087657577833,60.0655563048423,61.3991837227774
2035,60.1435453674082,56.6528713231655,61.863766196412,60.9790969829582,60.2673893281011,58.2390369877659,59.6109269833173,60.9771678353643,59.0212949984203,60.981589970835,59.0310794194166,61.5555864802845,60.5021741686246,61.1213819232758,59.1389462004711,60.2034605672361,59.7660883050598,56.6528713231655,59.2625012429937,61.1485901260913,60.2110701072135,60.7271533110412,61.863766196412,59.0338698788842,61.123565281269,60.2308684624734,60.2046513194782,61.7345067850517
2036,60.3583665400897,56.8120582004247,62.2071955976959,61.217538278801,60.5478597468307,58.3971062550521,59.7991366623904,61.2155426640177,59.0596679709009,61.2201028636224,59.0699648116835,61.8229307161052,60.7456949080544,61.5143072265631,59.3599713565731,60.3154314696357,60.0179722500141,56.8120582004247,59.5423227675076,61.4245359066622,60.3235453159011,60.9639264467385,62.2071955976959,59.0731553026761,61.5173683598233,60.4332111418187,60.3167215567203,62.0418957260313
2037,60.5547203690854,56.9617720909399,62.5259906997646,61.4329687837125,60.8084706539275,58.5430602080979,59.9741686046804,61.4309234555585,59.0820444032992,61.4355708148301,59.0928751971927,62.067837611668,60.9715396433416,61.8839376607991,59.5686516978542,60.4078839621575,60.2522231339205,56.9617720909399,59.8073119957854,61.6818937400178,60.4165017867323,61.1804849634895,62.5259906997646,59.0964449915837,61.8879397336425,60.6209474333727,60.4092760016832,62.3272899590832
2038,60.7369572086148,57.1034060889062,62.8250376972213,61.6304571742869,61.0530974270121,58.6800980265355,60.1399599680224,61.6283770826687,59.0938105697454,61.6330645297524,59.1050522581703,62.2950750269013,61.1838095801373,62.2338423472031,59.768177519254,60.486508594581,60.4723431614016,57.1034060889062,60.0605410542573,61.9248651400362,60.495640328486,61.3815027276111,62.8250376972213,59.1091364057101,62.2388322133624,60.7980616038603,60.4880085471657,62.5952251430821
2039,60.9083850508451,57.2381218361904,63.1074135575666,61.8145242713121,61.284812844267,58.8109294988329,60.2993229387258,61.8124079315923,59.0985520407509,61.8171008093258,59.1102154636862,62.5086025868248,61.3853858112122,62.5670405766941,59.9603570602424,60.5553931056384,60.6809985891201,57.2381218361904,60.3042914187443,62.1567902803947,60.5650341400759,61.5704758811232,63.1074135575666,59.1149658673948,62.5729813552029,60.967541988225,60.5570079633682,62.8493584546172
2040,61.071523441372,57.3658974704462,63.3756187943848,61.9882531134944,61.5060796708649,58.9371417083449,60.454175145786,61.9861196221252,59.099742669594,61.9907648821679,59.1117607312649,62.7115319316154,61.5783985749011,62.8858751527054,60.1468259905344,60.6175788258285,60.8802765128486,57.3658974704462,60.5402822747565,62.3804125651347,60.6277392873913,61.7501125948894,63.3756187943848,59.1172093333193,62.8927780271273,61.131776429049,60.6193032166573,63.0924315090679
2041,61.2281992730229,57.4872150445312,63.6316823532134,62.1536027419762,61.7192616566304,59.0598974588155,60.6060691909484,62.1514742753133,59.0992352403924,62.1560403298801,59.1116073018332,62.9065911397079,61.7644547257005,63.1920429246273,60.329209639376,60.6752643397872,61.0718031193311,57.4872150445312,60.7697801605271,62.5974767940857,60.6859483556533,61.922460429001,63.6316823532134,59.1178733555749,63.1999473706778,61.2922498817297,60.6771216392987,63.3266723569592
2042,61.3799132877471,57.6032016684576,63.8774063843369,62.3124280101177,61.9257257755813,59.1799787677359,60.7556546486364,62.3103293781426,59.0984323142962,62.3147529905682,59.1110866472632,63.0957826000857,61.9447823302568,63.4868916783842,60.5085638334477,60.7309085964315,61.2564712917029,57.6032016684576,60.9939325753951,62.8092992762627,60.7420985872945,62.0891021341274,63.8774063843369,59.1181821930371,63.4958420873009,61.4500093598158,60.7328872124019,63.5540818525967
2043,61.5276507289802,57.7139728235797,64.1141204688712,62.4657740018771,62.1262830392401,59.298195231053,60.9035135210068,62.4637350587348,59.0983438183428,62.4679597925059,59.1112656664589,63.2804539205969,62.1207516771998,63.7715347434733,60.6853402463168,60.7858324597991,61.4350289832602,57.7139728235797,61.2133344230945,63.0168163934677,60.7975221333539,62.2512274484125,64.1141204688712,59.1190452927569,63.78157976132,61.6056757001156,60.7878812700499,63.776080349619
2044,61.6721124406505,57.8197039129694,64.3428835221957,62.6146250943236,62.3218192923877,59.4149855336529,61.049976412628,62.6126880981317,59.0996426844571,62.6166463369023,59.1128135198413,63.4618799062542,62.2935314955294,64.0468547328,60.8596059523845,60.8405720187665,61.6079346215233,57.8197039129694,61.4283856525439,63.2204141193813,60.8527837050016,62.4097466551039,64.3428835221957,59.1213606293491,64.0580459814332,61.759737785573,60.8427004518549,63.9934729012735
2045,61.8137900352372,57.9207733793014,64.5646915785018,62.7598321798176,62.5130372647318,59.5305742922762,61.1952211532197,62.7580322313586,59.1028514938806,62.7616648542131,59.1162000740734,63.6401735316805,62.4640715834559,64.3135796262897,61.0313830899531,60.8953641374738,61.7757350752543,57.9207733793014,61.6390636387364,63.4205145390245,60.908109922071,62.56532479393,64.5646915785018,59.1256129446029,64.3259663896518,61.9124773719242,60.8975883687099,64.2069073667969
