"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,14338.8133926279,11135.2656254199,16033.2740933956,15989.0341795364,13834.0444228035,11135.2656254199,11606.6589180328,16033.2740933956,15835.2706728006,15996.169910849,15777.1119431696,15960.7651344854,15790.0966529203,13396.415755016,13094.8486211218,15359.8599250103,14967.9015072963,12212.3072010366,13399.7481948029,12985.5944778762,15318.9866867798,13359.8887467019,14558.8707817641,15773.6057110905,13366.9489432475,12867.1779686322,15359.307767757,14491.1809741499
2021,39086.7325052531,30396.3934004549,43717.4139268195,43596.2215640731,37685.5246182497,30396.3934004549,31769.9088493774,43717.4139268195,43042.9789592522,43615.3481251733,42879.4045097093,43536.0209909003,43058.1401120645,36642.4148765783,35737.5452902257,41726.5093496682,40802.8944778118,33284.9674379183,36686.5029706884,35567.824149376,41610.216721873,36246.101230607,39641.9648116157,42866.9637283771,36558.2104655597,35255.8884173151,41723.6464563795,39519.30719126
2022,48973.132838911,38170.0161585907,54792.0565979669,54638.746055461,47217.1439843093,38170.0161585907,39962.0997836929,54792.0565979669,53749.3865408068,54662.8732354868,53537.3372234323,54603.9999172527,53975.9813153518,46122.1550486794,44799.7859742741,52047.9139739355,51114.4027203859,41735.2934337561,46206.5199635107,44802.4886525192,51895.8411357278,45170.7335297106,49621.2437262334,53516.5399682701,46010.304072407,44393.0080203186,52042.2242130463,49540.2257276501
2023,52623.9800872833,41095.1482706829,58887.9152382503,58723.3335951552,50768.0089331713,41095.1482706829,43074.5902168688,58887.9152382503,57545.1306955584,58750.6754890013,57313.4868576309,58639.4948440681,58017.4184794277,49837.3269059128,48096.2611879894,55736.5276267466,55020.1781526101,44941.5336325848,49819.6991640243,48396.0135989497,55567.7945361589,48242.5691142405,53343.4154271094,57284.9325050092,49711.2532452612,47842.9673908905,55728.6976850521,53215.1293897282
2024,53746.7818485653,42062.5395869881,60142.8582030868,59975.7219169613,51846.509049398,42062.5395869881,44161.8244768407,60142.8582030868,58601.1910390587,60002.2682425996,58359.93678664,59878.0917619889,59224.9462808941,51136.8050687131,49089.9808399941,56746.9987616249,56314.2850397367,45989.6517020998,51010.8300863425,49655.8252831952,56569.5791666852,49017.5043308774,54490.5179234241,58323.709774155,51000.8872533217,48999.0977327328,56737.2951012714,54330.6908055024
2025,53869.1199379823,42271.0324722387,60262.6222876145,60096.9444635116,51959.5233221122,42271.0324722387,44450.4432273885,60262.6222876145,58610.2069376937,60123.5091306097,58366.5982588204,60053.2640977207,59326.6098435451,51411.507958338,49165.4259745789,56724.343178125,56525.2997877433,46140.2271881415,51251.2796098183,49967.9645860151,56541.9467933307,48907.5616915804,54576.8561522352,58323.0330172673,51268.1512199195,49253.6854144941,56712.7534320871,54437.208404629
2026,53644.6041124895,42236.2005878901,59961.6276626408,59798.7598134829,51730.5133170339,42236.2005878901,44474.3863573061,59961.6276626408,58301.6114900453,59825.4086767719,58055.2164748921,59846.702916065,59080.2563486857,51266.7103478029,48968.5194628006,56360.0142528572,56292.0444290219,45998.6803317194,51183.4368703337,49913.9951388713,56174.0754310175,48533.4830950375,54223.3423238115,58003.7019719024,51116.7081927028,49232.0985432949,56346.6898056207,54190.9189706303
2027,53361.6402168975,42190.3899790519,59582.014572718,59422.8950023952,51440.0121962,42190.3899790519,44448.1152618011,59582.014572718,57950.4267397339,59449.9829016612,57701.3458270871,59562.6527366989,58799.1598602317,51015.3711379916,48762.9225154153,55982.3390323072,55954.7442012889,45844.8332943004,51010.7331581107,49776.167969438,55793.749389771,48129.5871854538,53754.5856643462,57641.7993483937,50857.6948178121,49152.2738456634,55968.0721660691,53849.1366184982
2028,53049.1678516757,42132.6598027076,59220.5010912338,58999.1774024958,51121.4707361536,42132.6598027076,44417.600815666,59154.8518441471,57600.51378308,59027.5356434299,57342.5909764754,59220.5010912338,58450.5578148784,50710.9602789758,48532.5763308384,55610.3716507115,55606.23038769,45680.6527170868,50765.6555633278,49613.6163590873,55417.5424772089,47689.1377907099,53246.0953293378,57274.9825502284,50547.1304310763,49023.4580593343,55592.9873040259,53450.3391519852
2029,52723.6869082426,42024.4055636698,58764.7546039398,58564.7506427465,50801.1803111112,42024.4055636698,44364.392829071,58715.6348902671,57346.6839890541,58595.1409805673,57084.1858009125,58764.7546039398,58070.6152479752,50378.5298560527,48186.0168933148,55240.4015832395,55255.6176480827,45463.6107505091,50490.3509201175,49414.1763101223,55044.8628277848,47245.1325094175,52722.4869238921,57008.6444200908,50208.7401383918,48849.5661404365,55220.5843297752,53031.7065955229
