"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,64546.8192116752,50361.7035417371,72278.7563917505,72063.8374862236,62230.1761501465,50361.7035417371,52697.0782878159,72278.7563917505,71175.5375900274,72102.6236934082,70901.1193487868,71674.8802382069,70753.5953474802,60387.6637716615,59132.7601349849,68684.7409794226,67517.4920550281,55088.9978772088,60295.8892622962,59074.8704376448,68490.2802024423,60000.3427393076,65479.3449827377,70886.4317320407,60247.9076443314,58274.1185082876,68681.9724434093,65188.3594454945
2021,40338.3444523166,31559.283322346,45284.1583154537,45142.696824176,38809.3315646227,31559.283322346,33143.7895304717,45284.1583154537,44338.7263719588,45167.3624573724,44150.9100397803,44818.6902919496,44098.1342575087,37907.9794798713,37002.5935195129,42633.1380384306,42247.4619934427,34402.7469311464,37797.2108042806,37279.139905859,42498.3784552541,37308.1729363095,40907.836609023,44137.107685877,37812.663990339,36615.1009851088,42628.9463067567,40767.0506910641
2022,30910.9073776545,24234.5584899156,34770.2688866253,34657.2898476171,29668.6783963396,24234.5584899156,25519.9957179164,34770.2688866253,33908.3204412234,34673.8764803745,33749.1941741279,34355.7649124724,33694.4585003801,29120.0681069187,28390.6137707843,32535.487995719,32383.0363297246,26311.212794893,29005.2673101398,28773.4788492807,32420.6196301175,28508.2904640532,31351.529498008,33733.7357311903,29040.1371000014,28167.7509077109,32529.6364733291,31269.4136324995
2023,27505.2300120525,21612.9511737601,30974.7078914571,30871.3651859948,26323.3164724579,21612.9511737601,22817.5403415409,30974.7078914571,30180.6926240469,30881.410955027,30022.4552816056,30669.5313114013,29935.6282475245,25859.953255063,25347.7144781383,28861.7902138808,28690.8823674464,23303.6460995347,25901.9275420164,25683.8561142205,28748.4339172788,25401.4449300413,27814.0315596163,30003.3783139726,25781.4438020885,25203.1277300623,28853.2140627826,27886.306430355
2024,26458.2895345466,20831.0977199768,29811.0785259914,29710.0736037384,25301.4323459138,20831.0977199768,22012.6728088575,29811.0785259914,29034.2203170149,29717.8679170075,28868.658682721,29601.9072920017,28821.3656433388,24823.6028868509,24450.525258554,27707.5862581401,27426.8431479888,22332.7607100609,25035.8570499558,24743.2200967927,27588.7686803581,24458.1971091532,26660.3889804223,28844.5745314806,24740.4995920422,24365.1421985827,27696.0102305417,26872.8867761792
2025,26281.1354709927,20719.6167463503,29615.0626291464,29513.7413863092,25131.0155019932,20719.6167463503,21905.3352583257,29615.0626291464,28819.5323069137,29519.1462314068,28641.6600087269,29469.8145298055,28661.3992965762,24656.5043087983,24344.0873235674,27471.0968107113,27111.9491250061,22167.5101424201,24970.396467223,24604.8670558025,27344.0567931434,24295.5674747611,26415.4121140043,28611.0434629592,24566.1412675933,24296.0087085615,27456.441399721,26720.9804249906
2026,26350.8855955335,20783.8248010303,29712.365356686,29610.6861006759,25218.661036718,20783.8248010303,21989.8494903125,29712.365356686,28841.4221067007,29614.5877048361,28654.8157873556,29557.7876805327,28734.4657646684,24786.9595806557,24414.6335009514,27495.9054653756,27147.4021827219,22229.7224090448,25092.8020996324,24717.9057829915,27360.9075442396,24324.0237371678,26491.1959415315,28617.2340669944,24688.2285199795,24401.5640773752,27478.6383327694,26806.5508173907
2027,26407.8026029419,20812.2401054414,29795.2391936587,29693.7743894698,25310.703685126,20812.2401054414,22075.6265144968,29795.2391936587,28852.355437175,29696.9533347782,28659.4723235599,29600.6395204817,28758.3220485093,24932.1347564694,24424.0488005391,27485.2208907167,27222.1533571983,22262.6375005497,25224.7901203734,24831.8426267279,27343.6524937624,24331.5219796828,26592.1785971327,28614.1213181594,24824.7569932756,24488.1601407445,27465.717191447,26896.8017540706
2028,26448.6899530139,20821.123020034,29860.0682451773,29759.4431294957,25395.7407265033,20821.123020034,22134.5802646749,29860.0682451773,28857.6526724433,29762.3151123475,28657.2768158555,29611.230913562,28787.2566339774,25061.9368802136,24409.5560249485,27445.6382295557,27267.3582261374,22282.5970595768,25361.1528453847,24909.9564368123,27298.1900691451,24342.889634898,26671.1602328409,28603.5013960938,24945.4019384293,24569.0350521994,27424.052407495,26978.1348575451
2029,26483.9012046969,20864.965617526,29895.1761771889,29795.7016538901,25461.5549792129,20864.965617526,22197.5358178621,29895.1761771889,28841.2083702449,29798.7915953642,28634.7426895284,29672.0081628076,28805.9660478734,25168.0569814916,24476.5091767219,27400.0635799686,27292.7891126397,22345.1505542606,25476.8393399772,24980.2907624821,27246.987200916,24340.2304996971,26720.17182172,28571.9641714058,25041.844823148,24657.0838756259,27376.3798139758,27035.5172918948
