"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,7107.46418270746,5477.30942863112,7914.71784361673,7888.72209173399,6873.31828467568,5477.30942863112,5703.94524237969,7907.46991962536,7855.92479380891,7892.024418549,7832.25072678011,7914.71784361673,7889.0647032346,6629.57769772435,6457.54492438841,7693.27920641408,7423.38760243337,6050.49304894894,6643.2059469802,6355.47819153688,7677.20130966108,6618.78689052921,7233.38313896759,7831.03085818242,6616.72983999708,6337.91052289529,7693.6021748044,7190.24576118811
2021,24961.9237423628,19233.1610347791,27831.442737772,27704.3675952881,24165.7161712933,19233.1610347791,20014.287233068,27769.7008986943,27490.7906860293,27719.6296584511,27411.3209747895,27831.442737772,27745.1455243601,23399.311548831,22644.2002147671,26993.0442109284,26136.7249153708,21287.8970753452,23351.5561581077,22367.2931460612,26935.6536094169,23145.4655777773,25460.0580241298,27405.9492896046,23357.5572566078,22246.1708542842,26994.4368956182,25237.212267696
2022,44898.8567925664,34524.9917575394,50017.2185028245,49830.0246710882,43488.5430266658,34524.9917575394,35962.4074782545,49947.9378810549,49318.5562038142,49858.8989945834,49177.6004548358,50017.2185028245,49895.8948329886,42325.7572089108,40660.0422600239,48494.1300412266,47162.5258822777,38360.8286103258,42062.3543154776,40274.3828730869,48389.5058034497,41466.5492815911,45943.4256474003,49165.8001181912,42247.0310413956,39992.2840811973,48497.1566873113,45407.5721586445
2023,63663.9110918506,48846.0686028906,70878.5542008151,70617.1313126725,61684.0157684757,48846.0686028906,50946.6566120413,70783.8773715766,69797.0475883106,70658.4385213713,69596.1563897112,70878.5542008151,70744.0675634831,60289.6063370174,57569.7503790853,68706.7120755698,67058.8706353417,54464.6487518435,59745.6594374841,57120.9748771202,68550.6233949622,58622.6549030761,65335.8484105773,69576.3952262591,60173.6815348712,56703.0720925805,68710.8842485056,64416.3810606239
2024,80422.5430257245,61618.2386227792,89567.6096936146,89118.8557531979,77894.5419268675,61618.2386227792,64314.933902312,89328.746738081,88033.3676946469,89168.4122503244,87774.249083614,89567.6096936146,89418.141426347,76379.6651450953,72720.161407077,86822.254269407,84784.1051511742,68865.9003677119,75639.6808053625,72106.6437480851,86617.1320380307,73862.1345393542,82631.7533837961,87744.9482225485,76228.7859582208,71703.194792118,86825.4872048696,81394.6315184771
2025,98667.4464849868,75664.3183577431,110020.723603513,109308.414143828,95519.6859709637,75664.3183577431,78984.1355663349,109566.7684147,107813.260742007,109366.39446809,107486.77925432,110020.723603513,109820.522737442,93867.7444138342,89307.0430931519,106476.873719663,103915.657848276,84561.7034055448,93007.5204386034,88577.6026022746,106221.92377793,90335.2584326963,101253.24045599,107445.270732009,93675.6445568881,88195.4599198358,106477.713253471,99816.5022155585
2026,118153.392574495,90736.6790864937,131868.573866248,130914.925621296,114338.175146834,90736.6790864937,94779.8215153696,131225.050768516,128888.424174218,130983.963010533,128492.660271739,131868.573866248,131532.624669119,112613.066532543,106944.236437446,127340.243093416,124457.37136656,101293.524858735,111536.806808039,106353.034921443,127031.404074508,107836.217309965,121164.611078674,128436.578964177,112375.174988859,105844.460478083,127339.306487811,119507.878831755
2027,136368.031603584,104786.29929923,152313.39154358,151107.22138638,131936.750407622,104786.29929923,109592.283065913,151465.055997822,148530.019802969,151188.237663755,148072.751553579,152313.39154358,151783.939740698,130240.224244183,123352.212306243,146785.132111047,143763.326263793,116922.740981823,128872.269608664,123030.9344037,146424.782078774,124131.898439033,139860.209781231,148001.329041111,129957.23331921,122342.718453669,146783.754106613,137956.074488951
2028,152772.705321657,117418.802401743,170805.448644626,169232.581788849,147782.574857954,117418.802401743,123005.6048683,169633.905680532,166237.119285566,169324.656126005,165713.734519794,170805.448644626,170044.017029104,146110.92675268,138135.259711547,164267.624913348,161104.866688426,130982.405259953,144571.251278721,138058.434671873,163857.284347639,138808.958488837,156662.139153343,165626.154887869,145785.133824222,137274.303375246,164264.167352569,154610.277132671
2029,167494.159789517,128872.4866391,187518.099474929,185411.071629624,161908.649974042,128872.4866391,135078.822124864,185851.701388721,182102.571762502,185512.905726963,181510.274351169,187518.099474929,186569.179978112,160307.362730317,151476.796567187,180088.55508375,176525.289330679,143579.899552288,158725.1211438,151485.291890987,179627.769587153,151914.350061445,171625.042371007,181405.321370769,159940.110536765,150735.513383396,180081.167085138,169500.640993214
