"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,64546.8192116752,50361.7035417371,72278.7563917505,72063.8374862236,62230.1761501465,50361.7035417371,52697.0782878159,72278.7563917505,71175.5375900274,72102.6236934082,70901.1193487868,71674.8802382069,70753.5953474802,60387.6637716615,59132.7601349849,68684.7409794226,67517.4920550281,55088.9978772088,60295.8892622962,59074.8704376448,68490.2802024423,60000.3427393076,65479.3449827377,70886.4317320407,60247.9076443314,58274.1185082876,68681.9724434093,65188.3594454945
2021,103710.260427517,81001.7844372187,116243.958639764,115891.698480569,99909.1388342462,81001.7844372187,84875.5147251671,116243.958639764,114222.844747269,115954.431904449,113766.080552457,115188.171783789,113567.317927586,97191.5273443521,95057.6082121818,110076.137133239,108534.44544672,88489.7230530791,96992.2104315006,95268.210152071,109750.841809485,96221.8698619382,105195.69120509,113737.992592116,96959.2319067964,93822.7602414029,110069.298954824,104768.020310605
2022,132846.755269306,103845.180129476,149018.271851777,148559.518112596,127874.713720041,103845.180129476,108930.558289986,149018.271851777,146184.688880763,148637.886028659,145577.932917551,147571.775245447,145327.576670521,124639.98441563,121818.48461032,140743.955019674,139058.563016448,113290.564597893,124332.456741369,122389.97360695,140310.385244415,123093.667829752,134747.514654999,145535.273892135,124332.346337941,120373.56701651,140731.601220192,134242.441681611
2023,158017.937103426,123624.09213015,177364.517429545,176811.190475404,151964.277236324,123624.09213015,129811.840020501,177364.517429545,173804.29800916,176898.75169321,173052.732461815,175638.741021346,172722.91717874,148305.504948263,145015.234098653,167156.581607907,165314.784714499,134616.7019584,148036.389692616,145894.340309905,166619.274763279,146339.588292997,160201.293649767,172992.615308584,147926.019599505,143437.999148289,167136.379415279,159762.362421516
2024,181525.784664874,142132.252648215,203851.274584286,203208.206064948,174444.272169384,142132.252648215,149369.814701177,203851.274584286,199600.826707159,203302.69242914,198702.161792112,201939.65224389,198330.327256089,170360.954595833,166739.209105614,191774.413127272,189683.179616703,154459.070593489,170280.42441497,167878.370889633,191131.538403719,168070.379639849,183888.703951266,198620.646182443,169907.633045997,165086.112412353,191743.925784055,183638.574262256
2025,204196.122985743,160005.17606269,229397.487758275,228667.018644821,196122.506901898,160005.17606269,168265.549319889,229397.487758275,224460.808436946,228766.167275872,223408.709314984,227360.573131473,223053.902062057,191629.871804808,187738.632678738,215471.222552859,213070.185093709,173580.959570266,191820.107757152,189102.745350572,214718.761994184,189027.949565176,206674.870483934,223300.783603989,191098.602301846,186044.062949833,215428.093323384,206688.326704211
2026,226264.574821674,177411.302127224,254281.125973332,253465.502083738,217242.738494791,177411.302127224,186681.702074869,254281.125973332,248615.045391676,253567.91824685,247406.666415065,252114.754976317,247118.564764183,212388.560224662,208185.503868486,238498.610503373,235805.707031598,192198.002118289,212834.934471672,209803.602302018,237633.091311062,209398.936504254,228860.830025689,247267.266604928,211774.605012737,206479.988703092,238441.020322182,229138.390989766
2027,247736.534951357,194333.557888998,278507.382040141,277609.257979561,237822.656807294,194333.557888998,204631.206601392,278507.382040141,272074.650679904,277714.258916118,270709.440080931,276182.783700755,270501.712302304,232660.667354815,228044.49062084,260846.610297012,257939.808846823,210299.5636901,233344.997193966,229994.162752824,259865.983042862,229182.690483998,250482.704711144,270533.165753272,231959.404195131,226391.103841948,260773.161823505,251007.952178285
2028,268615.375035772,210769.9446698,302079.195650128,301101.637194025,257870.289049038,210769.9446698,222104.44865999,302079.195650128,294855.148180155,301208.905300366,293331.759029658,299558.162823323,293226.638519731,252444.791757849,247313.619552438,282512.450557063,279464.913225882,227889.651573426,253365.325442959,249658.312390402,281415.426363502,248399.192351671,271537.164888815,293113.03388906,251651.534839,245786.126990337,282421.96203629,272304.740959398
2029,288913.080056788,226761.203438846,324991.358888686,323937.561493485,277384.450816594,226761.203438846,239117.011527596,324991.358888686,316959.53285612,324047.197782674,315277.904953267,322299.286361536,315304.012890143,271734.011749042,266072.82573484,303512.31775203,300382.563474135,245015.348844949,272891.201400348,268803.625209577,302297.973260237,267053.95227574,292015.951664078,315011.065305948,270844.023720213,264683.728643417,303403.677596716,293025.213779472
2030,308637.125629317,242359.809823034,347242.013167646,346115.436062124,296364.354175935,242359.809823034,255668.708078398,347242.013167646,338392.641668144,346227.9810695,336554.032576713,344405.225521926,336739.538457115,290520.531702477,284343.301561196,323869.363284076,320697.233000355,261726.464157861,291915.482352545,287425.142598655,322536.947922435,285150.996229664,311908.165492495,336233.434558879,289529.154195293,283097.484783896,323741.413881449,313163.284411107
2031,327794.653353779,257566.198036408,368829.605954647,367634.163725967,314810.116548641,257566.198036408,271756.445662646,368829.605954647,359160.232393633,367750.587341467,357167.017754347,365871.20758263,357573.514480559,308796.701339442,302116.533922678,343651.169249213,340403.028597809,278009.171369506,310434.370955644,305515.936329614,342199.352230246,302692.621297795,331206.057382017,356787.124180754,307699.494132049,301019.357364007,343502.494075688,332713.831937062
2032,346386.386988011,272373.365884602,389754.287034422,388494.121373163,332721.817234831,272373.365884602,287383.430973041,389754.287034422,379270.754728459,388615.794476123,377126.323413726,386694.286412198,377854.318134572,326555.606809708,319398.869794713,362852.317560282,359497.851600448,293856.443217913,328441.044157672,323072.842430098,361280.733735925,319682.520847725,349905.199346394,376681.775365984,325348.428387739,318442.904980828,362681.903875576,351672.732924132
2033,364412.690340981,286779.954694383,410018.008989695,408697.38562176,350100.638757157,286779.954694383,302552.642661676,410018.008989695,398735.516631726,408826.03654188,396444.137344609,406872.709168168,397559.100074525,343796.258935401,336203.44588599,381466.165022339,377983.723140716,309267.457994275,345931.57983428,340096.455887021,379774.869028865,336125.298789675,368002.813053991,395929.812273685,342475.291249433,335366.737710869,381272.893573056,370038.325659337
2034,381876.194671692,300783.56176861,429623.953191428,428247.200601579,366949.456812035,300783.56176861,317267.404283516,429623.953191428,417567.687642011,428384.859966443,415134.335381691,426406.298856151,416677.436578222,360525.552181659,352521.642953267,399494.10558468,395866.345728666,324244.499757162,362902.341545433,356588.56765078,397684.10326492,352026.057431002,385498.629007251,414545.367052379,359087.332909582,351790.390204053,399277.372377048,387810.36406272
2035,398781.804679101,314384.524700458,448576.732204574,447148.192864811,383271.478651072,314384.524700458,331532.491954359,448576.732204574,435791.149258149,447297.132101031,433221.212101308,445296.415441795,435205.104223297,376733.695896232,368349.790906973,416940.902995208,413153.563019339,338805.971582768,379352.168209054,372552.255370777,415013.843108485,367390.586246918,402394.688431685,432552.934571951,375175.099432123,367714.65508059,416700.359887888,404990.168736681
2036,415143.215029463,327585.192650444,466882.250381022,465406.239477454,399069.9257477,327585.192650444,345382.312890982,466882.250381022,453467.116341014,465568.906733202,450765.696960276,463545.856285058,453139.885493186,392415.831465788,383685.926451072,433814.365982029,429881.626850874,352952.815329842,395281.298170228,387990.729517803,431772.392234267,382257.341068181,418694.462803595,450012.905190955,390734.052892019,383142.408828929,433549.793288187,421581.042702463
2037,430966.156357706,340387.192666564,484547.539932522,483028.306892668,414348.777333629,340387.192666564,358835.133525376,484547.539932522,470595.270244171,483207.262475318,467768.382461663,481158.756900502,470481.572000416,407570.33630788,398530.751558392,450124.067889786,446060.406994249,366682.459059916,410690.927798521,402909.198656771,447969.765675801,396648.525777243,434419.385892116,466926.218631388,405762.906773423,398076.779842721,449835.414714746,437588.568936867
2038,446258.633196425,352793.47746678,501603.059975057,500044.736065813,429112.89162228,352793.47746678,371881.082091981,501603.059975057,487173.459060035,500242.528904721,484226.607792592,498140.517421087,487231.781983252,422199.465789673,412887.856036378,465880.304456143,461686.986187928,379995.965091389,425583.710970104,417313.546928468,463616.621987038,410552.499988652,449593.803805145,483292.189760208,420262.753940847,412522.810834849,465567.67523603,453059.496514171
2039,461033.896731498,364808.32597847,518083.546399125,516490.452348821,443367.82499971,364808.32597847,384515.023948322,518083.546399125,503222.215022109,516709.595610089,500162.628639106,514498.052929072,503394.322187418,436327.000984515,426761.012756051,481094.072787988,476765.35847225,392896.675770338,439963.712812809,431238.262901414,478724.259646673,423964.368426832,464210.573199957,499132.994729239,434255.74401155,426502.464779511,480757.714904245,468001.214041849
2040,475297.922402924,376436.140570004,533979.72964386,532355.556105172,457142.040870672,376436.140570004,396735.088198882,533979.72964386,518748.214301379,532598.623598811,515583.09562753,530240.794507289,518974.723528584,449950.653136279,440159.94424046,495776.690764338,491303.815447421,405390.504903601,453836.052709986,444700.606578524,493304.245913866,436884.574870683,478268.709005421,514454.942292471,447744.736575672,440059.204837838,495416.981687673,482402.390156692
2041,489063.994006927,387681.740155329,549308.725800864,547657.043530471,470466.717492808,387681.740155329,408543.88017199,549308.725800864,533747.446497165,547926.599882507,530484.028072407,545426.493189952,533979.801050865,463066.83000782,453136.907314791,509958.427175913,505308.611679173,417511.821734287,467225.730913991,457689.311529581,507386.900457914,449315.861811343,491775.25524116,529255.102435372,460726.216436764,453177.956275606,509575.817450357,496266.623864739
2042,502344.164138552,398561.402388987,564078.231858869,562397.605491764,483327.867225305,398561.402388987,419943.917179069,564073.205747905,548223.260794939,562696.105940512,544868.812179192,560082.670511485,548423.012451759,475676.287512674,465687.636140213,523693.801736428,518787.709618454,429259.98690204,480183.771580773,470201.019735394,521026.180389032,461264.32769886,504740.52429424,543537.294703744,473200.941045249,465849.175512855,523288.602382178,509608.984300755
2043,515140.491043268,409107.045235336,578283.477806343,576571.601848378,495725.590936066,409107.045235336,430941.033522616,578267.741917095,562183.85196942,576901.351887985,558745.618022239,574235.192106379,562339.103453034,487782.318959902,477799.880395117,536970.202479324,531752.328028362,440626.692641138,492692.495576841,482236.287159486,534209.861952292,472738.269185032,517167.044376411,557309.910027503,485172.389981432,478068.539811815,536542.902404768,522425.022203735
2044,527454.982222076,419309.459770674,591927.17990585,590181.944945516,507674.13871233,419309.459770674,441542.236306462,591895.394669122,575638.935221747,590545.053987493,572123.92158386,587860.034807162,575735.979041918,499390.540826294,489467.81012923,549777.715567101,544226.664380607,451610.897930394,504741.251939794,493798.462293432,546928.555265357,483753.15821021,529061.577410361,570583.406322815,496646.515758031,489836.754412938,549328.982378727,534715.16368033
2045,539294.658946431,429162.952333581,605016.383136608,603235.894038009,519167.494171305,429162.952333581,451766.512529611,604963.76263977,588599.690233284,603634.25721825,585014.67169613,600942.622915219,588655.962437274,510510.356626685,500691.251558863,562114.314906343,556219.698135371,462214.721138541,516325.587308835,504896.570120154,559180.464644076,494346.752888069,540433.679989286,583369.064195051,507633.038760999,501157.304744138,561644.943554744,546484.904877183
2046,550665.812764391,438666.37967996,617560.647752928,615743.237135732,530204.94399838,438666.37967996,461621.094639036,617482.776614256,601077.780198841,616178.52183457,597429.273540896,613479.415412318,601085.165748252,521151.661291934,511474.458869435,573982.603022611,567737.317502662,472442.100893054,527446.194845071,515550.213852848,570967.675409972,504519.332433498,551301.096527297,595678.621411626,518142.187469403,512047.109969499,573493.488272531,557742.668536086
2047,561575.861926285,447821.06086206,629571.871467142,627716.107912608,540791.131113255,447821.06086206,471108.6553965,629464.960776764,613085.792078804,628189.745548785,609380.034529367,625474.411392041,613014.010049794,531323.587445291,521822.876546036,585388.912842625,578789.08702042,482298.842987212,538108.600757315,525763.876642971,582297.288927166,514271.587520666,561678.274787629,607525.658034024,528183.362706196,522518.448399097,584881.025055981,568499.208824524
2048,572037.318083881,456630.938471742,641151.322518746,639168.326057271,550933.732001074,456630.938471742,480234.089418546,640924.508489729,624665.243130408,639681.509104799,620907.811213259,636935.917761075,624441.188624222,541037.137319534,531745.359517851,596342.231957858,589385.254180138,491792.665956223,548319.997146185,535543.062017598,593178.406127497,523608.871702861,571573.957681605,618957.66514293,537767.834177167,532573.384428258,595816.595911128,578767.264558066
2049,582062.979754251,465102.630391342,652325.373861212,650115.136801049,560642.588873906,465102.630391342,489009.906762596,651876.538589177,635839.294472874,650668.82059518,632035.204641533,647876.006051297,635371.667738188,550306.821418742,541251.988053846,606852.807551084,599537.635554862,500931.516638664,558099.089432984,544897.544458678,603620.927226754,532554.347713745,580999.805681738,629985.85091681,546910.281265518,542217.359685848,606310.480180985,588560.243158879
2050,591666.344551845,473243.415531426,663087.577708538,660572.726402736,569928.649955318,473243.415531426,497468.989161928,662339.443875968,646601.4983202,661167.637684708,642755.985058288,658308.509223554,645813.972707396,559156.101460549,550353.55303687,616933.134577857,609259.549054207,509723.754041684,567476.038446114,553849.692103765,613637.266873649,541133.13716245,589969.382833784,640606.016186014,555634.039642598,551458.831570342,616375.2022298,597892.086654914
2051,600859.819984471,481060.907230743,673438.152631024,670580.746398362,578804.230808075,481060.907230743,505608.904824433,672354.707943501,656952.073242685,671217.520816124,653070.160059962,668248.963916981,655779.952654371,567593.094827748,559066.305281435,626596.198390398,618564.426217765,518182.151157533,576451.457946377,562407.296774883,623240.425676041,549342.688390436,598496.629653161,650819.725437554,563947.663264377,560307.818386325,626023.76352236,606777.686790141
