"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2020,72800.7357366895,57879.6963461485,79866.2200270715,79728.218822659,70753.1754118802,57879.6963461485,63828.5684291743,79866.2200270715,77787.1955097384,79831.6593997882,77775.2934242764,79340.1662121124,79402.4409022472,71703.6575240496,66316.1349407543,73877.0772548576,78581.6159852208,64376.4920489955,72171.9336293719,69890.483017218,73870.6340183574,63727.2206670094,73213.0888276302,77782.2342196664,71610.081965095,69512.7412589127,73920.4873544566,73271.876220546
2021,115017.973137582,91790.1395661038,126118.968656015,125901.510855472,111907.240621724,91790.1395661038,100864.692400035,126118.968656015,123038.014570505,126063.287206231,123016.890145693,125264.658428093,125638.878005464,113135.040626707,104737.047809398,116835.757868533,124039.273752333,102071.839357728,114117.554593428,110236.148895707,116824.891397218,100554.302828062,115201.615231977,123027.436138039,112987.481335757,109754.379311956,116904.266900691,115418.011936685
2022,146051.984664917,117154.025499526,160086.794541853,159629.381666787,142330.883586656,117154.025499526,128226.939451488,159905.532882504,156384.906015095,159832.045810016,156352.814482769,158795.419703967,159606.703891303,143597.290973442,133162.520924287,148317.70401252,157504.703646989,130454.831045827,145281.996227248,139710.458078953,148299.919254987,127532.635294864,145639.371884851,156365.089861882,143408.85677217,139328.578727677,148403.67881043,146073.328116676
2023,173257.988978445,139793.561850048,189682.98137134,188924.05919078,169211.506748807,139793.561850048,152420.017093965,189252.038106184,185663.723423526,189160.986822905,185617.786984078,187749.693393443,189202.89072079,170433.702277643,158322.80451545,175710.927367467,187047.98640046,156226.762209596,173014.288920834,165415.656151683,175683.761035261,151092.622954267,171990.410596554,185630.779378927,170208.171978437,165253.769151983,175811.291810313,172610.525377716
2024,199100.544147023,161632.987898782,218018.615751152,216536.532663374,194859.066156851,161632.987898782,175632.17118481,216914.080487886,213564.753675417,216804.54307836,213502.338169621,214775.434361527,217086.198716273,195984.486116664,182436.282705285,201589.49114033,215383.620780271,181518.734798573,199548.332382434,189765.964442287,201550.788764386,173383.975549874,196740.789392763,213515.20721435,195723.212620059,189867.047033002,201702.8789455,197494.685396907
2025,224302.20246471,183237.601756377,245879.307769888,243304.215701859,219853.388079277,183237.601756377,198529.337233658,243730.092426178,240960.163659672,243601.71254322,240880.043062266,240719.767536674,244058.809446889,220742.189847294,206121.532105711,226825.569030605,243244.312799007,206715.623070915,225480.040300141,213443.816977124,226773.063175399,195062.491452768,220595.741464267,240892.167102394,220445.35295863,213905.417664526,226951.088058796,221481.524164106
2026,249021.246702651,204448.626552046,273268.592180615,269408.343651192,244277.383649328,204657.124578228,221239.139363297,269881.609631678,268131.894662507,269734.015678967,268032.3648304,265879.684090376,270348.940148701,244709.633088027,229495.913965024,251701.731025936,270633.597209735,231818.265076709,250849.687221051,236552.680008356,251633.505920857,216273.516248436,243664.261310044,268042.872018022,244376.725833459,237564.102169212,251838.651062662,244785.525124082
2027,273286.13592803,225205.937480816,300292.26075975,294900.304802761,268147.445614773,225878.574470369,243735.984877536,295419.919056601,295155.563241642,295252.837655297,295033.636983675,290377.098739983,296037.934353157,267859.837193428,252528.059412062,276306.765067379,297495.797925835,256746.33665086,275638.96868578,259130.36739467,276221.187388908,237030.827177206,265953.58480954,295041.391144148,267490.175198872,260889.579718751,276454.401240769,267426.819396756
2028,297089.060223012,245507.30966286,327167.844811692,319793.678431384,291453.390276312,246856.983588542,265978.119141086,320358.549234623,322031.147293584,320171.863481593,321885.450211914,314258.249613183,321136.485775412,290177.881272948,275166.720031607,300662.877145612,323783.144080475,281403.888268789,299812.011292226,281181.229242724,300558.125513695,257332.199359251,287473.975630109,321889.027764329,289770.966232629,283868.567847227,300820.457432156,289401.517413898
2029,320413.769988651,265348.523776761,353874.071802235,344091.277119863,314183.609638802,267543.913372351,287918.078479581,344700.160314722,348737.374284127,344494.073438908,348566.616803257,337527.064626766,345636.809683036,311665.331747759,297364.728696137,324763.720245465,349461.391809177,305709.871629023,323345.550540789,302695.556013987,324637.20096112,277173.413473151,308237.383543767,348564.524874929,311220.615315387,306470.475086192,324929.722680377,310705.785337613
2030,343240.976211198,284719.957939316,380372.152585919,367787.504417681,336327.907916462,287890.860106304,309508.412385562,368439.073538599,375235.455067811,368214.033433975,375038.492646869,360170.659423338,369527.401523103,332335.20851055,319083.671057233,348588.287765498,374503.69687092,329597.685872086,346226.642025888,323656.495611592,348438.22776376,296544.847635707,328263.997388202,375029.295294765,331852.140605583,328663.17004045,348761.958005643,331339.280372382
